https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume EUR
1663545600,2022-09-19 00:00:00,AVAX/EUR,16.74874,16.74874,16.74874,16.74874,5.05200000,84.61463448
1663542000,2022-09-18 23:00:00,AVAX/EUR,16.67326,16.67326,16.67326,16.67326,6.62000000,110.37698119999999
1663538400,2022-09-18 22:00:00,AVAX/EUR,16.62509,16.78980,16.62411,16.78980,9.00153492,151.13397099981597
1663534800,2022-09-18 21:00:00,AVAX/EUR,17.58058,17.58058,16.49626,16.91000,327.95864181,5545.780633007101
1663531200,2022-09-18 20:00:00,AVAX/EUR,17.85160,17.85160,17.67730,17.67730,59.16022518,1045.793048574414
1663527600,2022-09-18 19:00:00,AVAX/EUR,17.82556,17.82556,17.82556,17.82556,0.00000000,0.0
1663524000,2022-09-18 18:00:00,AVAX/EUR,17.85597,17.85597,17.82556,17.82556,2.18882961,39.017113542831595
1663520400,2022-09-18 17:00:00,AVAX/EUR,17.94422,17.94422,17.81743,17.91231,82.05782673,1469.8452303140464
1663516800,2022-09-18 16:00:00,AVAX/EUR,17.87965,17.87965,17.86904,17.86904,1.44619256,25.8420727023424
1663513200,2022-09-18 15:00:00,AVAX/EUR,18.06631,18.06631,18.06631,18.06631,0.00000000,0.0
1663509600,2022-09-18 14:00:00,AVAX/EUR,18.18262,18.18262,18.06416,18.06631,12.96000000,234.13937760000005
1663506000,2022-09-18 13:00:00,AVAX/EUR,18.22091,18.25589,18.18378,18.25589,8.66193472,158.1313274355008
1663502400,2022-09-18 12:00:00,AVAX/EUR,18.12269,18.18466,18.12269,18.18466,6.86826925,124.89714109970501
1663498800,2022-09-18 11:00:00,AVAX/EUR,18.16429,18.16429,18.16429,18.16429,0.00000000,0.0
1663495200,2022-09-18 10:00:00,AVAX/EUR,18.24685,18.25838,18.16429,18.16429,5.67578241,103.09655767213891
1663491600,2022-09-18 09:00:00,AVAX/EUR,18.23939,18.23939,18.23939,18.23939,0.61686648,11.2512683066472
1663488000,2022-09-18 08:00:00,AVAX/EUR,18.49765,18.49995,18.49765,18.49995,53.80000000,995.2973099999998
1663484400,2022-09-18 07:00:00,AVAX/EUR,18.46932,18.46932,18.40805,18.40805,72.95635471,1342.9842253194154
