https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IOI,Volume USDT
1663459200,2022-09-18 00:00:00,IOI/USDT,0.1376,0.1383,0.136,0.1382,24191.7022,3317.26911161
1663372800,2022-09-17 00:00:00,IOI/USDT,0.1408,0.1482,0.137,0.1376,1670441.1488,235567.36209678
1663286400,2022-09-16 00:00:00,IOI/USDT,0.1417,0.1494,0.1337,0.1407,1446916.2637,203163.27075562
1663200000,2022-09-15 00:00:00,IOI/USDT,0.1524,0.1535,0.1358,0.142,1838940.8964,264950.21676372
1663113600,2022-09-14 00:00:00,IOI/USDT,0.1561,0.162,0.1495,0.1524,1607877.2089,250237.86950761
1663027200,2022-09-13 00:00:00,IOI/USDT,0.1569,0.168,0.1546,0.1559,1428426.3087,223921.04929615
1662940800,2022-09-12 00:00:00,IOI/USDT,0.1596,0.17,0.1546,0.1546,991111.4256,158830.20656637
1662854400,2022-09-11 00:00:00,IOI/USDT,0.158,0.1839,0.1549,0.1584,1702526.1602,272006.878066
1662768000,2022-09-10 00:00:00,IOI/USDT,0.161,0.1613,0.1544,0.1578,1143865.4436,180342.1727432
1662681600,2022-09-09 00:00:00,IOI/USDT,0.1606,0.1894,0.153,0.161,1288132.1287,206942.23905818
1662595200,2022-09-08 00:00:00,IOI/USDT,0.1549,0.1631,0.1457,0.1602,1297255.6695,198637.17899542
1662508800,2022-09-07 00:00:00,IOI/USDT,0.1687,0.1695,0.1522,0.1557,1147265.4113,183000.85362393
1662422400,2022-09-06 00:00:00,IOI/USDT,0.1593,0.2056,0.1557,0.1697,1535277.6123,254703.82207257
1662336000,2022-09-05 00:00:00,IOI/USDT,0.1569,0.1646,0.1531,0.1595,1374625.1569,217620.21072023
1662249600,2022-09-04 00:00:00,IOI/USDT,0.1635,0.1659,0.1569,0.1572,1137274.8467,183593.79166838
1662163200,2022-09-03 00:00:00,IOI/USDT,0.1705,0.1745,0.1584,0.1621,1076526.145,180847.84440218
1662076800,2022-09-02 00:00:00,IOI/USDT,0.1725,0.1836,0.1587,0.1702,1759164.9162,302638.57610123
1661990400,2022-09-01 00:00:00,IOI/USDT,0.181,0.1811,0.1681,0.1725,1259179.0516,217843.76799541
1661904000,2022-08-31 00:00:00,IOI/USDT,0.1882,0.1968,0.1802,0.1804,12313665.7001,2370514.39071484
1661817600,2022-08-30 00:00:00,IOI/USDT,0.1889,0.2002,0.1837,0.1881,5768834.3299,1107678.56419374
1661731200,2022-08-29 00:00:00,IOI/USDT,0.1932,0.1953,0.1849,0.1889,3774813.6734,716048.35855043
1661644800,2022-08-28 00:00:00,IOI/USDT,0.202,0.2118,0.1901,0.1933,2522963.5509,514054.28817928
1661558400,2022-08-27 00:00:00,IOI/USDT,0.1968,0.2084,0.1948,0.2009,1610099.4088,320519.75260674
1661472000,2022-08-26 00:00:00,IOI/USDT,0.2169,0.219,0.1937,0.1966,2571958.0804,523690.40334669
1661385600,2022-08-25 00:00:00,IOI/USDT,0.2341,0.2633,0.2126,0.217,1142931.8413,276216.23688209
1661299200,2022-08-24 00:00:00,IOI/USDT,0.2143,0.26,0.203,0.2341,1550582.3438,355556.37937592
1661212800,2022-08-23 00:00:00,IOI/USDT,0.1985,0.2261,0.1932,0.2153,919925.3321,184591.15062846
