https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ICP
1663545600000,2022-09-19 00:00:00,ICP/BTC,0.00030105,0.00030781,0.00029998,0.00030417,0.0232025677293033,76.28157849
1663459200000,2022-09-18 00:00:00,ICP/BTC,0.00031225,0.00031376,0.00028295,0.00030171,0.26457818508306213,876.92878951
1663372800000,2022-09-17 00:00:00,ICP/BTC,0.00031281,0.00031901,0.00031102,0.00031269,0.2590116915849897,828.33378613
1663286400000,2022-09-16 00:00:00,ICP/BTC,0.00030985,0.0003182,0.00030231,0.00031246,0.11025002103449,352.8452315
1663200000000,2022-09-15 00:00:00,ICP/BTC,0.00031131,0.00031518,0.00030174,0.00031125,0.4960131422733,1593.61652136
1663113600000,2022-09-14 00:00:00,ICP/BTC,0.00031777,0.00032339,0.00030823,0.00031222,0.22414335916169,717.9019895
1663027200000,2022-09-13 00:00:00,ICP/BTC,0.00030881,0.00032833,0.00030578,0.00031776,0.2919149428662816,918.66485041
1662940800000,2022-09-12 00:00:00,ICP/BTC,0.00032866,0.00032866,0.00030794,0.00030923,0.1179460131957043,381.41840441
1662854400000,2022-09-11 00:00:00,ICP/BTC,0.00032975,0.00034423,0.00032424,0.00032932,0.1575536275397156,478.42107233
1662768000000,2022-09-10 00:00:00,ICP/BTC,0.00033173,0.00033982,0.00032787,0.00032828,0.13750299137666763,418.85887467000003
1662681600000,2022-09-09 00:00:00,ICP/BTC,0.00033572,0.00034581,0.00032462,0.0003323,0.086541355509324,260.43140388
1662595200000,2022-09-08 00:00:00,ICP/BTC,0.00033594,0.00033854,0.00033126,0.00033594,0.0325910538578328,97.01450812
1662508800000,2022-09-07 00:00:00,ICP/BTC,0.00033016,0.00033898,0.00032626,0.00033594,0.111462518163975,331.79293375
1662422400000,2022-09-06 00:00:00,ICP/BTC,0.00034108,0.00035021,0.00032624,0.00033075,0.1926877526848575,582.57823941
1662336000000,2022-09-05 00:00:00,ICP/BTC,0.00033513,0.00034648,0.00032567,0.00034057,0.20285605392445,595.636885
1662249600000,2022-09-04 00:00:00,ICP/BTC,0.00032807,0.00034303,0.00032011,0.00033451,0.30334103656286426,906.82202793
1662163200000,2022-09-03 00:00:00,ICP/BTC,0.0003145,0.00033253,0.00030983,0.00032781,0.3106285546067445,947.58718345
1662076800000,2022-09-02 00:00:00,ICP/BTC,0.00031426,0.00031878,0.0003052,0.00031505,0.095134241877362,301.96553524
1661990400000,2022-09-01 00:00:00,ICP/BTC,0.00031036,0.00031604,0.00030591,0.0003135,0.11642729709748499,371.37893811
1661904000000,2022-08-31 00:00:00,ICP/BTC,0.0003156,0.00032054,0.00031009,0.00031133,0.08590422760590162,275.92659752000003
1661817600000,2022-08-30 00:00:00,ICP/BTC,0.00032948,0.00033283,0.00031454,0.00031536,0.16392955830998399,519.8172194
1661731200000,2022-08-29 00:00:00,ICP/BTC,0.00032307,0.00033329,0.00031119,0.00032879,0.13009325852121828,395.67279577
1661644800000,2022-08-28 00:00:00,ICP/BTC,0.00031383,0.00033064,0.00030329,0.00032134,0.597198809099204,1858.4639606
1661558400000,2022-08-27 00:00:00,ICP/BTC,0.00028345,0.00032074,0.00028128,0.00031372,0.6120962210322036,1951.09084863
1661472000000,2022-08-26 00:00:00,ICP/BTC,0.00029377,0.00029502,0.00028197,0.00028239,0.0998770410679161,353.68476599
1661385600000,2022-08-25 00:00:00,ICP/BTC,0.0002996,0.00030648,0.00029109,0.00029443,0.0754334941220353,256.20179371
1661299200000,2022-08-24 00:00:00,ICP/BTC,0.00029785,0.00030755,0.00029392,0.00029952,0.0298690690910976,99.72312063
1661212800000,2022-08-23 00:00:00,ICP/BTC,0.00029854,0.00030084,0.00029287,0.00029663,0.1719100797492422,579.54380794
1661126400000,2022-08-22 00:00:00,ICP/BTC,0.00030009,0.00030082,0.00029077,0.00029774,0.16594297395047022,557.34188873
1661040000000,2022-08-21 00:00:00,ICP/BTC,0.00029885,0.00030902,0.00029627,0.0003001,0.240300011256648,800.73312648
1660953600000,2022-08-20 00:00:00,ICP/BTC,0.00030728,0.00031674,0.0002886,0.0002983,0.17488162037274801,586.26087956
1660867200000,2022-08-19 00:00:00,ICP/BTC,0.00029595,0.0003106,0.00028671,0.00030792,0.8679422690807688,2818.72651689
1660780800000,2022-08-18 00:00:00,ICP/BTC,0.00031626,0.00031878,0.00029172,0.00029595,0.21623718555771748,730.6544536499999
1660694400000,2022-08-17 00:00:00,ICP/BTC,0.0003258,0.00033871,0.00031501,0.00031579,0.2285034554521419,723.59306961
1660608000000,2022-08-16 00:00:00,ICP/BTC,0.00032325,0.00033008,0.00031843,0.00032571,0.0466254039450276,143.15005356
1660521600000,2022-08-15 00:00:00,ICP/BTC,0.00032973,0.00033167,0.00031998,0.00032339,0.0778662084956011,240.78112649
1660435200000,2022-08-14 00:00:00,ICP/BTC,0.00033525,0.00034052,0.00032551,0.00032882,0.1645328578156326,500.37363243
1660348800000,2022-08-13 00:00:00,ICP/BTC,0.0003441,0.00034578,0.00033431,0.00033447,0.08056961354453851,240.88741455000002
1660262400000,2022-08-12 00:00:00,ICP/BTC,0.00034185,0.00034508,0.00033754,0.00034414,0.0333121712912812,96.79831258
1660176000000,2022-08-11 00:00:00,ICP/BTC,0.00034787,0.00035706,0.00033657,0.00034133,0.11813364223876378,346.09803486
1660089600000,2022-08-10 00:00:00,ICP/BTC,0.00033743,0.00035025,0.00033431,0.00034852,0.16950671150303243,486.36150437000003
1660003200000,2022-08-09 00:00:00,ICP/BTC,0.00034588,0.00035025,0.00033143,0.00033753,0.24184792350372303,716.5227491
1659916800000,2022-08-08 00:00:00,ICP/BTC,0.00035506,0.00035805,0.000345,0.0003464,0.0487075133988,140.6106045
1659830400000,2022-08-07 00:00:00,ICP/BTC,0.00036047,0.00036083,0.00035295,0.00035488,0.05144663548201921,144.96910359
1659744000000,2022-08-06 00:00:00,ICP/BTC,0.00035775,0.00037291,0.00035558,0.00036083,0.23502823771119363,651.35448192
1659657600000,2022-08-05 00:00:00,ICP/BTC,0.00035357,0.00036049,0.00034513,0.00035934,0.2055628352311344,572.05664616
1659571200000,2022-08-04 00:00:00,ICP/BTC,0.00034508,0.00035781,0.00034439,0.0003527,0.307912714543125,873.01591875
1659484800000,2022-08-03 00:00:00,ICP/BTC,0.00034722,0.00035674,0.00033648,0.00034507,0.2808977516740637,814.03121591
1659398400000,2022-08-02 00:00:00,ICP/BTC,0.00035881,0.00036076,0.00032814,0.00034755,0.45172815826538404,1299.75013168
1659312000000,2022-08-01 00:00:00,ICP/BTC,0.00038584,0.00039876,0.00035128,0.00035822,0.9587127228518683,2676.32383131
1659225600000,2022-07-31 00:00:00,ICP/BTC,0.00035022,0.00040974,0.00034122,0.00038566,2.28559294474977,5926.44543056
1659139200000,2022-07-30 00:00:00,ICP/BTC,0.00034054,0.00038978,0.00033018,0.00035025,2.5268827670389875,7214.5118259500005
1659052800000,2022-07-29 00:00:00,ICP/BTC,0.00030426,0.00034102,0.00029536,0.00034058,1.1495754246227525,3375.34624647
1658966400000,2022-07-28 00:00:00,ICP/BTC,0.00031153,0.000318,0.00029978,0.00030456,0.3633444811600128,1193.01445088
1658880000000,2022-07-27 00:00:00,ICP/BTC,0.0003097,0.00031099,0.00029978,0.00031099,0.315218828865123,1013.5979576999999
1658793600000,2022-07-26 00:00:00,ICP/BTC,0.00029193,0.00030975,0.0002867,0.00030975,0.22765940320236752,734.97789573
1658707200000,2022-07-25 00:00:00,ICP/BTC,0.000292,0.00029595,0.00028248,0.00029179,0.30048009047154234,1029.78200237
1658620800000,2022-07-24 00:00:00,ICP/BTC,0.00029694,0.00029918,0.00028848,0.00029269,0.2539255142083787,867.55787423
1658534400000,2022-07-23 00:00:00,ICP/BTC,0.0002862,0.00030337,0.00028388,0.00029742,0.7739019204015253,2602.05070406
1658448000000,2022-07-22 00:00:00,ICP/BTC,0.00029718,0.00030275,0.00028247,0.00028576,0.180372966500688,631.20439005
1658361600000,2022-07-21 00:00:00,ICP/BTC,0.00028943,0.00030038,0.00028388,0.00029812,0.25995354499442086,871.97620084
1658275200000,2022-07-20 00:00:00,ICP/BTC,0.00031453,0.00032213,0.00028193,0.00028962,0.5223446539859501,1803.55173671
1658188800000,2022-07-19 00:00:00,ICP/BTC,0.0003368,0.0003389,0.00031345,0.0003147,0.441531092331888,1403.02221904
1658102400000,2022-07-18 00:00:00,ICP/BTC,0.0003493,0.00035648,0.00033265,0.00033597,0.9806195467763865,2918.77116045
1658016000000,2022-07-17 00:00:00,ICP/BTC,0.00033599,0.00036083,0.00032291,0.000348,0.4881002225472,1402.5868464
1657929600000,2022-07-16 00:00:00,ICP/BTC,0.00032644,0.00035259,0.00032251,0.00033561,0.4353453720537174,1297.17640134
1657843200000,2022-07-15 00:00:00,ICP/BTC,0.00033115,0.00034338,0.00032451,0.00032688,0.8669509318503648,2652.19937546
1657756800000,2022-07-14 00:00:00,ICP/BTC,0.00032195,0.00033496,0.00031815,0.00033041,0.37925775905632503,1147.8398325
1657670400000,2022-07-13 00:00:00,ICP/BTC,0.00032459,0.0003287,0.00030574,0.00032164,0.6727550729647791,2091.6399482799998
1657584000000,2022-07-12 00:00:00,ICP/BTC,0.00031325,0.00033266,0.00031227,0.00032563,0.6312079938310786,1938.42088822
1657497600000,2022-07-11 00:00:00,ICP/BTC,0.00030594,0.00033367,0.00030581,0.00031452,1.3361328677486148,4248.16503799
1657411200000,2022-07-10 00:00:00,ICP/BTC,0.00032386,0.00032535,0.00030427,0.00030643,0.5058463528039823,1650.77294261
