https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BONDLY,Volume USDT
1663459200,2022-09-18 00:00:00,BONDLY/USDT,0.00792,0.00792,0.00779,0.0078,168058.2946,1316.913721332
1663372800,2022-09-17 00:00:00,BONDLY/USDT,0.00789,0.00811,0.00766,0.00791,6829037.5791,53573.839690132
1663286400,2022-09-16 00:00:00,BONDLY/USDT,0.00788,0.00828,0.00764,0.00789,10989960.1485,87691.721494471
1663200000,2022-09-15 00:00:00,BONDLY/USDT,0.00801,0.00931,0.00777,0.00786,7664961.2239,62602.474604767
1663113600,2022-09-14 00:00:00,BONDLY/USDT,0.00795,0.00808,0.0078,0.00798,5813974.778,46357.169341694
1663027200,2022-09-13 00:00:00,BONDLY/USDT,0.00837,0.00859,0.00785,0.00795,6526548.648,53554.86155928
1662940800,2022-09-12 00:00:00,BONDLY/USDT,0.0086,0.00863,0.00824,0.00834,6469368.7481,54389.824169567
1662854400,2022-09-11 00:00:00,BONDLY/USDT,0.00865,0.00873,0.00848,0.0086,3988204.8861,34245.064461973
1662768000,2022-09-10 00:00:00,BONDLY/USDT,0.00848,0.00867,0.00844,0.00859,3165892.6739,27117.3279819
1662681600,2022-09-09 00:00:00,BONDLY/USDT,0.00837,0.00881,0.00802,0.00848,8627199.3511,73052.145393696
1662595200,2022-09-08 00:00:00,BONDLY/USDT,0.00809,0.0091,0.00786,0.00837,13609784.1361,112925.387194846
1662508800,2022-09-07 00:00:00,BONDLY/USDT,0.00783,0.00849,0.00762,0.00809,7330263.014,57774.633889867
1662422400,2022-09-06 00:00:00,BONDLY/USDT,0.008,0.00839,0.00783,0.00783,6991880.0722,57159.095985076
1662336000,2022-09-05 00:00:00,BONDLY/USDT,0.00808,0.00814,0.00789,0.008,6119788.8976,48897.941620144
1662249600,2022-09-04 00:00:00,BONDLY/USDT,0.0081,0.00829,0.0077,0.00803,8250453.9181,66238.084999192
1662163200,2022-09-03 00:00:00,BONDLY/USDT,0.00804,0.00822,0.00796,0.0081,6450099.326,52108.038661937
1662076800,2022-09-02 00:00:00,BONDLY/USDT,0.0081,0.00824,0.00768,0.00812,8791431.6238,70718.217893498
1661990400,2022-09-01 00:00:00,BONDLY/USDT,0.0084,0.0147,0.00795,0.0081,16057203.6231,141654.462174734
1661904000,2022-08-31 00:00:00,BONDLY/USDT,0.00832,0.00869,0.00827,0.00838,6320409.7427,53625.170214148
1661817600,2022-08-30 00:00:00,BONDLY/USDT,0.00862,0.0088,0.00808,0.00831,11390401.7822,96934.703386866
1661731200,2022-08-29 00:00:00,BONDLY/USDT,0.00973,0.00999,0.00825,0.00865,13123181.2794,116035.47887615
1661644800,2022-08-28 00:00:00,BONDLY/USDT,0.01011,0.01021,0.00974,0.00981,6354490.5965,63679.642908398
1661558400,2022-08-27 00:00:00,BONDLY/USDT,0.01017,0.01044,0.00984,0.01011,6029478.2873,61539.621902104
1661472000,2022-08-26 00:00:00,BONDLY/USDT,0.01106,0.01114,0.01004,0.01017,9175674.009,98723.300722061
1661385600,2022-08-25 00:00:00,BONDLY/USDT,0.01071,0.01151,0.01046,0.01104,7830109.2401,86068.499122343
1661299200,2022-08-24 00:00:00,BONDLY/USDT,0.01086,0.01093,0.0106,0.01071,5649532.5374,60767.780868869
1661212800,2022-08-23 00:00:00,BONDLY/USDT,0.01112,0.01114,0.0105,0.01093,7104268.78,77514.4572551
1661126400,2022-08-22 00:00:00,BONDLY/USDT,0.0104,0.01155,0.01033,0.01111,19519958.8262,211985.78976087
1661040000,2022-08-21 00:00:00,BONDLY/USDT,0.01034,0.01063,0.01024,0.01041,3275533.2157,34118.405111981
1660953600,2022-08-20 00:00:00,BONDLY/USDT,0.01042,0.01073,0.01007,0.01034,3987560.158,41506.195405497
1660867200,2022-08-19 00:00:00,BONDLY/USDT,0.0112,0.0113,0.01027,0.01045,6780064.1213,74254.16683761
1660780800,2022-08-18 00:00:00,BONDLY/USDT,0.01101,0.01145,0.01097,0.0112,5382176.3067,60109.352976992
1660694400,2022-08-17 00:00:00,BONDLY/USDT,0.01154,0.01161,0.01097,0.01107,8438500.7331,95324.570493305
1660608000,2022-08-16 00:00:00,BONDLY/USDT,0.01153,0.01163,0.01122,0.01154,6837151.9816,77858.457873881
1660521600,2022-08-15 00:00:00,BONDLY/USDT,0.01155,0.01205,0.01142,0.01153,12920578.8284,149791.88714337
1660435200,2022-08-14 00:00:00,BONDLY/USDT,0.01161,0.01188,0.0114,0.01154,9857359.1296,114958.15310489
1660348800,2022-08-13 00:00:00,BONDLY/USDT,0.01202,0.01208,0.01159,0.01161,17888709.6267,211498.521507279
1660262400,2022-08-12 00:00:00,BONDLY/USDT,0.01182,0.01212,0.01168,0.01202,10691354.6915,126686.346544083
1660176000,2022-08-11 00:00:00,BONDLY/USDT,0.01211,0.01234,0.01177,0.01182,11809487.8407,141591.973670073
1660089600,2022-08-10 00:00:00,BONDLY/USDT,0.01212,0.01244,0.01171,0.0121,8886687.8981,107538.618051571
1660003200,2022-08-09 00:00:00,BONDLY/USDT,0.01231,0.01242,0.01173,0.01212,11163073.434,134617.584386728
1659916800,2022-08-08 00:00:00,BONDLY/USDT,0.01236,0.01248,0.01204,0.01231,2263682.4313,27873.888451038
1659830400,2022-08-07 00:00:00,BONDLY/USDT,0.01209,0.01246,0.01185,0.01236,1486950.5221,18043.352483007
1659744000,2022-08-06 00:00:00,BONDLY/USDT,0.01219,0.01235,0.01202,0.01208,1355488.1162,16525.843653295
