https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUSD,Volume BTC
1663372800,2022-09-17 00:00:00,CUSD/BTC,0.00005016,0.00005034,0.00004973,0.00005034,4669.1261,0.233779917966
1663286400,2022-09-16 00:00:00,CUSD/BTC,0.00005028,0.00005154,0.00005025,0.00005047,1232.6592,0.062241375499
1663200000,2022-09-15 00:00:00,CUSD/BTC,0.00004979,0.00005071,0.00004926,0.00005044,2648.4014,0.133099050531
1663113600,2022-09-14 00:00:00,CUSD/BTC,0.00004935,0.00005102,0.0000487,0.00004925,5717.6993,0.279901865674
1663027200,2022-09-13 00:00:00,CUSD/BTC,0.00004459,0.00004982,0.00004399,0.00004982,5962.4386,0.276632168146
1662940800,2022-09-12 00:00:00,CUSD/BTC,0.00004558,0.00004641,0.00004458,0.00004458,680.5442,0.031102979187
1662854400,2022-09-11 00:00:00,CUSD/BTC,0.00004609,0.00004662,0.00004593,0.00004638,3346.6131,0.155174414951
1662768000,2022-09-10 00:00:00,CUSD/BTC,0.00004668,0.00004713,0.00004597,0.00004601,1391.2792,0.064528952794
1662681600,2022-09-09 00:00:00,CUSD/BTC,0.0000512,0.0000512,0.0000466,0.00004685,5370.2076,0.2621977555
1662595200,2022-09-08 00:00:00,CUSD/BTC,0.00005134,0.00005201,0.00005134,0.00005134,1831.2586,0.094713723257
1662508800,2022-09-07 00:00:00,CUSD/BTC,0.0000529,0.00005323,0.00005099,0.00005099,10941.1418,0.572958415435
1662422400,2022-09-06 00:00:00,CUSD/BTC,0.00004965,0.00005306,0.0000494,0.00005227,6888.2237,0.360313070097
1662336000,2022-09-05 00:00:00,CUSD/BTC,0.00005007,0.00005049,0.00005007,0.00005049,0.3065,0.000015432303
1662249600,2022-09-04 00:00:00,CUSD/BTC,0.00005016,0.00005044,0.00005016,0.00005044,169.1223,0.008506859773
1662163200,2022-09-03 00:00:00,CUSD/BTC,0.0000499,0.00005004,0.0000499,0.00005004,22.1022,0.001105837645
