https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STC,Volume USDT
1663459200,2022-09-18 00:00:00,STC/USDT,0.003863,0.003863,0.003863,0.003863,706.8464,2.7305476432
1663455600,2022-09-17 23:00:00,STC/USDT,0.003863,0.003863,0.003863,0.003863,0,0
1663452000,2022-09-17 22:00:00,STC/USDT,0.003863,0.003863,0.003863,0.003863,0,0
1663448400,2022-09-17 21:00:00,STC/USDT,0.003885,0.003885,0.003863,0.003863,942.9622,3.6608108732
1663444800,2022-09-17 20:00:00,STC/USDT,0.00388,0.003884,0.003862,0.003863,9884.9249,38.272631064
1663441200,2022-09-17 19:00:00,STC/USDT,0.00386,0.00386,0.00385,0.00385,5185.7462,19.983167904
1663437600,2022-09-17 18:00:00,STC/USDT,0.003884,0.003884,0.00386,0.003884,94911.2368,368.591373986
1663434000,2022-09-17 17:00:00,STC/USDT,0.003841,0.003884,0.003841,0.003884,38845.5208,150.6919569362
1663430400,2022-09-17 16:00:00,STC/USDT,0.00384,0.00387,0.003822,0.00387,77883.9522,300.0062474495
1663426800,2022-09-17 15:00:00,STC/USDT,0.00384,0.00384,0.003814,0.003814,8457.5631,32.3264689667
1663423200,2022-09-17 14:00:00,STC/USDT,0.003815,0.00384,0.003814,0.003814,381958.6824,1456.8459534121
1663419600,2022-09-17 13:00:00,STC/USDT,0.00388,0.00388,0.003815,0.003815,446556.7251,1715.4354753184
1663416000,2022-09-17 12:00:00,STC/USDT,0.00388,0.00388,0.00387,0.00387,779.3456,3.017308878
1663412400,2022-09-17 11:00:00,STC/USDT,0.00388,0.00388,0.00387,0.00387,22689.4971,87.813743862
1663408800,2022-09-17 10:00:00,STC/USDT,0.003859,0.00388,0.003859,0.00387,4269597.8346,16565.2581971095
1663405200,2022-09-17 09:00:00,STC/USDT,0.00392,0.00392,0.003836,0.003859,65963.592,255.6893579452
1663401600,2022-09-17 08:00:00,STC/USDT,0.00385,0.003974,0.00385,0.00395,157142.0448,613.4063635706
1663398000,2022-09-17 07:00:00,STC/USDT,0.00384,0.003841,0.00384,0.003841,30427.0895,116.8679268933
