https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PNT,Volume USDT
1663459200,2022-09-18 00:00:00,PNT/USDT,0.2528,0.2528,0.2526,0.2526,16.9804,4.29173384
1663372800,2022-09-17 00:00:00,PNT/USDT,0.2378,0.3021,0.2374,0.2528,270542.4831,72502.92411715
1663286400,2022-09-16 00:00:00,PNT/USDT,0.2401,0.2425,0.2312,0.2364,33361.4219,7874.0316731
1663200000,2022-09-15 00:00:00,PNT/USDT,0.2456,0.2549,0.2336,0.2387,42436.1446,10320.97005693
1663113600,2022-09-14 00:00:00,PNT/USDT,0.2395,0.2536,0.2372,0.247,94632.9555,23141.57749105
1663027200,2022-09-13 00:00:00,PNT/USDT,0.2557,0.2772,0.2393,0.241,124293.4818,32139.71964234
1662940800,2022-09-12 00:00:00,PNT/USDT,0.2543,0.27,0.25,0.2551,65708.1844,16979.3374939
1662854400,2022-09-11 00:00:00,PNT/USDT,0.2519,0.2665,0.2512,0.2543,11615.181,2994.71220954
1662768000,2022-09-10 00:00:00,PNT/USDT,0.2569,0.2664,0.2477,0.2519,31016.8558,7868.31300266
1662681600,2022-09-09 00:00:00,PNT/USDT,0.2507,0.264,0.248,0.2569,24368.0842,6244.47693579
1662595200,2022-09-08 00:00:00,PNT/USDT,0.2421,0.2563,0.2345,0.2488,12959.9266,3174.31940943
1662508800,2022-09-07 00:00:00,PNT/USDT,0.2304,0.245,0.2249,0.2408,11979.7967,2813.56927964
1662422400,2022-09-06 00:00:00,PNT/USDT,0.2375,0.2484,0.2281,0.2289,65298.6167,15353.73230588
1662336000,2022-09-05 00:00:00,PNT/USDT,0.2401,0.2458,0.2336,0.2374,9629.5441,2300.12321108
1662249600,2022-09-04 00:00:00,PNT/USDT,0.2423,0.2509,0.2368,0.2394,5415.1141,1305.58198353
1662163200,2022-09-03 00:00:00,PNT/USDT,0.2379,0.2454,0.2378,0.2404,7433.9083,1792.16831847
1662076800,2022-09-02 00:00:00,PNT/USDT,0.2368,0.2448,0.2334,0.2359,9251.8786,2190.19512353
1661990400,2022-09-01 00:00:00,PNT/USDT,0.2383,0.2402,0.2304,0.2351,24647.7055,5767.50285472
1661904000,2022-08-31 00:00:00,PNT/USDT,0.2413,0.2487,0.2383,0.2384,49052.0997,11864.21900504
1661817600,2022-08-30 00:00:00,PNT/USDT,0.2437,0.254,0.2329,0.2394,31120.045,7593.04592655
1661731200,2022-08-29 00:00:00,PNT/USDT,0.236,0.2475,0.2311,0.2438,24970.2167,6027.01642927
1661644800,2022-08-28 00:00:00,PNT/USDT,0.238,0.2626,0.2345,0.2345,43137.695,10858.08493643
1661558400,2022-08-27 00:00:00,PNT/USDT,0.2343,0.2487,0.2318,0.2365,15902.1044,3778.84473307
1661472000,2022-08-26 00:00:00,PNT/USDT,0.2547,0.2659,0.2319,0.234,72454.6643,18676.96658323
1661385600,2022-08-25 00:00:00,PNT/USDT,0.258,0.2636,0.2492,0.2549,12390.3284,3177.50823565
