https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SAND3S,Volume USDT
1663459200,2022-09-18 00:00:00,SAND3S/USDT,0.01446,0.014957,0.01446,0.014838,126838.3128,1879.0028254967
1663372800,2022-09-17 00:00:00,SAND3S/USDT,0.016297,0.016531,0.014161,0.01432,3276226.7248,49575.4004843256
1663286400,2022-09-16 00:00:00,SAND3S/USDT,0.01749,0.018307,0.0162,0.016441,3223475.4232,55693.9849061102
1663200000,2022-09-15 00:00:00,SAND3S/USDT,0.015545,0.01773,0.015435,0.017447,2733115.0651,45616.3444602256
1663113600,2022-09-14 00:00:00,SAND3S/USDT,0.016551,0.016978,0.015271,0.015471,4249335.1662,67832.7641638081
1663027200,2022-09-13 00:00:00,SAND3S/USDT,0.013404,0.016769,0.012793,0.016557,5040449.38864894,74599.0639838803416
1662940800,2022-09-12 00:00:00,SAND3S/USDT,0.012746,0.013589,0.011675,0.013212,2986202.2011,38094.9194679229
1662854400,2022-09-11 00:00:00,SAND3S/USDT,0.01216,0.013453,0.011837,0.012665,1224053.564,15303.3124296979
1662768000,2022-09-10 00:00:00,SAND3S/USDT,0.012542,0.013008,0.010935,0.012182,4634791.279,54526.9587977308
1662681600,2022-09-09 00:00:00,SAND3S/USDT,0.015897,0.015897,0.011701,0.012479,5214679.6954,69581.657733316
1662595200,2022-09-08 00:00:00,SAND3S/USDT,0.016409,0.017157,0.015562,0.01597,3458673.1816,56228.0945939699
1662508800,2022-09-07 00:00:00,SAND3S/USDT,0.017985,0.019472,0.016033,0.016595,4778495.2545,84976.0429096747
1662422400,2022-09-06 00:00:00,SAND3S/USDT,0.014467,0.018286,0.013657,0.017994,6111384.41433151,98481.17592274028181
1662336000,2022-09-05 00:00:00,SAND3S/USDT,0.013909,0.01528,0.013245,0.014462,5597785.141,79373.612896294
1662249600,2022-09-04 00:00:00,SAND3S/USDT,0.015918,0.016177,0.013677,0.013984,3700335.0208,52885.9610288754
1662163200,2022-09-03 00:00:00,SAND3S/USDT,0.016039,0.016699,0.015918,0.015918,1048458.8703,17088.7596675512
1662076800,2022-09-02 00:00:00,SAND3S/USDT,0.015466,0.016518,0.014599,0.016069,2764278.2423,42811.0210417785
1661990400,2022-09-01 00:00:00,SAND3S/USDT,0.015358,0.017196,0.015162,0.015518,5430610.7183,88032.7723059137
1661904000,2022-08-31 00:00:00,SAND3S/USDT,0.014927,0.015618,0.013679,0.015407,3195830.60002604,47313.67169196987077
1661817600,2022-08-30 00:00:00,SAND3S/USDT,0.013557,0.015896,0.01302,0.0151,6439969.71661062,93824.64655533550976
1661731200,2022-08-29 00:00:00,SAND3S/USDT,0.016519,0.017079,0.013401,0.013521,6307151.6216413,97348.9633278579242
1661644800,2022-08-28 00:00:00,SAND3S/USDT,0.014999,0.016519,0.014232,0.016519,4942936.68695503,74603.4434015074864
1661558400,2022-08-27 00:00:00,SAND3S/USDT,0.015414,0.016474,0.014632,0.014911,10855396.20537284,166468.8397782542877
1661472000,2022-08-26 00:00:00,SAND3S/USDT,0.012343,0.016164,0.012008,0.015516,11750455.85435892,158362.73165718813973
1661385600,2022-08-25 00:00:00,SAND3S/USDT,0.012472,0.012907,0.011521,0.012287,6829945.16974395,82998.45056435024247
1661299200,2022-08-24 00:00:00,SAND3S/USDT,0.011758,0.012966,0.011573,0.012472,5519203.58284583,67287.51049628833613
1661212800,2022-08-23 00:00:00,SAND3S/USDT,0.012434,0.013457,0.0115,0.011747,5821322.2780315,71819.00700989256929
1661126400,2022-08-22 00:00:00,SAND3S/USDT,0.011758,0.013784,0.011712,0.012433,6932415.68183389,90189.9280382825476
1661040000,2022-08-21 00:00:00,SAND3S/USDT,0.012851,0.013395,0.01114,0.011741,5354107.39700045,65759.19221625402978
1660953600,2022-08-20 00:00:00,SAND3S/USDT,0.012778,0.014241,0.011495,0.012966,12850686.38343098,162770.47053561721196
1660867200,2022-08-19 00:00:00,SAND3S/USDT,0.010086,0.013067,0.009991,0.012778,23771257.54141454,283755.73638044351303
1660780800,2022-08-18 00:00:00,SAND3S/USDT,0.00874,0.011085,0.008233,0.010045,16813867.75253051,150641.39514752601388
