https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAL,Volume USDT
1663459200,2022-09-18 00:00:00,BAL/USDT,5.979,5.995,5.937,5.938,76.2601,454.2307351
1663372800,2022-09-17 00:00:00,BAL/USDT,5.932,6.022,5.857,6.02,1211.8322,7187.0170153
1663286400,2022-09-16 00:00:00,BAL/USDT,6.003,6.085,5.804,5.908,2298.3026,13620.5941625
1663200000,2022-09-15 00:00:00,BAL/USDT,6.488,6.58,5.95,5.999,2688.4516,16976.6499306
1663113600,2022-09-14 00:00:00,BAL/USDT,6.492,6.599,6.257,6.469,1461.8985,9403.8680383
1663027200,2022-09-13 00:00:00,BAL/USDT,7.109,7.266,6.415,6.492,3490.7313,23858.3644957
1662940800,2022-09-12 00:00:00,BAL/USDT,7.545,7.68,6.987,7.109,5075.465,36769.5815639
1662854400,2022-09-11 00:00:00,BAL/USDT,7.643,8.033,6.812,7.582,6583.9662,50697.3405212
1662768000,2022-09-10 00:00:00,BAL/USDT,7.569,7.899,7.44,7.648,4090.7232,31263.5719908
1662681600,2022-09-09 00:00:00,BAL/USDT,7.312,7.707,7.263,7.596,2450.5267,18385.9473567
1662595200,2022-09-08 00:00:00,BAL/USDT,7.117,7.801,7.065,7.312,3910.7144,29378.0176324
1662508800,2022-09-07 00:00:00,BAL/USDT,6.768,7.238,6.61,7.092,1374.0759,9363.4736395
1662422400,2022-09-06 00:00:00,BAL/USDT,7.365,7.671,6.777,6.777,5651.4746,42111.2219367
1662336000,2022-09-05 00:00:00,BAL/USDT,7.173,7.468,7.043,7.365,4263.3993,31157.8525812
1662249600,2022-09-04 00:00:00,BAL/USDT,7.189,7.224,7.054,7.2,690.6339,4917.6673019
1662163200,2022-09-03 00:00:00,BAL/USDT,7.668,7.809,7.142,7.181,3528.8504,26880.9474913
1662076800,2022-09-02 00:00:00,BAL/USDT,7.801,7.858,7.461,7.7,3822.294,29157.8821276
1661990400,2022-09-01 00:00:00,BAL/USDT,7.097,7.99,6.999,7.814,16304.78,123808.239616
1661904000,2022-08-31 00:00:00,BAL/USDT,6.652,7.452,6.562,7.087,4241.1472,29821.1687313
1661817600,2022-08-30 00:00:00,BAL/USDT,6.521,6.883,6.347,6.652,7911.6267,52404.760112
1661731200,2022-08-29 00:00:00,BAL/USDT,5.7,6.627,5.64,6.491,2965.7932,18444.7596841
1661644800,2022-08-28 00:00:00,BAL/USDT,5.944,6.177,5.699,5.699,1123.9126,6732.6303526
1661558400,2022-08-27 00:00:00,BAL/USDT,5.817,5.979,5.649,5.944,1351.1387,7788.0901511
1661472000,2022-08-26 00:00:00,BAL/USDT,6.642,6.642,5.774,5.84,1513.1373,9356.1154269
1661385600,2022-08-25 00:00:00,BAL/USDT,6.387,6.682,6.27,6.644,2740.3676,17810.3749073
1661299200,2022-08-24 00:00:00,BAL/USDT,6.527,6.57,6.331,6.369,1251.1922,8053.4616688
1661212800,2022-08-23 00:00:00,BAL/USDT,6.288,6.708,6.085,6.481,5081.1426,33177.4601198
1661126400,2022-08-22 00:00:00,BAL/USDT,6.125,6.3,5.806,6.3,2467.6364,14830.0416676
1661040000,2022-08-21 00:00:00,BAL/USDT,5.671,6.22,5.608,6.13,3930.5262,23147.1758199
1660953600,2022-08-20 00:00:00,BAL/USDT,5.613,5.793,5.513,5.639,3228.268,18251.9168801
1660867200,2022-08-19 00:00:00,BAL/USDT,6.201,6.224,5.541,5.57,3077.862,17763.5386747
1660780800,2022-08-18 00:00:00,BAL/USDT,6.54,6.663,6.109,6.188,3257.9013,21017.1725755
1660694400,2022-08-17 00:00:00,BAL/USDT,6.802,6.982,6.399,6.511,4006.063,26515.4092697
1660608000,2022-08-16 00:00:00,BAL/USDT,6.78,6.914,6.668,6.792,4252.9542,28940.1619841
1660521600,2022-08-15 00:00:00,BAL/USDT,6.751,7.078,6.638,6.802,5765.6597,39440.5603548
1660435200,2022-08-14 00:00:00,BAL/USDT,7.133,7.281,6.628,6.758,5611.6072,38851.3663425
1660348800,2022-08-13 00:00:00,BAL/USDT,7.19,7.47,7.024,7.1,21912.3481,158372.5991666
1660262400,2022-08-12 00:00:00,BAL/USDT,6.335,9.713,6.249,7.211,40532.3013,316897.0290488
1660176000,2022-08-11 00:00:00,BAL/USDT,6.431,6.594,6.289,6.331,1876.6203,12132.9999592
1660089600,2022-08-10 00:00:00,BAL/USDT,5.927,6.421,5.8,6.421,5161.4699,31786.5829678
1660003200,2022-08-09 00:00:00,BAL/USDT,6.283,6.42,5.85,5.936,5019.6624,31073.7757178
1659916800,2022-08-08 00:00:00,BAL/USDT,6.15,6.552,6.129,6.288,5372.422,34530.0054652
1659830400,2022-08-07 00:00:00,BAL/USDT,6.201,6.29,6.089,6.15,2821.9601,17559.9444915
1659744000,2022-08-06 00:00:00,BAL/USDT,6.309,6.385,6.174,6.191,1301.5379,8172.5344722
1659657600,2022-08-05 00:00:00,BAL/USDT,6.011,6.335,6.011,6.33,1773.4512,11023.0186528
1659571200,2022-08-04 00:00:00,BAL/USDT,5.947,6.2,5.9,6.018,1593.8773,9584.9289732
1659484800,2022-08-03 00:00:00,BAL/USDT,5.929,6.321,5.73,5.938,4257.3127,25934.5290926
1659398400,2022-08-02 00:00:00,BAL/USDT,6.29,6.35,5.84,5.926,2001.1756,11971.0576696
1659312000,2022-08-01 00:00:00,BAL/USDT,6.14,6.374,6.069,6.29,4027.9642,25128.7558942
1659225600,2022-07-31 00:00:00,BAL/USDT,6.349,6.658,6.12,6.156,7491.6752,47782.8925152
1659139200,2022-07-30 00:00:00,BAL/USDT,6.17,6.931,6.059,6.362,9367.6244,61055.1113243
1659052800,2022-07-29 00:00:00,BAL/USDT,6.14,6.55,5.979,6.16,11987.2877,75685.8099598
1658966400,2022-07-28 00:00:00,BAL/USDT,6.07,6.369,5.819,6.14,6366.5094,38796.3084271
1658880000,2022-07-27 00:00:00,BAL/USDT,5.011,6.084,4.95,6.06,4657.02158635,25755.2778931991
1658793600,2022-07-26 00:00:00,BAL/USDT,5.014,5.014,4.804,5.002,1842.6542,9032.3752003
1658707200,2022-07-25 00:00:00,BAL/USDT,5.712,5.739,4.999,5.039,3155.6075,16498.551024
1658620800,2022-07-24 00:00:00,BAL/USDT,5.459,5.875,5.442,5.693,1677.9656,9580.089177
1658534400,2022-07-23 00:00:00,BAL/USDT,5.45,5.703,5.309,5.459,2586.1398,14090.0034101
1658448000,2022-07-22 00:00:00,BAL/USDT,5.688,5.929,5.44,5.461,3045.4464,17309.6152629
1658361600,2022-07-21 00:00:00,BAL/USDT,5.351,5.77,5.189,5.684,3572.2088,19557.6221512
1658275200,2022-07-20 00:00:00,BAL/USDT,5.676,5.856,5.269,5.348,4346.07153591,24177.0372337598
1658188800,2022-07-19 00:00:00,BAL/USDT,5.738,5.849,5.56,5.661,3651.32711134,20882.74144189967
1658102400,2022-07-18 00:00:00,BAL/USDT,5.086,5.772,5.086,5.738,2021.21755903,11126.11777835029
1658016000,2022-07-17 00:00:00,BAL/USDT,5.202,5.273,4.959,5.063,4148.08105413,21284.83746431922
1657929600,2022-07-16 00:00:00,BAL/USDT,4.81,5.337,4.715,5.223,9505.81322304,47825.26121566998
1657843200,2022-07-15 00:00:00,BAL/USDT,4.651,5.028,4.583,4.812,1948.53956182,9357.1901255105
1657756800,2022-07-14 00:00:00,BAL/USDT,4.363,5.144,4.169,4.68,12135.01546868,55904.90598647705
1657670400,2022-07-13 00:00:00,BAL/USDT,4.132,4.362,3.997,4.362,8961.65613012,37521.16052057474
1657584000,2022-07-12 00:00:00,BAL/USDT,4.364,4.44,4.159,4.159,854.39484838,3653.76688516488
1657497600,2022-07-11 00:00:00,BAL/USDT,4.662,4.674,4.322,4.357,751.40699191,3417.9107693724
1657411200,2022-07-10 00:00:00,BAL/USDT,5.048,5.048,4.613,4.658,1673.09875683,8128.59215279476
1657324800,2022-07-09 00:00:00,BAL/USDT,4.979,5.166,4.975,5.046,1999.61391251,10107.73076451453
1657238400,2022-07-08 00:00:00,BAL/USDT,5.138,5.304,4.877,4.945,8798.62079533,44809.06121806271
1657152000,2022-07-07 00:00:00,BAL/USDT,4.918,5.153,4.865,5.144,5405.16394378,27291.08597203248
1657065600,2022-07-06 00:00:00,BAL/USDT,4.928,4.962,4.802,4.928,1103.62405227,5385.30892969488
1656979200,2022-07-05 00:00:00,BAL/USDT,4.957,5.323,4.766,4.906,7207.73610214,36955.19469076682
1656892800,2022-07-04 00:00:00,BAL/USDT,4.652,4.955,4.493,4.935,911.66131962,4263.91738309137
1656806400,2022-07-03 00:00:00,BAL/USDT,4.635,4.662,4.458,4.634,1358.87764066,6226.95690265994
1656720000,2022-07-02 00:00:00,BAL/USDT,4.536,4.689,4.454,4.637,5036.80177712,22726.34070362892
1656633600,2022-07-01 00:00:00,BAL/USDT,4.557,4.668,4.372,4.509,6949.90355661,31753.97239429552
1656547200,2022-06-30 00:00:00,BAL/USDT,4.766,4.814,4.286,4.537,3212.86422845,14734.93695249675
1656460800,2022-06-29 00:00:00,BAL/USDT,4.885,5.026,4.65,4.761,7815.20847269,37323.11130251231
1656374400,2022-06-28 00:00:00,BAL/USDT,5.139,5.238,4.846,4.885,6106.14556938,30404.74795441478
1656288000,2022-06-27 00:00:00,BAL/USDT,5.183,5.439,5.04,5.135,3767.32621579,19893.67231488304
1656201600,2022-06-26 00:00:00,BAL/USDT,5.558,5.689,5.189,5.189,1281.11995626,7029.50843790362
1656115200,2022-06-25 00:00:00,BAL/USDT,5.613,5.676,5.322,5.577,4073.59345929,22443.61155126152
1656028800,2022-06-24 00:00:00,BAL/USDT,4.789,6.204,4.789,5.592,28849.84636416,164465.63754535079
1655942400,2022-06-23 00:00:00,BAL/USDT,4.419,4.865,4.419,4.786,3924.27672293,18309.38303029168
1655856000,2022-06-22 00:00:00,BAL/USDT,4.65,4.672,4.407,4.457,5379.19196768,24058.49498784784
1655769600,2022-06-21 00:00:00,BAL/USDT,4.5,4.87,4.44,4.627,1245.89913814,5845.21136455368
1655683200,2022-06-20 00:00:00,BAL/USDT,4.374,4.668,4.174,4.544,2634.68911076,11680.44168099839
1655596800,2022-06-19 00:00:00,BAL/USDT,3.953,4.44,3.74,4.372,2376.62186816,9640.55645505727
1655510400,2022-06-18 00:00:00,BAL/USDT,4.307,4.388,3.64,3.953,4244.97308356,16719.25549178917
1655424000,2022-06-17 00:00:00,BAL/USDT,4.151,4.443,4.137,4.331,1546.52079478,6604.37017768774
1655337600,2022-06-16 00:00:00,BAL/USDT,4.926,4.959,4.1,4.197,3902.67527126,17628.79512321241
1655251200,2022-06-15 00:00:00,BAL/USDT,4.704,5.092,4.126,4.858,15383.42198235,70974.37568853981
1655164800,2022-06-14 00:00:00,BAL/USDT,4.953,5.002,4.323,4.718,17246.59433981,80440.17209833316
1655078400,2022-06-13 00:00:00,BAL/USDT,5.953,5.983,4.686,4.938,6295.78655002,32227.20919336474
1654992000,2022-06-12 00:00:00,BAL/USDT,6.213,6.359,5.695,5.939,3654.67063459,21835.64332532423
1654905600,2022-06-11 00:00:00,BAL/USDT,7.083,7.315,6.134,6.215,8534.42714431,56365.39212044669
1654819200,2022-06-10 00:00:00,BAL/USDT,7.484,7.993,7.029,7.092,10687.84070796,80512.81651329224
1654732800,2022-06-09 00:00:00,BAL/USDT,7.658,8.352,7.372,7.484,6788.56164496,53809.91586884779
