https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GOM2,Volume USDT
1663459200,2022-09-18 00:00:00,GOM2/USDT,0.00971,0.00976,0.00971,0.00974,2737.4366,26.656999606
1663372800,2022-09-17 00:00:00,GOM2/USDT,0.00964,0.01036,0.0093,0.00959,14828314.331,146389.110845069
1663286400,2022-09-16 00:00:00,GOM2/USDT,0.01032,0.01044,0.00916,0.00965,16296602.9031,155183.291862822
1663200000,2022-09-15 00:00:00,GOM2/USDT,0.01061,0.01101,0.01024,0.01043,14784165.5444,155006.324191152
1663113600,2022-09-14 00:00:00,GOM2/USDT,0.01056,0.01078,0.01021,0.01062,14986034.4873,155573.392373314
1663027200,2022-09-13 00:00:00,GOM2/USDT,0.01091,0.01092,0.01045,0.01057,14409798.2292,152783.995092909
1662940800,2022-09-12 00:00:00,GOM2/USDT,0.01138,0.01146,0.01077,0.01091,14082496.3398,157024.496916111
1662854400,2022-09-11 00:00:00,GOM2/USDT,0.0114,0.01162,0.0111,0.01124,13798973.9261,155182.787700641
1662768000,2022-09-10 00:00:00,GOM2/USDT,0.01126,0.01154,0.01103,0.01139,13993246.8729,156559.566010724
1662681600,2022-09-09 00:00:00,GOM2/USDT,0.01098,0.01149,0.01087,0.01116,13803965.6284,155129.474475572
1662595200,2022-09-08 00:00:00,GOM2/USDT,0.01167,0.0159,0.01078,0.01098,16173735.9519,207961.02162472
1662508800,2022-09-07 00:00:00,GOM2/USDT,0.01077,0.01398,0.00979,0.01172,16262918.68428647,172888.86692297011
1662422400,2022-09-06 00:00:00,GOM2/USDT,0.01098,0.01117,0.01078,0.01078,14393164.0784,158122.844542881
1662336000,2022-09-05 00:00:00,GOM2/USDT,0.01117,0.01155,0.01087,0.01108,13792485.2856,155177.400142967
1662249600,2022-09-04 00:00:00,GOM2/USDT,0.01119,0.01139,0.01117,0.01118,13670578.1362,153091.164167795
1662163200,2022-09-03 00:00:00,GOM2/USDT,0.01138,0.012,0.01089,0.01117,14136193.728,158255.666736757
1662076800,2022-09-02 00:00:00,GOM2/USDT,0.01135,0.01171,0.01117,0.01138,11810838.5294,134105.251199412
1661990400,2022-09-01 00:00:00,GOM2/USDT,0.01157,0.01198,0.01111,0.01135,13647335.2034,155118.05454355
1661904000,2022-08-31 00:00:00,GOM2/USDT,0.01154,0.01183,0.0112,0.01157,9707377.64885067,110536.2412231047291
1661817600,2022-08-30 00:00:00,GOM2/USDT,0.01138,0.01204,0.01128,0.01154,13400577.255869,153793.9117512571751
1661731200,2022-08-29 00:00:00,GOM2/USDT,0.01159,0.01183,0.01126,0.01138,18212817.22136678,208623.6760889587112
1661644800,2022-08-28 00:00:00,GOM2/USDT,0.01207,0.01218,0.01141,0.01159,17495218.39599147,207713.8429484408975
1661558400,2022-08-27 00:00:00,GOM2/USDT,0.01211,0.01258,0.01202,0.01207,16684845.43915273,202038.6607750033283
1661472000,2022-08-26 00:00:00,GOM2/USDT,0.01221,0.013,0.01196,0.01211,10123440.85667198,124340.4612629791934
1661385600,2022-08-25 00:00:00,GOM2/USDT,0.01227,0.01275,0.012,0.01221,16973353.2751371,207977.9102241925556
1661299200,2022-08-24 00:00:00,GOM2/USDT,0.01228,0.01312,0.01203,0.01227,16940410.68812505,208112.6345971803851
1661212800,2022-08-23 00:00:00,GOM2/USDT,0.01216,0.01257,0.01198,0.01228,17157161.99331019,208844.6337424127498
1661126400,2022-08-22 00:00:00,GOM2/USDT,0.01298,0.01298,0.01191,0.01217,17232565.93396317,210114.3521922528323
1661040000,2022-08-21 00:00:00,GOM2/USDT,0.01241,0.01333,0.01238,0.01299,16823643.25567481,214675.4780816976265
1660953600,2022-08-20 00:00:00,GOM2/USDT,0.01204,0.01658,0.0119,0.01241,16501234.50034357,210259.3756434812566
1660867200,2022-08-19 00:00:00,GOM2/USDT,0.01348,0.0137,0.0119,0.01205,16811121.45388201,210514.9955409082478
1660780800,2022-08-18 00:00:00,GOM2/USDT,0.01379,0.01413,0.0134,0.0135,15341216.83862884,210177.6029630869026
1660694400,2022-08-17 00:00:00,GOM2/USDT,0.01396,0.01437,0.01335,0.01377,16513294.65385706,230761.2389653939224
1660608000,2022-08-16 00:00:00,GOM2/USDT,0.01416,0.01428,0.0137,0.01404,16515067.25144894,230093.1831535229463
1660521600,2022-08-15 00:00:00,GOM2/USDT,0.01508,0.01538,0.01391,0.01427,15650866.79556948,230478.9254495711644
1660435200,2022-08-14 00:00:00,GOM2/USDT,0.01489,0.01563,0.01471,0.01508,15106446.93721191,226528.975920397729
1660348800,2022-08-13 00:00:00,GOM2/USDT,0.0154,0.01575,0.01481,0.01498,15086891.14298292,230380.7647257453591
1660262400,2022-08-12 00:00:00,GOM2/USDT,0.01493,0.01587,0.01452,0.0154,15388664.69930121,230434.9359810683908
1660176000,2022-08-11 00:00:00,GOM2/USDT,0.01509,0.01667,0.0149,0.0149,14764779.66643165,231425.990102668434
1660089600,2022-08-10 00:00:00,GOM2/USDT,0.01532,0.01608,0.01453,0.01509,15098910.49742771,230074.4266535846675
1660003200,2022-08-09 00:00:00,GOM2/USDT,0.01552,0.0158,0.01424,0.01531,17194986.02190992,260455.8102493682578
1659916800,2022-08-08 00:00:00,GOM2/USDT,0.01475,0.019,0.01469,0.01552,16469770.66706521,261641.8200621964834
