https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAR,Volume USDT
1663459200,2022-09-18 00:00:00,DAR/USDT,0.2323,0.2323,0.2304,0.2314,30573.76507937,7060.645033321287
1663372800,2022-09-17 00:00:00,DAR/USDT,0.2275,0.2329,0.2256,0.2324,323114.44541024,73937.704831860954
1663286400,2022-09-16 00:00:00,DAR/USDT,0.2267,0.2283,0.222,0.2261,284063.47343345,63973.281996701431
1663200000,2022-09-15 00:00:00,DAR/USDT,0.233,0.2342,0.2236,0.2271,247381.217227,56482.820837130982
1663113600,2022-09-14 00:00:00,DAR/USDT,0.233,0.2365,0.226,0.2329,351640.8857583,81343.839125519493
1663027200,2022-09-13 00:00:00,DAR/USDT,0.2489,0.2512,0.2323,0.2336,594901.68947631,143328.584682904871
1662940800,2022-09-12 00:00:00,DAR/USDT,0.2514,0.2593,0.2462,0.2493,726470.35907954,184074.592458168633
1662854400,2022-09-11 00:00:00,DAR/USDT,0.2543,0.2625,0.2412,0.2504,591634.91464672,149639.598791346933
1662768000,2022-09-10 00:00:00,DAR/USDT,0.2588,0.2614,0.2492,0.253,797909.52736319,203693.737677270241
1662681600,2022-09-09 00:00:00,DAR/USDT,0.2382,0.2615,0.238,0.2587,625875.19065923,158069.738287223975
1662595200,2022-09-08 00:00:00,DAR/USDT,0.2386,0.2399,0.2325,0.2378,224783.49820967,53331.03794672759
1662508800,2022-09-07 00:00:00,DAR/USDT,0.2301,0.2414,0.2236,0.2375,246885.80753562,56798.557180713629
1662422400,2022-09-06 00:00:00,DAR/USDT,0.2489,0.2561,0.2288,0.2304,412178.91884683,99710.839388974353
1662336000,2022-09-05 00:00:00,DAR/USDT,0.2515,0.2531,0.2437,0.2485,364016.28470656,90068.558058367035
1662249600,2022-09-04 00:00:00,DAR/USDT,0.2467,0.251,0.2454,0.2509,370120.74656521,91923.528866947137
1662163200,2022-09-03 00:00:00,DAR/USDT,0.2453,0.2516,0.2433,0.2465,558434.96781601,137543.834221472701
1662076800,2022-09-02 00:00:00,DAR/USDT,0.2473,0.2505,0.2415,0.2451,589697.02533619,144855.090972812673
1661990400,2022-09-01 00:00:00,DAR/USDT,0.2459,0.2481,0.24,0.2463,376832.01183987,92149.806687868472
1661904000,2022-08-31 00:00:00,DAR/USDT,0.2454,0.254,0.2443,0.2456,700533.27642346,174355.628253201572
1661817600,2022-08-30 00:00:00,DAR/USDT,0.2531,0.2566,0.239,0.2447,274482.01501458,67828.337290122967
1661731200,2022-08-29 00:00:00,DAR/USDT,0.237,0.2684,0.2324,0.2534,1869091.90465541,471361.143608422685
1661644800,2022-08-28 00:00:00,DAR/USDT,0.242,0.2488,0.2349,0.2369,705745.46877541,171686.606483599214
1661558400,2022-08-27 00:00:00,DAR/USDT,0.2415,0.2462,0.2358,0.2424,764245.58246769,184834.260960560037
1661472000,2022-08-26 00:00:00,DAR/USDT,0.2689,0.2712,0.2391,0.2425,797433.38647966,205720.357152954305
1661385600,2022-08-25 00:00:00,DAR/USDT,0.2667,0.2768,0.2647,0.2686,582367.55007124,157388.747367764645
1661299200,2022-08-24 00:00:00,DAR/USDT,0.2669,0.2733,0.2616,0.2659,385535.14762461,103596.852012796784
1661212800,2022-08-23 00:00:00,DAR/USDT,0.2679,0.2717,0.259,0.2657,298400.13715231,79596.61466013247
1661126400,2022-08-22 00:00:00,DAR/USDT,0.2625,0.2968,0.2462,0.2684,1163541.3912235,311136.737277625397
1661040000,2022-08-21 00:00:00,DAR/USDT,0.2582,0.2698,0.2559,0.264,962695.71304486,253281.069324777723
1660953600,2022-08-20 00:00:00,DAR/USDT,0.26,0.2694,0.2468,0.2578,1219619.07812496,312952.525536881144
1660867200,2022-08-19 00:00:00,DAR/USDT,0.2891,0.2894,0.2549,0.259,1596625.62063681,430975.625827653164
1660780800,2022-08-18 00:00:00,DAR/USDT,0.3054,0.3124,0.285,0.2895,435487.2226612,129977.053228112596
1660694400,2022-08-17 00:00:00,DAR/USDT,0.3237,0.3329,0.302,0.3048,308471.14862348,96328.321240059287
1660608000,2022-08-16 00:00:00,DAR/USDT,0.327,0.331,0.3151,0.3235,380143.33815342,122483.774624618149
