https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume DASH
1663545600000,2022-09-19 00:00:00,DASH/USDT,40.261251,40.766933,40.125646,40.766933,778.4254145770874,19.09452974
1663459200000,2022-09-18 00:00:00,DASH/USDT,44.516135,44.629068,39.944433,40.263479,23241.124091484,577.22592952
1663372800000,2022-09-17 00:00:00,DASH/USDT,43.794392,44.718921,43.739647,44.520103,16544.33873746853,371.61501485
1663286400000,2022-09-16 00:00:00,DASH/USDT,43.850878,44.392003,42.731543,43.753711,18665.109822536506,426.59489666
1663200000000,2022-09-15 00:00:00,DASH/USDT,45.569192,45.578768,43.091036,43.805263,21032.35329318152,480.13302176
1663113600000,2022-09-14 00:00:00,DASH/USDT,43.753864,45.728945,43.674743,45.536088,19189.535359826194,421.41378855
1663027200000,2022-09-13 00:00:00,DASH/USDT,47.060952,48.107483,43.331,43.811397,216604.64738740068,4944.02512176
1662940800000,2022-09-12 00:00:00,DASH/USDT,48.27096,49.8702,46.843756,47.141649,18713.902609137527,396.9717438
1662854400000,2022-09-11 00:00:00,DASH/USDT,48.75635,49.02627,46.958931,48.242214,20139.74188813513,417.47134342
1662768000000,2022-09-10 00:00:00,DASH/USDT,49.02228,50.155269,48.514903,48.717903,20910.258687995643,429.21097585
1662681600000,2022-09-09 00:00:00,DASH/USDT,46.325937,49.5,46.197045,49.009435,27586.681083588323,562.8851074
1662595200000,2022-09-08 00:00:00,DASH/USDT,44.968045,46.446591,44.21503,46.219157,30692.265554537633,664.05939759
1662508800000,2022-09-07 00:00:00,DASH/USDT,42.7147,45.58438,42.240085,44.986385,18828.176490301536,418.53055075
1662422400000,2022-09-06 00:00:00,DASH/USDT,47.608051,48.767763,42.661006,42.68938,24105.149209417315,564.66383933
1662336000000,2022-09-05 00:00:00,DASH/USDT,47.560865,48.411721,46.34438,47.582381,19172.414580557423,402.93096263
1662249600000,2022-09-04 00:00:00,DASH/USDT,46.745749,47.672403,46.031144,47.546168,18069.274019854052,380.03638947
1662163200000,2022-09-03 00:00:00,DASH/USDT,45.716756,46.830935,45.199792,46.734158,19276.290660528743,412.46684407
1662076800000,2022-09-02 00:00:00,DASH/USDT,44.769278,46.403363,44.219727,45.741943,18329.359456333783,400.71230591
1661990400000,2022-09-01 00:00:00,DASH/USDT,44.540801,44.849611,43.172295,44.757632,20097.02711914552,449.01899902
