https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PSTAKE,Volume USDT
1663459200,2022-09-18 00:00:00,PSTAKE/USDT,0.1703,0.1719,0.1703,0.1704,20631.7246,3535.16724622
1663372800,2022-09-17 00:00:00,PSTAKE/USDT,0.1613,0.1704,0.1601,0.1691,415618.7724,68518.66229731
1663286400,2022-09-16 00:00:00,PSTAKE/USDT,0.1595,0.164,0.1445,0.1629,346363.5045,53910.67787154
1663200000,2022-09-15 00:00:00,PSTAKE/USDT,0.1847,0.194,0.1507,0.1595,317205.8185,55506.71982197
1663113600,2022-09-14 00:00:00,PSTAKE/USDT,0.1676,0.2075,0.1667,0.1845,416893.0798,78789.05929439
1663027200,2022-09-13 00:00:00,PSTAKE/USDT,0.1841,0.202,0.1626,0.1667,294664.3693,54783.37233162
1662940800,2022-09-12 00:00:00,PSTAKE/USDT,0.1727,0.2099,0.1712,0.1841,401722.1975,75245.42913322
1662854400,2022-09-11 00:00:00,PSTAKE/USDT,0.1889,0.2223,0.1684,0.1717,1258988.2758,241409.66224559
1662768000,2022-09-10 00:00:00,PSTAKE/USDT,0.1479,0.2,0.1442,0.1888,2029066.4746,343558.22161086
1662681600,2022-09-09 00:00:00,PSTAKE/USDT,0.1312,0.1568,0.1288,0.1478,1091298.5588,155065.3464835
1662595200,2022-09-08 00:00:00,PSTAKE/USDT,0.1256,0.1357,0.1187,0.1301,598419.9519,77313.16018976
1662508800,2022-09-07 00:00:00,PSTAKE/USDT,0.1236,0.1274,0.1192,0.1253,227320.6873,28018.33457947
1662422400,2022-09-06 00:00:00,PSTAKE/USDT,0.1257,0.1362,0.1216,0.1226,357029.4799,45350.72637554
1662336000,2022-09-05 00:00:00,PSTAKE/USDT,0.1351,0.136,0.1217,0.1258,347075.8463,44193.04481895
1662249600,2022-09-04 00:00:00,PSTAKE/USDT,0.1396,0.141,0.131,0.1356,170269.7274,23236.63497358
1662163200,2022-09-03 00:00:00,PSTAKE/USDT,0.1352,0.1489,0.1351,0.1409,537485.8992,75359.69841026
1662076800,2022-09-02 00:00:00,PSTAKE/USDT,0.141,0.1414,0.1348,0.1364,127746.2732,17468.14999687
1661990400,2022-09-01 00:00:00,PSTAKE/USDT,0.1401,0.1476,0.1362,0.1397,218520.7202,30856.81482364
1661904000,2022-08-31 00:00:00,PSTAKE/USDT,0.1357,0.1476,0.1316,0.1404,276363.7616,38282.51627702
1661817600,2022-08-30 00:00:00,PSTAKE/USDT,0.1379,0.1476,0.1298,0.1356,470567.6294,65686.87785558
1661731200,2022-08-29 00:00:00,PSTAKE/USDT,0.1326,0.1472,0.1271,0.1378,502564.0655,67823.00258165
1661644800,2022-08-28 00:00:00,PSTAKE/USDT,0.1388,0.1445,0.1321,0.1338,141814.3407,19824.96508507
1661558400,2022-08-27 00:00:00,PSTAKE/USDT,0.1526,0.1528,0.1369,0.1389,334920.7361,47961.34932457
1661472000,2022-08-26 00:00:00,PSTAKE/USDT,0.151,0.1599,0.1505,0.1516,333966.7969,51718.44210537
1661385600,2022-08-25 00:00:00,PSTAKE/USDT,0.1594,0.1645,0.1505,0.1509,385388.0573,60738.37741501
1661299200,2022-08-24 00:00:00,PSTAKE/USDT,0.1585,0.175,0.1497,0.1596,938403.047,151888.0230689
1661212800,2022-08-23 00:00:00,PSTAKE/USDT,0.1492,0.2,0.1447,0.158,1136695.9957,185548.99405904
1661126400,2022-08-22 00:00:00,PSTAKE/USDT,0.1583,0.1739,0.1438,0.1489,366566.5015,56084.7383908
1661040000,2022-08-21 00:00:00,PSTAKE/USDT,0.1526,0.1613,0.1491,0.1583,267960.4222,41601.65793884
1660953600,2022-08-20 00:00:00,PSTAKE/USDT,0.1428,0.18,0.1417,0.1533,1777889.8172,286705.35507623
1660867200,2022-08-19 00:00:00,PSTAKE/USDT,0.1487,0.154,0.1307,0.1428,636462.5983,90743.49914061
1660780800,2022-08-18 00:00:00,PSTAKE/USDT,0.1603,0.1699,0.1489,0.1489,178318.805,28116.58787197
1660694400,2022-08-17 00:00:00,PSTAKE/USDT,0.1748,0.179,0.1585,0.1604,234340.3788,39566.82718714
1660608000,2022-08-16 00:00:00,PSTAKE/USDT,0.1848,0.1886,0.1697,0.1755,252563.7341,45163.48632845
1660521600,2022-08-15 00:00:00,PSTAKE/USDT,0.1857,0.2289,0.17,0.1848,1027847.9853,194777.55553731
1660435200,2022-08-14 00:00:00,PSTAKE/USDT,0.1968,0.1989,0.1826,0.1857,335429.7112,63609.02830595
1660348800,2022-08-13 00:00:00,PSTAKE/USDT,0.1813,0.2122,0.1808,0.1972,380502.0279,74065.59722456
1660262400,2022-08-12 00:00:00,PSTAKE/USDT,0.1923,0.1954,0.1778,0.182,267210.2365,49300.29555797
1660176000,2022-08-11 00:00:00,PSTAKE/USDT,0.2122,0.2125,0.1821,0.193,385667.7374,75652.21047186
1660089600,2022-08-10 00:00:00,PSTAKE/USDT,0.1812,0.22,0.1761,0.2127,520026.3423,101325.35897714
1660003200,2022-08-09 00:00:00,PSTAKE/USDT,0.2163,0.2191,0.1771,0.1822,723073.093,142376.96189496
1659916800,2022-08-08 00:00:00,PSTAKE/USDT,0.241,0.2489,0.2118,0.2163,589077.6612,136579.28065818
1659830400,2022-08-07 00:00:00,PSTAKE/USDT,0.222,0.2575,0.2171,0.2422,716165.8833,174293.24294285
1659744000,2022-08-06 00:00:00,PSTAKE/USDT,0.2531,0.2593,0.2208,0.2222,408596.668,98432.72003395
1659657600,2022-08-05 00:00:00,PSTAKE/USDT,0.189,0.2686,0.1881,0.2525,1857617.3733,431995.91372947
1659571200,2022-08-04 00:00:00,PSTAKE/USDT,0.1946,0.2245,0.1858,0.1881,885009.2917,179327.94506373
1659484800,2022-08-03 00:00:00,PSTAKE/USDT,0.1598,0.2548,0.1595,0.1948,4364906.53560571,894198.90423362487
1659398400,2022-08-02 00:00:00,PSTAKE/USDT,0.1441,0.21,0.1371,0.1598,2184282.15970852,363149.7286194057
1659312000,2022-08-01 00:00:00,PSTAKE/USDT,0.1372,0.1921,0.1343,0.144,620053.9128,97361.81383401
1659225600,2022-07-31 00:00:00,PSTAKE/USDT,0.1462,0.1654,0.1333,0.1367,609807.7487,88392.06237171
1659139200,2022-07-30 00:00:00,PSTAKE/USDT,0.1329,0.1555,0.1329,0.1462,300477.1181,41833.09045667
1659052800,2022-07-29 00:00:00,PSTAKE/USDT,0.1409,0.1423,0.1305,0.1331,62977.5186,8672.325024
1658966400,2022-07-28 00:00:00,PSTAKE/USDT,0.1255,0.1569,0.124,0.1409,86989.3399,11992.91824526
1658880000,2022-07-27 00:00:00,PSTAKE/USDT,0.1151,0.1268,0.1151,0.1265,63375.9634,7693.20268609
1658793600,2022-07-26 00:00:00,PSTAKE/USDT,0.1195,0.1195,0.1011,0.1149,163046.2242,18286.70378008
1658707200,2022-07-25 00:00:00,PSTAKE/USDT,0.133,0.133,0.1187,0.1196,158307.93947103,19405.880012391647
1658620800,2022-07-24 00:00:00,PSTAKE/USDT,0.1333,0.135,0.1327,0.1338,30309.4747,4051.11790169
1658534400,2022-07-23 00:00:00,PSTAKE/USDT,0.1331,0.135,0.131,0.1329,12224.1405,1625.71220885
1658448000,2022-07-22 00:00:00,PSTAKE/USDT,0.1311,0.1347,0.1294,0.133,129081.3498,16869.73558527
1658361600,2022-07-21 00:00:00,PSTAKE/USDT,0.1392,0.1409,0.1308,0.1312,258892.442,35187.3271505
1658275200,2022-07-20 00:00:00,PSTAKE/USDT,0.1238,0.1725,0.1238,0.1391,947477.64250036,147570.496153048568
1658188800,2022-07-19 00:00:00,PSTAKE/USDT,0.1234,0.134,0.1197,0.1244,162010.75781102,20009.245475428176
1658102400,2022-07-18 00:00:00,PSTAKE/USDT,0.1211,0.1296,0.1193,0.1225,147193.38216634,18246.190603445201
1658016000,2022-07-17 00:00:00,PSTAKE/USDT,0.1177,0.1267,0.1155,0.1202,117219.64618898,14055.800457335177
1657929600,2022-07-16 00:00:00,PSTAKE/USDT,0.1233,0.1235,0.11,0.1177,294198.75472565,34559.95176625699
1657843200,2022-07-15 00:00:00,PSTAKE/USDT,0.1145,0.1398,0.112,0.1239,627806.13590135,77400.275700241818
1657756800,2022-07-14 00:00:00,PSTAKE/USDT,0.12,0.12,0.1071,0.1145,1145262.3265001,129580.663352838415
1657670400,2022-07-13 00:00:00,PSTAKE/USDT,0.1027,0.13,0.0999,0.12,1541647.27627162,177174.174268164469
1657584000,2022-07-12 00:00:00,PSTAKE/USDT,0.1069,0.1069,0.1003,0.1027,263778.2518123,27506.066852377347
1657497600,2022-07-11 00:00:00,PSTAKE/USDT,0.1122,0.1148,0.1069,0.1071,298669.17060494,32987.197616434611
1657411200,2022-07-10 00:00:00,PSTAKE/USDT,0.108,0.1166,0.1042,0.1115,469642.34452014,51928.883704489209
1657324800,2022-07-09 00:00:00,PSTAKE/USDT,0.1085,0.1097,0.1072,0.1078,84344.09410953,9140.31572011275
1657238400,2022-07-08 00:00:00,PSTAKE/USDT,0.1104,0.1137,0.1065,0.1081,255136.38299992,27856.742280612286
1657152000,2022-07-07 00:00:00,PSTAKE/USDT,0.1078,0.1114,0.106,0.1107,295831.28100589,32340.19759552384
1657065600,2022-07-06 00:00:00,PSTAKE/USDT,0.1095,0.1095,0.105,0.1068,168849.18336541,18121.679958197822
1656979200,2022-07-05 00:00:00,PSTAKE/USDT,0.1043,0.15,0.1042,0.1095,1232004.13843905,145336.579587109659
1656892800,2022-07-04 00:00:00,PSTAKE/USDT,0.1043,0.1144,0.1017,0.1036,147211.40678687,15286.570202422056
1656806400,2022-07-03 00:00:00,PSTAKE/USDT,0.103,0.1075,0.0996,0.1036,57211.90223981,5920.390091996442
1656720000,2022-07-02 00:00:00,PSTAKE/USDT,0.1067,0.1128,0.0992,0.1035,61414.36543012,6362.596530918144
1656633600,2022-07-01 00:00:00,PSTAKE/USDT,0.1127,0.1134,0.1056,0.1067,138758.5040923,15060.155965583879
1656547200,2022-06-30 00:00:00,PSTAKE/USDT,0.1068,0.1528,0.1049,0.1118,689611.12153981,88268.274062989878
1656460800,2022-06-29 00:00:00,PSTAKE/USDT,0.104,0.1062,0.1027,0.1062,59171.99190141,6184.602686368806
1656374400,2022-06-28 00:00:00,PSTAKE/USDT,0.1152,0.1214,0.1047,0.1047,154931.78862291,17636.726600279652
1656288000,2022-06-27 00:00:00,PSTAKE/USDT,0.1181,0.1187,0.1117,0.1152,77533.39876465,9004.729227278212
1656201600,2022-06-26 00:00:00,PSTAKE/USDT,0.121,0.1234,0.1155,0.1159,106557.85895705,12737.98656850609
1656115200,2022-06-25 00:00:00,PSTAKE/USDT,0.1208,0.127,0.1165,0.1219,250832.0277856,30520.03852215611
1656028800,2022-06-24 00:00:00,PSTAKE/USDT,0.1158,0.13,0.1131,0.1208,435658.15512377,51592.133252304263
1655942400,2022-06-23 00:00:00,PSTAKE/USDT,0.1153,0.1174,0.1129,0.115,223115.4048567,25655.412812916963
1655856000,2022-06-22 00:00:00,PSTAKE/USDT,0.12,0.162,0.1101,0.1154,1052474.20687901,137893.301750288786
1655769600,2022-06-21 00:00:00,PSTAKE/USDT,0.115,0.123,0.115,0.1207,162788.59614095,19225.821326324883
1655683200,2022-06-20 00:00:00,PSTAKE/USDT,0.1158,0.1206,0.1115,0.1125,56339.83131528,6480.826742115118
1655596800,2022-06-19 00:00:00,PSTAKE/USDT,0.1049,0.1525,0.1013,0.1136,1064177.43288364,127306.549769320407
1655510400,2022-06-18 00:00:00,PSTAKE/USDT,0.1104,0.1127,0.0996,0.1038,176053.78714628,18633.685973872069
1655424000,2022-06-17 00:00:00,PSTAKE/USDT,0.1167,0.1187,0.1093,0.11,44566.55789091,5109.678829475496
1655337600,2022-06-16 00:00:00,PSTAKE/USDT,0.1265,0.1365,0.1152,0.1154,496635.61781385,61575.436312032901
1655251200,2022-06-15 00:00:00,PSTAKE/USDT,0.1264,0.1466,0.1012,0.1265,276476.56309417,33058.444322647143
