https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ANT,Volume EUR
1663545600,2022-09-19 00:00:00,ANT/EUR,1.63,1.63,1.63,1.63,0.0,0.0
1663459200,2022-09-18 00:00:00,ANT/EUR,1.74,1.74,1.63,1.63,188.0,306.44
1663372800,2022-09-17 00:00:00,ANT/EUR,1.72,1.74,1.72,1.74,124.9,217.32600000000002
1663286400,2022-09-16 00:00:00,ANT/EUR,1.66,1.74,1.66,1.71,178.1,304.551
1663200000,2022-09-15 00:00:00,ANT/EUR,1.69,1.69,1.66,1.66,114.5,190.07
1663113600,2022-09-14 00:00:00,ANT/EUR,1.74,1.78,1.74,1.78,390.5,695.09
1663027200,2022-09-13 00:00:00,ANT/EUR,1.85,1.91,1.73,1.73,381.8,660.514
1662940800,2022-09-12 00:00:00,ANT/EUR,1.92,2.01,1.90,1.92,860.5,1652.1599999999999
1662854400,2022-09-11 00:00:00,ANT/EUR,1.98,2.00,1.93,1.94,835.0,1619.8999999999999
1662768000,2022-09-10 00:00:00,ANT/EUR,2.03,2.03,1.93,1.96,790.9,1550.164
1662681600,2022-09-09 00:00:00,ANT/EUR,1.83,2.09,1.81,2.03,1051.0,2133.5299999999997
1662595200,2022-09-08 00:00:00,ANT/EUR,1.80,1.82,1.77,1.82,779.4,1418.508
1662508800,2022-09-07 00:00:00,ANT/EUR,1.97,1.97,1.87,1.87,331.7,620.279
1662422400,2022-09-06 00:00:00,ANT/EUR,1.91,1.91,1.79,1.88,2364.1,4444.508
1662336000,2022-09-05 00:00:00,ANT/EUR,1.86,1.92,1.86,1.92,122.7,235.584
1662249600,2022-09-04 00:00:00,ANT/EUR,1.81,1.86,1.78,1.86,958.6,1782.996
1662163200,2022-09-03 00:00:00,ANT/EUR,1.77,1.84,1.77,1.84,350.4,644.736
1662076800,2022-09-02 00:00:00,ANT/EUR,1.74,1.80,1.70,1.78,705.1,1255.078
1661990400,2022-09-01 00:00:00,ANT/EUR,1.69,1.74,1.66,1.74,771.7,1342.758
1661904000,2022-08-31 00:00:00,ANT/EUR,1.62,1.62,1.62,1.62,19.3,31.266000000000002
1661817600,2022-08-30 00:00:00,ANT/EUR,1.64,1.64,1.62,1.62,100.6,162.972
1661731200,2022-08-29 00:00:00,ANT/EUR,1.62,1.62,1.62,1.62,21.3,34.506
1661644800,2022-08-28 00:00:00,ANT/EUR,1.58,1.60,1.58,1.59,392.0,623.2800000000001
1661558400,2022-08-27 00:00:00,ANT/EUR,1.57,1.58,1.57,1.58,61.0,96.38000000000001
1661472000,2022-08-26 00:00:00,ANT/EUR,1.77,1.77,1.53,1.53,484.5,741.285
1661385600,2022-08-25 00:00:00,ANT/EUR,1.73,1.77,1.73,1.77,487.1,862.167
1661299200,2022-08-24 00:00:00,ANT/EUR,1.75,1.75,1.70,1.73,3217.1,5565.583
1661212800,2022-08-23 00:00:00,ANT/EUR,1.71,2.62,1.69,1.74,3596.3,6257.562
1661126400,2022-08-22 00:00:00,ANT/EUR,1.57,1.60,1.57,1.60,194.5,311.20000000000005
1661040000,2022-08-21 00:00:00,ANT/EUR,1.65,1.66,1.62,1.62,215.9,349.75800000000004
1660953600,2022-08-20 00:00:00,ANT/EUR,1.64,1.64,1.56,1.57,207.3,325.461
1660867200,2022-08-19 00:00:00,ANT/EUR,1.66,1.67,1.58,1.62,561.5,909.6300000000001
1660780800,2022-08-18 00:00:00,ANT/EUR,1.87,1.89,1.77,1.77,103.7,183.549
1660694400,2022-08-17 00:00:00,ANT/EUR,1.96,1.96,1.96,1.96,5.2,10.192
1660608000,2022-08-16 00:00:00,ANT/EUR,1.99,1.99,1.99,1.99,45.2,89.94800000000001
1660521600,2022-08-15 00:00:00,ANT/EUR,2.00,2.00,1.92,1.93,152.9,295.097
1660435200,2022-08-14 00:00:00,ANT/EUR,2.05,2.05,1.95,1.96,153.6,301.056
1660348800,2022-08-13 00:00:00,ANT/EUR,2.14,2.14,2.14,2.14,0.0,0.0
1660262400,2022-08-12 00:00:00,ANT/EUR,2.14,2.14,2.14,2.14,0.0,0.0
1660176000,2022-08-11 00:00:00,ANT/EUR,2.18,2.18,2.14,2.14,98.0,209.72
1660089600,2022-08-10 00:00:00,ANT/EUR,2.21,2.26,2.17,2.17,292.4,634.5079999999999
1660003200,2022-08-09 00:00:00,ANT/EUR,2.08,2.23,2.04,2.08,602.1,1252.3680000000002
1659916800,2022-08-08 00:00:00,ANT/EUR,2.09,2.09,2.09,2.09,25.0,52.25
1659830400,2022-08-07 00:00:00,ANT/EUR,1.99,2.09,1.99,2.05,183.4,375.96999999999997
1659744000,2022-08-06 00:00:00,ANT/EUR,2.00,2.00,2.00,2.00,89.4,178.8
1659657600,2022-08-05 00:00:00,ANT/EUR,1.95,1.99,1.95,1.99,121.4,241.586
1659571200,2022-08-04 00:00:00,ANT/EUR,1.95,1.95,1.93,1.93,466.9,901.117
1659484800,2022-08-03 00:00:00,ANT/EUR,1.96,1.97,1.95,1.96,808.8,1585.2479999999998
1659398400,2022-08-02 00:00:00,ANT/EUR,1.85,2.00,1.80,2.00,347.2,694.4
1659312000,2022-08-01 00:00:00,ANT/EUR,1.98,2.13,1.93,1.98,807.5,1598.85
1659225600,2022-07-31 00:00:00,ANT/EUR,1.96,2.06,1.91,1.91,211.0,403.01
1659139200,2022-07-30 00:00:00,ANT/EUR,2.01,2.01,1.91,1.91,50.8,97.02799999999999
1659052800,2022-07-29 00:00:00,ANT/EUR,1.89,2.18,1.89,2.09,208.1,434.929
1658966400,2022-07-28 00:00:00,ANT/EUR,1.69,1.78,1.69,1.78,81.7,145.42600000000002
1658880000,2022-07-27 00:00:00,ANT/EUR,1.69,1.70,1.69,1.70,56.0,95.2
1658793600,2022-07-26 00:00:00,ANT/EUR,1.62,1.62,1.62,1.62,0.0,0.0
1658707200,2022-07-25 00:00:00,ANT/EUR,1.61,1.63,1.61,1.62,852.4,1380.8880000000001
