https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume POWR,Volume USDT
1663459200,2022-09-18 00:00:00,POWR/USDT,0.2105,0.2116,0.2097,0.2106,743.3263,156.57582086
1663372800,2022-09-17 00:00:00,POWR/USDT,0.2061,0.2105,0.2054,0.2105,7772.86980346,1617.265190454152
1663286400,2022-09-16 00:00:00,POWR/USDT,0.2062,0.2076,0.2029,0.2048,53939.47428767,11067.818589789152
1663200000,2022-09-15 00:00:00,POWR/USDT,0.2124,0.2156,0.2045,0.2052,128719.62950816,27063.049427737396
1663113600,2022-09-14 00:00:00,POWR/USDT,0.2083,0.2138,0.2057,0.2122,100885.0814483,21219.379622016567
1663027200,2022-09-13 00:00:00,POWR/USDT,0.2353,0.2356,0.2088,0.2088,134796.51111513,29939.133117418122
1662940800,2022-09-12 00:00:00,POWR/USDT,0.2315,0.2847,0.2283,0.2353,417792.69026833,105930.742901177098
1662854400,2022-09-11 00:00:00,POWR/USDT,0.2208,0.2457,0.2177,0.2315,191819.19658775,44616.354246656135
1662768000,2022-09-10 00:00:00,POWR/USDT,0.2215,0.2226,0.2159,0.2212,64329.02703367,14138.104102949767
1662681600,2022-09-09 00:00:00,POWR/USDT,0.2139,0.2266,0.2116,0.2212,181065.17530078,39635.359772783424
1662595200,2022-09-08 00:00:00,POWR/USDT,0.2025,0.2292,0.2007,0.2139,369476.9328431,79169.622580661569
1662508800,2022-09-07 00:00:00,POWR/USDT,0.1971,0.2052,0.1899,0.2022,81866.43487628,15976.191141793252
1662422400,2022-09-06 00:00:00,POWR/USDT,0.2085,0.2118,0.1968,0.1974,72515.03470581,14851.048116472622
1662336000,2022-09-05 00:00:00,POWR/USDT,0.2109,0.2115,0.2058,0.2088,40984.85024752,8516.518575432681
1662249600,2022-09-04 00:00:00,POWR/USDT,0.2088,0.2106,0.2068,0.2106,26813.51561131,5617.731587504483
1662163200,2022-09-03 00:00:00,POWR/USDT,0.2086,0.2102,0.2075,0.2102,19611.95449368,4096.178027584413
1662076800,2022-09-02 00:00:00,POWR/USDT,0.2097,0.2171,0.2078,0.2091,77990.67766726,16531.702599434143
1661990400,2022-09-01 00:00:00,POWR/USDT,0.212,0.2129,0.2037,0.2097,91553.07885105,19000.39996840054
1661904000,2022-08-31 00:00:00,POWR/USDT,0.2099,0.2157,0.2096,0.2124,64217.80393631,13651.294963570535
1661817600,2022-08-30 00:00:00,POWR/USDT,0.2108,0.2159,0.2041,0.209,84821.5647553,17758.680184259805
1661731200,2022-08-29 00:00:00,POWR/USDT,0.2031,0.2111,0.1998,0.2109,114138.13425242,23338.137791893321
1661644800,2022-08-28 00:00:00,POWR/USDT,0.2064,0.225,0.2022,0.2022,341454.07300386,72127.177826116193
1661558400,2022-08-27 00:00:00,POWR/USDT,0.2079,0.2087,0.203,0.2062,100247.33061156,20552.609620073799
