https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LAYER,Volume USDT
1663459200,2022-09-18 00:00:00,LAYER/USDT,0.0524,0.05257,0.0524,0.05257,115.2931,6.055480266
1663372800,2022-09-17 00:00:00,LAYER/USDT,0.05102,0.05399,0.05089,0.0524,2083231.2898,109248.59853764
1663286400,2022-09-16 00:00:00,LAYER/USDT,0.0518,0.05346,0.05001,0.05097,210097.0038,10816.474960543
1663200000,2022-09-15 00:00:00,LAYER/USDT,0.05405,0.05507,0.05061,0.05174,291817.7443,15290.677701839
1663113600,2022-09-14 00:00:00,LAYER/USDT,0.05467,0.05515,0.05281,0.05405,492972.9256,26461.514507575
1663027200,2022-09-13 00:00:00,LAYER/USDT,0.06034,0.06034,0.05311,0.05467,1040221.69680089,58628.3172949395139
1662940800,2022-09-12 00:00:00,LAYER/USDT,0.05797,0.06189,0.0575,0.06034,713380.362,42147.58238115
1662854400,2022-09-11 00:00:00,LAYER/USDT,0.0576,0.05864,0.05743,0.05791,580339.3311,33537.842073926
1662768000,2022-09-10 00:00:00,LAYER/USDT,0.05905,0.0644,0.057,0.05778,2172108.9526,128275.25704294
1662681600,2022-09-09 00:00:00,LAYER/USDT,0.05693,0.06011,0.0569,0.05905,1304044.112,75747.863117677
1662595200,2022-09-08 00:00:00,LAYER/USDT,0.05854,0.05893,0.056,0.05693,1649123.001,95013.657384083
1662508800,2022-09-07 00:00:00,LAYER/USDT,0.0584,0.0599,0.0532,0.05814,1348556.184,77423.228618258
1662422400,2022-09-06 00:00:00,LAYER/USDT,0.0586,0.0617,0.05767,0.0589,1728506.6816,101847.904609771
1662336000,2022-09-05 00:00:00,LAYER/USDT,0.05862,0.05942,0.0581,0.0581,1971623.1486,115249.557618496
1662249600,2022-09-04 00:00:00,LAYER/USDT,0.0603,0.0626,0.05781,0.05863,2022389.9271,121253.997262135
1662163200,2022-09-03 00:00:00,LAYER/USDT,0.06118,0.0623,0.06022,0.06025,410056.5101,24994.770468184
1662076800,2022-09-02 00:00:00,LAYER/USDT,0.05889,0.06257,0.05824,0.06079,996667.1742,60570.815088903
1661990400,2022-09-01 00:00:00,LAYER/USDT,0.05784,0.0609,0.05733,0.05925,1126093.2792,66297.107796548
1661904000,2022-08-31 00:00:00,LAYER/USDT,0.05767,0.06018,0.0572,0.05783,756217.8109,45000.550592745
1661817600,2022-08-30 00:00:00,LAYER/USDT,0.05776,0.05921,0.05624,0.05761,163332.8064,9555.930608939
1661731200,2022-08-29 00:00:00,LAYER/USDT,0.05819,0.05909,0.0568,0.0578,361897.0346,20912.238166149
1661644800,2022-08-28 00:00:00,LAYER/USDT,0.0586,0.0587,0.05727,0.05768,1242182.3037,72381.266289539
1661558400,2022-08-27 00:00:00,LAYER/USDT,0.06035,0.06065,0.05776,0.05809,1110588.9184,65747.555800482
1661472000,2022-08-26 00:00:00,LAYER/USDT,0.06307,0.06568,0.06022,0.06035,816305.5628,50304.290148502
1661385600,2022-08-25 00:00:00,LAYER/USDT,0.06227,0.0634,0.06176,0.0626,1319520.5134,82523.873579726
1661299200,2022-08-24 00:00:00,LAYER/USDT,0.06077,0.06329,0.05995,0.0621,2242482.2094,139125.552835671
1661212800,2022-08-23 00:00:00,LAYER/USDT,0.05819,0.06589,0.05819,0.06077,2533965.9725,149994.814580336
1661126400,2022-08-22 00:00:00,LAYER/USDT,0.05978,0.06614,0.05709,0.05862,340497.5803,20088.686733984
1661040000,2022-08-21 00:00:00,LAYER/USDT,0.05868,0.05979,0.0582,0.05931,292755.8803,17148.601392831
1660953600,2022-08-20 00:00:00,LAYER/USDT,0.0611,0.0622,0.0575,0.05837,384424.9863,23119.728460615
1660867200,2022-08-19 00:00:00,LAYER/USDT,0.06753,0.06823,0.06107,0.0616,309411.0878,20058.468009497
1660780800,2022-08-18 00:00:00,LAYER/USDT,0.06681,0.0688,0.06681,0.06753,1320299.9017,88397.935351883
1660694400,2022-08-17 00:00:00,LAYER/USDT,0.0691,0.07125,0.06593,0.06681,685116.8109,47094.954259782
1660608000,2022-08-16 00:00:00,LAYER/USDT,0.0706,0.0711,0.06825,0.0691,124530.2808,8684.393472478
1660521600,2022-08-15 00:00:00,LAYER/USDT,0.06988,0.07369,0.06865,0.0711,454782.2656,31995.04791885
1660435200,2022-08-14 00:00:00,LAYER/USDT,0.0726,0.07399,0.06854,0.06978,410650.5266,29608.934039345
1660348800,2022-08-13 00:00:00,LAYER/USDT,0.0724,0.07459,0.0708,0.07324,789228.879,57129.432177158
