https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMPL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,AMPL/USDT,0.9514,0.9514,0.9514,0.9514,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,AMPL/USDT,0.9917,1.0079,0.9424,0.9514,46701.78253100694,44432.0759
1663372800000.0,2022-09-17 00:00:00,AMPL/USDT,0.9564,0.997,0.9515,0.9917,10391.703539376827,10305.4524
1663286400000.0,2022-09-16 00:00:00,AMPL/USDT,0.9902,1.0087,0.9162,0.9564,37858.2560644082,36207.6361
1663200000000.0,2022-09-15 00:00:00,AMPL/USDT,1.0765,1.0833,0.943,0.9902,114954.68006463342,113828.1242
1663113600000.0,2022-09-14 00:00:00,AMPL/USDT,1.0544,1.116,1.0388,1.0765,28364.805573618207,30534.7132
1663027200000.0,2022-09-13 00:00:00,AMPL/USDT,1.2646,1.2909,1.0479,1.0544,97197.11058421852,102484.6334
1662940800000.0,2022-09-12 00:00:00,AMPL/USDT,1.2731,1.3061,1.2083,1.2646,78523.01976909695,99300.2108
1662854400000.0,2022-09-11 00:00:00,AMPL/USDT,1.1425,1.3494,1.1391,1.2731,104493.0278061425,133030.0737
1662768000000.0,2022-09-10 00:00:00,AMPL/USDT,1.0635,1.1489,1.0476,1.1425,37635.01619256017,42998.006
1662681600000.0,2022-09-09 00:00:00,AMPL/USDT,0.9635,1.0689,0.9594,1.0635,21627.438740009406,23000.7811
1662595200000.0,2022-09-08 00:00:00,AMPL/USDT,0.951,0.9703,0.951,0.9635,18494.686559418784,17819.6305
1662508800000.0,2022-09-07 00:00:00,AMPL/USDT,0.9405,0.9732,0.905,0.951,52062.58296529969,49511.5164
1662422400000.0,2022-09-06 00:00:00,AMPL/USDT,0.9858,1.0043,0.9309,0.9405,54690.688463583196,51436.5925
1662336000000.0,2022-09-05 00:00:00,AMPL/USDT,0.95,1.0068,0.9398,0.9858,52545.17062284439,51799.0292
