https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUSD,Volume USDT
1661644800,2022-08-28 00:00:00,SUSD/USDT,1.00585,1.00585,1.002922,1.002922,40.8446,41.0795327756
1661641200,2022-08-27 23:00:00,SUSD/USDT,1.005849,1.005852,1.005849,1.005852,16.3246,16.4201310813
1661637600,2022-08-27 22:00:00,SUSD/USDT,1.0029,1.005853,1.0029,1.005852,400.4909,402.8332412098
1661634000,2022-08-27 21:00:00,SUSD/USDT,1.0029,1.0029,1.0029,1.0029,0,0
1661630400,2022-08-27 20:00:00,SUSD/USDT,1.0029,1.0029,1.0029,1.0029,1.0387,1.04171223
1661626800,2022-08-27 19:00:00,SUSD/USDT,1.00585,1.00585,1.00585,1.00585,41.6801,41.923928585
1661623200,2022-08-27 18:00:00,SUSD/USDT,1.005843,1.005843,1.0029,1.0029,3.8794,3.8941624516
1661619600,2022-08-27 17:00:00,SUSD/USDT,1.0029,1.0029,1.0029,1.0029,1.0934,1.09657086
1661616000,2022-08-27 16:00:00,SUSD/USDT,1.0029,1.005837,1.0029,1.0029,1014.7317,1017.7107492141
1661612400,2022-08-27 15:00:00,SUSD/USDT,1.005828,1.005838,1.0029,1.0029,12.9547,13.0215505878
1661608800,2022-08-27 14:00:00,SUSD/USDT,1.002901,1.002901,1.002901,1.002901,0.8477,0.8501591777
1661605200,2022-08-27 13:00:00,SUSD/USDT,1.005846,1.005846,1.005846,1.005846,0,0
1661601600,2022-08-27 12:00:00,SUSD/USDT,1.005846,1.005846,1.005846,1.005846,0,0
1661598000,2022-08-27 11:00:00,SUSD/USDT,1.0029,1.005846,1.0029,1.005846,14.2202,14.2993755288
1661594400,2022-08-27 10:00:00,SUSD/USDT,1.005815,1.005849,1.005815,1.005842,10.9601,11.0241307573
1661590800,2022-08-27 09:00:00,SUSD/USDT,1.0029,1.0029,1.0029,1.0029,1.1618,1.16516922
1661587200,2022-08-27 08:00:00,SUSD/USDT,1.005843,1.005843,1.005843,1.005843,0,0
1661583600,2022-08-27 07:00:00,SUSD/USDT,1.005843,1.005843,1.005843,1.005843,9.9668,10.0250360124
1661580000,2022-08-27 06:00:00,SUSD/USDT,1.0029,1.0029,1.0029,1.0029,1.1211,1.12435119
1661576400,2022-08-27 05:00:00,SUSD/USDT,1.0029,1.005657,1.0029,1.0029,297.1345,298.1875724433
1661572800,2022-08-27 04:00:00,SUSD/USDT,1.005653,1.005653,1.005653,1.005653,0,0
1661569200,2022-08-27 03:00:00,SUSD/USDT,1.0029,1.005653,1.0029,1.005653,330.0925,331.0529688896
1661565600,2022-08-27 02:00:00,SUSD/USDT,1.0029,1.00566,1.0029,1.00566,8.1734,8.2192858752
1661562000,2022-08-27 01:00:00,SUSD/USDT,1.005645,1.005645,1.005645,1.005645,0,0
1661558400,2022-08-27 00:00:00,SUSD/USDT,1.0029,1.005645,1.0029,1.005645,27.253,27.33244545
1661554800,2022-08-26 23:00:00,SUSD/USDT,1.0029,1.0029,1.0029,1.0029,1.3093,1.31309697
1661551200,2022-08-26 22:00:00,SUSD/USDT,1.005677,1.005677,1.005677,1.005677,0,0
1661547600,2022-08-26 21:00:00,SUSD/USDT,1.003046,1.005677,1.0029,1.005677,233.4829,234.1605864514
1661544000,2022-08-26 20:00:00,SUSD/USDT,1.003046,1.003046,1.003046,1.003046,0,0
1661540400,2022-08-26 19:00:00,SUSD/USDT,1.005804,1.005811,1.0029,1.003046,8.8663,8.8941085096
1661536800,2022-08-26 18:00:00,SUSD/USDT,1.003045,1.003045,1.003045,1.003045,0.1994,0.200007173
1661533200,2022-08-26 17:00:00,SUSD/USDT,1.005828,1.005828,1.0029,1.0029,23.4811,23.5511050178
1661529600,2022-08-26 16:00:00,SUSD/USDT,1.002904,1.002904,1.0029,1.0029,49.3355,49.4786624051
1661526000,2022-08-26 15:00:00,SUSD/USDT,1.00301,1.005745,1.0029,1.0029,2153.9349,2161.4292830389
1661522400,2022-08-26 14:00:00,SUSD/USDT,1.003012,1.005995,1.003002,1.00301,568.3925,570.3764921306
1661518800,2022-08-26 13:00:00,SUSD/USDT,1.005996,1.005996,1.00315,1.00315,405.5722,408.0033209546
1661515200,2022-08-26 12:00:00,SUSD/USDT,1.003,1.005994,1.003,1.005994,2.7585,2.7716518854
1661511600,2022-08-26 11:00:00,SUSD/USDT,1.003003,1.006055,1.003,1.003,311.9637,312.9004875919
1661508000,2022-08-26 10:00:00,SUSD/USDT,1.003011,1.003011,1.003,1.003,168.6675,169.1739566515
1661504400,2022-08-26 09:00:00,SUSD/USDT,1.006051,1.006051,1.003001,1.003001,1.4246,1.4293324196
