https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AGLD,Volume USDT
1663459200,2022-09-18 00:00:00,AGLD/USDT,0.3576,0.3576,0.3521,0.3527,4470.1644,1575.71254475
1663372800,2022-09-17 00:00:00,AGLD/USDT,0.3465,0.3607,0.3465,0.3576,110791.2593,39549.2977393
1663286400,2022-09-16 00:00:00,AGLD/USDT,0.3545,0.3617,0.3394,0.3461,59333.725,20795.4401865
1663200000,2022-09-15 00:00:00,AGLD/USDT,0.3782,0.3787,0.3514,0.3544,54109.38,19674.47095341
1663113600,2022-09-14 00:00:00,AGLD/USDT,0.4017,0.4042,0.369,0.3802,36841.339,14141.76042203
1663027200,2022-09-13 00:00:00,AGLD/USDT,0.4063,0.474,0.3999,0.4038,273602.9084,119040.14559348
1662940800,2022-09-12 00:00:00,AGLD/USDT,0.4235,0.4251,0.398,0.4078,31809.7915,13032.94518865
1662854400,2022-09-11 00:00:00,AGLD/USDT,0.4214,0.4353,0.4074,0.4233,76665.3012,32120.6801999
1662768000,2022-09-10 00:00:00,AGLD/USDT,0.4155,0.4281,0.4124,0.4194,50695.9244,21250.73097747
1662681600,2022-09-09 00:00:00,AGLD/USDT,0.4035,0.433,0.4035,0.4155,87260.6082,36226.8246073
1662595200,2022-09-08 00:00:00,AGLD/USDT,0.4229,0.4238,0.4,0.4031,113339.0742,46485.67097652
1662508800,2022-09-07 00:00:00,AGLD/USDT,0.4318,0.4627,0.3965,0.4202,543288.9905,233732.31643763
1662422400,2022-09-06 00:00:00,AGLD/USDT,0.3734,0.44,0.3694,0.4301,435393.07605412,176925.06383577154
1662336000,2022-09-05 00:00:00,AGLD/USDT,0.3569,0.374,0.3506,0.3731,51447.416,18784.32699709
1662249600,2022-09-04 00:00:00,AGLD/USDT,0.3666,0.3714,0.3533,0.3563,27092.2229,9732.74780263
1662163200,2022-09-03 00:00:00,AGLD/USDT,0.3506,0.3959,0.3466,0.3664,131995.2886,49344.24053365
1662076800,2022-09-02 00:00:00,AGLD/USDT,0.3455,0.3611,0.3414,0.3524,33588.4688,11800.82490285
1661990400,2022-09-01 00:00:00,AGLD/USDT,0.3456,0.3495,0.3348,0.3455,10474.577,3572.04831895
1661904000,2022-08-31 00:00:00,AGLD/USDT,0.3371,0.3858,0.3365,0.3456,99507.0465,35877.91500379
