https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDN,Volume USDT
1663372800,2022-09-17 00:00:00,USDN/USDT,0.9188,0.9211,0.9098,0.9138,7916.9585,7246.04336598
1663286400,2022-09-16 00:00:00,USDN/USDT,0.9152,0.9273,0.898,0.9189,24594.8743,22537.20665837
1663200000,2022-09-15 00:00:00,USDN/USDT,0.9042,0.9674,0.8881,0.9154,87854.6316,81326.54653917
1663113600,2022-09-14 00:00:00,USDN/USDT,0.9158,0.9369,0.8604,0.9075,70621.3985,63782.10317438
1663027200,2022-09-13 00:00:00,USDN/USDT,0.9341,0.9563,0.9158,0.9158,97843.2547,91413.66854891
1662940800,2022-09-12 00:00:00,USDN/USDT,0.9377,0.9674,0.9304,0.9382,88374.8045,84162.70870661
1662854400,2022-09-11 00:00:00,USDN/USDT,0.9286,0.95,0.9286,0.9378,23150.7213,21806.55656817
1662768000,2022-09-10 00:00:00,USDN/USDT,0.9214,0.956,0.9214,0.9259,67333.8913,63658.37557145
1662681600,2022-09-09 00:00:00,USDN/USDT,0.9231,0.9481,0.8711,0.9214,96656.2023,87401.91658159
1662595200,2022-09-08 00:00:00,USDN/USDT,0.9386,0.9459,0.9168,0.9238,30685.9768,28650.9361246
1662508800,2022-09-07 00:00:00,USDN/USDT,0.9365,0.944,0.9312,0.9386,20786.9994,19470.35659471
1662422400,2022-09-06 00:00:00,USDN/USDT,0.9406,0.948,0.9366,0.937,18560.8361,17523.3310104
1662336000,2022-09-05 00:00:00,USDN/USDT,0.95,0.9582,0.9385,0.9406,63761.5468,60510.52984355
1662249600,2022-09-04 00:00:00,USDN/USDT,0.9311,0.9655,0.9178,0.9515,51860.5213,49237.56325897
1662163200,2022-09-03 00:00:00,USDN/USDT,0.9404,0.9495,0.931,0.9311,9562.8029,8963.92098776
1662076800,2022-09-02 00:00:00,USDN/USDT,0.9539,0.9554,0.9385,0.9404,38393.3411,36526.35597621
1661990400,2022-09-01 00:00:00,USDN/USDT,0.9612,0.9655,0.9493,0.9542,83944.8018,80294.91461915
1661904000,2022-08-31 00:00:00,USDN/USDT,0.9705,0.9752,0.9545,0.9613,118167.1556,114433.0469392
1661817600,2022-08-30 00:00:00,USDN/USDT,0.9771,0.98,0.97,0.9705,102096.0837,99667.34246685
1661731200,2022-08-29 00:00:00,USDN/USDT,0.9811,0.9817,0.972,0.9768,96638.836,94477.19144054
1661644800,2022-08-28 00:00:00,USDN/USDT,0.978,0.9824,0.974,0.9812,89245.9786,87456.16571693
1661558400,2022-08-27 00:00:00,USDN/USDT,0.9803,0.9839,0.9705,0.9784,90639.5143,88709.0218233
1661472000,2022-08-26 00:00:00,USDN/USDT,0.9435,0.9839,0.855,0.9803,187056.9561,177567.98195087
1661385600,2022-08-25 00:00:00,USDN/USDT,0.9808,0.983,0.941,0.9435,122973.0164,118792.61382331
1661299200,2022-08-24 00:00:00,USDN/USDT,0.99,0.991,0.9809,0.9825,89406.6283,88307.15197294
1661212800,2022-08-23 00:00:00,USDN/USDT,0.9825,0.9984,0.9758,0.9901,104609.3,103114.50893515
1661126400,2022-08-22 00:00:00,USDN/USDT,0.9745,0.9829,0.9688,0.9823,89102.9748,87001.89869259
1661040000,2022-08-21 00:00:00,USDN/USDT,0.9723,0.987,0.9673,0.9782,85821.0998,83750.12756582
1660953600,2022-08-20 00:00:00,USDN/USDT,0.9706,0.979,0.965,0.9723,91129.1018,88480.36169679
1660867200,2022-08-19 00:00:00,USDN/USDT,0.9865,0.9873,0.9706,0.971,88038.0417,86165.65361374
1660780800,2022-08-18 00:00:00,USDN/USDT,0.9842,0.9874,0.9751,0.9865,101942.2484,100369.88038698
1660694400,2022-08-17 00:00:00,USDN/USDT,0.9867,0.9909,0.9808,0.9845,88290.7604,87102.48398243
1660608000,2022-08-16 00:00:00,USDN/USDT,0.9863,0.992,0.973,0.9866,87984.2495,86809.30372907
1660521600,2022-08-15 00:00:00,USDN/USDT,0.9884,0.992,0.98,0.9864,98572.9507,97301.502123
1660435200,2022-08-14 00:00:00,USDN/USDT,0.988,0.99,0.9859,0.9884,91369.2642,90286.42078498
1660348800,2022-08-13 00:00:00,USDN/USDT,0.9863,0.9895,0.9852,0.9884,87048.0956,85962.36626726
1660262400,2022-08-12 00:00:00,USDN/USDT,0.9875,0.9888,0.9827,0.9863,75197.1652,74233.60021795
1660176000,2022-08-11 00:00:00,USDN/USDT,0.987,0.99,0.9721,0.9875,93180.2167,91900.4721787
1660089600,2022-08-10 00:00:00,USDN/USDT,0.9854,0.99,0.9836,0.9874,80940.903,79873.94249887
1660003200,2022-08-09 00:00:00,USDN/USDT,0.9878,0.9918,0.983,0.9855,85275.1773,84165.0569752
1659916800,2022-08-08 00:00:00,USDN/USDT,0.9852,0.988,0.951,0.9877,164470.8404,161116.80523527
1659830400,2022-08-07 00:00:00,USDN/USDT,0.9861,0.988,0.9637,0.9853,110006.5559,108203.56143889
1659744000,2022-08-06 00:00:00,USDN/USDT,0.997,0.9971,0.9754,0.9862,122154.0976,120673.93623373
1659657600,2022-08-05 00:00:00,USDN/USDT,0.9894,1.0059,0.988,0.997,179011.5114,178485.71985063
1659571200,2022-08-04 00:00:00,USDN/USDT,0.9887,0.9945,0.9869,0.9894,77910.2312,77176.84665815
1659484800,2022-08-03 00:00:00,USDN/USDT,0.99,0.9913,0.986,0.9888,88156.5022,87174.18389973
1659398400,2022-08-02 00:00:00,USDN/USDT,0.9912,0.9958,0.9861,0.9904,79699.908,78886.23130772
1659312000,2022-08-01 00:00:00,USDN/USDT,0.991,0.992,0.9862,0.9915,82289.645,81408.04345473
1659225600,2022-07-31 00:00:00,USDN/USDT,0.991,0.9969,0.988,0.9914,60687.899,60212.936926
1659139200,2022-07-30 00:00:00,USDN/USDT,0.99,0.9959,0.988,0.9914,79006.8358,78231.29745972
1659052800,2022-07-29 00:00:00,USDN/USDT,0.99,0.995,0.987,0.99,78740.2857,77995.46645057
1658966400,2022-07-28 00:00:00,USDN/USDT,0.991,0.9959,0.9871,0.9897,70331.685,69697.60066069
1658880000,2022-07-27 00:00:00,USDN/USDT,0.9868,0.9989,0.9861,0.9911,97342.8277,96448.44478097
1658793600,2022-07-26 00:00:00,USDN/USDT,0.9869,0.9885,0.986,0.9868,81396.0271,80351.42602396
1658707200,2022-07-25 00:00:00,USDN/USDT,0.9902,0.9946,0.9865,0.9869,78447.5245,77562.15324312
1658620800,2022-07-24 00:00:00,USDN/USDT,0.9881,0.9945,0.9862,0.9907,68571.7502,67879.37904539
1658534400,2022-07-23 00:00:00,USDN/USDT,0.9904,0.991,0.9861,0.9883,82269.0933,81404.59650983
1658448000,2022-07-22 00:00:00,USDN/USDT,0.9914,0.9955,0.9852,0.9904,79985.7382,79191.75209028
1658361600,2022-07-21 00:00:00,USDN/USDT,0.9871,0.992,0.9851,0.991,70756.5305,69957.71620084
1658275200,2022-07-20 00:00:00,USDN/USDT,0.9884,1.0048,0.9841,0.9852,84519.65092434,83748.53457940022
1658188800,2022-07-19 00:00:00,USDN/USDT,0.9861,0.991,0.9792,0.9884,118654.82203081,116971.175420970658
1658102400,2022-07-18 00:00:00,USDN/USDT,0.99,0.992,0.9842,0.9864,82331.04637459,81308.32984160532
1658016000,2022-07-17 00:00:00,USDN/USDT,0.987,0.992,0.9852,0.9904,83230.56202649,82356.102773439516
1657929600,2022-07-16 00:00:00,USDN/USDT,0.9875,0.992,0.9815,0.9875,96165.31160385,94963.440856863201
1657843200,2022-07-15 00:00:00,USDN/USDT,0.9915,0.9945,0.9811,0.9872,92919.46266956,91905.417081585759
1657756800,2022-07-14 00:00:00,USDN/USDT,0.9888,1.0049,0.988,0.9915,117000.62265601,116341.974441891525
1657670400,2022-07-13 00:00:00,USDN/USDT,0.9864,1.0049,0.9803,0.989,96344.09213479,95594.379148109597
1657584000,2022-07-12 00:00:00,USDN/USDT,0.9871,0.994,0.9806,0.9864,83358.70337437,82374.6020463063
1657497600,2022-07-11 00:00:00,USDN/USDT,0.991,0.9936,0.9862,0.9871,64521.41730635,63849.383330317435
1657411200,2022-07-10 00:00:00,USDN/USDT,0.9897,0.9972,0.9888,0.9915,102276.5992569,101665.009108543937
1657324800,2022-07-09 00:00:00,USDN/USDT,0.989,0.9914,0.9861,0.9897,83812.13061793,82883.223192732684
