https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PYR,Volume USDT
1663459200,2022-09-18 00:00:00,PYR/USDT,3.5214,3.5214,3.4521,3.4618,7589.46486628,26351.146190640647
1663372800,2022-09-17 00:00:00,PYR/USDT,3.3377,3.6108,3.3325,3.5174,232103.5240991,807028.522098970863
1663286400,2022-09-16 00:00:00,PYR/USDT,3.3316,3.4249,3.2126,3.339,407342.04094247,1349611.394891274907
1663200000,2022-09-15 00:00:00,PYR/USDT,3.5965,3.6038,3.2398,3.3268,605921.50442573,2066984.94785094341
1663113600,2022-09-14 00:00:00,PYR/USDT,3.5801,3.6999,3.322,3.5951,1072147.71333043,3748906.293141654626
1663027200,2022-09-13 00:00:00,PYR/USDT,4.0856,4.2696,3.5387,3.5856,1718353.83977283,6649011.68905732373
1662940800,2022-09-12 00:00:00,PYR/USDT,4.2507,4.3802,3.84,4.085,1916082.99970544,7845753.38572665695
1662854400,2022-09-11 00:00:00,PYR/USDT,3.7981,4.2626,3.6316,4.2545,1663539.89764191,6609956.492008719907
1662768000,2022-09-10 00:00:00,PYR/USDT,3.7877,3.9,3.6301,3.7985,1238747.63353525,4655638.031217888465
1662681600,2022-09-09 00:00:00,PYR/USDT,3.7333,4.05,3.7041,3.7892,1850615.42332529,7107936.290202387726
1662595200,2022-09-08 00:00:00,PYR/USDT,3.6682,3.7789,3.5801,3.7344,1038752.18910647,3808763.874094887619
1662508800,2022-09-07 00:00:00,PYR/USDT,3.3548,3.7548,3.2776,3.6684,1202705.65120234,4188132.183455141314
1662422400,2022-09-06 00:00:00,PYR/USDT,3.6131,3.7,3.3164,3.3545,1060060.5968452,3734809.115922779293
1662336000,2022-09-05 00:00:00,PYR/USDT,3.7411,3.8,3.535,3.6087,421946.48121246,1530989.065378013345
1662249600,2022-09-04 00:00:00,PYR/USDT,3.7304,3.7575,3.6571,3.741,149814.27921428,554589.276449295671
1662163200,2022-09-03 00:00:00,PYR/USDT,3.6364,3.8045,3.6074,3.7304,403995.87671493,1497696.36953996055
1662076800,2022-09-02 00:00:00,PYR/USDT,3.4735,3.749,3.4189,3.6275,491762.23464078,1759208.889225304014
1661990400,2022-09-01 00:00:00,PYR/USDT,3.6083,3.6136,3.3342,3.4712,389991.73928654,1347394.328480969165
1661904000,2022-08-31 00:00:00,PYR/USDT,3.4241,3.934,3.4174,3.6087,687456.05284035,2548426.689851692658
1661817600,2022-08-30 00:00:00,PYR/USDT,3.5174,3.655,3.269,3.4169,751089.82385115,2608801.515638091899
1661731200,2022-08-29 00:00:00,PYR/USDT,3.1611,3.5715,3.1332,3.5187,869730.18177716,2936043.932875519855
1661644800,2022-08-28 00:00:00,PYR/USDT,3.2907,3.3658,3.144,3.1614,321361.26691789,1054011.023207736005
1661558400,2022-08-27 00:00:00,PYR/USDT,3.3431,3.3833,3.2032,3.2922,229069.44234143,754276.843920402733
1661472000,2022-08-26 00:00:00,PYR/USDT,3.6911,3.7241,3.2969,3.3432,921070.4909623,3271873.188260691302
1661385600,2022-08-25 00:00:00,PYR/USDT,3.6203,3.815,3.6182,3.6911,418812.24025408,1560574.453314075318
1661299200,2022-08-24 00:00:00,PYR/USDT,3.7122,3.7799,3.5108,3.6298,209482.91873886,767495.802234556586
1661212800,2022-08-23 00:00:00,PYR/USDT,3.7231,3.8,3.5987,3.7079,226226.50350236,838430.726068090602
1661126400,2022-08-22 00:00:00,PYR/USDT,3.835,3.8666,3.528,3.7303,298817.66383113,1100311.741627582837
1661040000,2022-08-21 00:00:00,PYR/USDT,3.6528,4.1103,3.573,3.835,383683.90184861,1454672.687935445793
1660953600,2022-08-20 00:00:00,PYR/USDT,3.5924,3.8021,3.5853,3.6514,251221.12255674,927786.153826621178
1660867200,2022-08-19 00:00:00,PYR/USDT,3.7745,3.8238,3.5203,3.5881,465360.23238317,1699619.698354874562
1660780800,2022-08-18 00:00:00,PYR/USDT,3.9387,4.0653,3.7673,3.7798,196568.30590851,778963.790350693754
1660694400,2022-08-17 00:00:00,PYR/USDT,4.1295,4.3665,3.9,3.9362,959213.23928571,3949176.855580121828
1660608000,2022-08-16 00:00:00,PYR/USDT,4.3505,4.4166,4.1,4.1286,799287.01352374,3395393.91313089131
1660521600,2022-08-15 00:00:00,PYR/USDT,4.3494,4.6681,4.28,4.351,1078427.49172564,4750183.224743932186
1660435200,2022-08-14 00:00:00,PYR/USDT,4.6185,4.8468,4.3194,4.3486,995195.46830765,4557394.177227406972
1660348800,2022-08-13 00:00:00,PYR/USDT,4.7789,4.9226,4.58,4.6181,821506.23996395,3867416.679390116276
1660262400,2022-08-12 00:00:00,PYR/USDT,4.8359,4.95,4.5806,4.7799,549949.92496104,2597328.726221298646
1660176000,2022-08-11 00:00:00,PYR/USDT,5.0175,5.31,4.7409,4.8359,775577.64623753,3891387.399578756833
1660089600,2022-08-10 00:00:00,PYR/USDT,4.5692,5.2,4.4916,5.0175,1079901.70520474,5205630.477005236384
