https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume HAI
1663549200000,2022-09-19 01:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.00693342,8889.0
1663545600000,2022-09-19 00:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.03805932,48794.0
1663542000000,2022-09-18 23:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.026405340000000003,33853.0
1663538400000,2022-09-18 22:00:00,HAI/BTC,8.2e-07,8.3e-07,7.7e-07,7.8e-07,0.0304465055699922,39033.98149999
1663534800000,2022-09-18 21:00:00,HAI/BTC,7.8e-07,8.5e-07,7.8e-07,8.2e-07,0.0333262182608398,40641.72958639
1663527600000,2022-09-18 19:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.0001999999999998,256.41025641
1663520400000,2022-09-18 17:00:00,HAI/BTC,7.7e-07,7.7e-07,7.7e-07,7.7e-07,0.0004932799999974001,640.62337662
1663498800000,2022-09-18 11:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.0007800000000000001,1000.0
1663488000000,2022-09-18 08:00:00,HAI/BTC,7.7e-07,7.7e-07,7.7e-07,7.7e-07,3.85e-06,5.0
1663480800000,2022-09-18 06:00:00,HAI/BTC,8.1e-07,8.1e-07,7.8e-07,7.8e-07,0.020805366000003,26673.54615385
1663477200000,2022-09-18 05:00:00,HAI/BTC,8.1e-07,8.1e-07,8e-07,8e-07,0.0252864,31608.0
1663473600000,2022-09-18 04:00:00,HAI/BTC,8e-07,8.1e-07,8e-07,8.1e-07,0.030264839999999998,37364.0
1663470000000,2022-09-18 03:00:00,HAI/BTC,8.1e-07,8.1e-07,8e-07,8.1e-07,0.02300562,28402.0
1663466400000,2022-09-18 02:00:00,HAI/BTC,8.1e-07,8.1e-07,8e-07,8.1e-07,0.03936195,48595.0
1663462800000,2022-09-18 01:00:00,HAI/BTC,8e-07,8.1e-07,8e-07,8.1e-07,0.03033045,37445.0
1663459200000,2022-09-18 00:00:00,HAI/BTC,8.1e-07,8.1e-07,8e-07,8.1e-07,0.0315495,38950.0
1663455600000,2022-09-17 23:00:00,HAI/BTC,8.1e-07,8.1e-07,8e-07,8e-07,0.0324408,40551.0
1663452000000,2022-09-17 22:00:00,HAI/BTC,8e-07,8.1e-07,8e-07,8e-07,0.0319304,39913.0
1663448400000,2022-09-17 21:00:00,HAI/BTC,8.1e-07,8.1e-07,8e-07,8e-07,0.0337328,42166.0
1663444800000,2022-09-17 20:00:00,HAI/BTC,8.1e-07,8.1e-07,8e-07,8.1e-07,0.03641031,44951.0
1663441200000,2022-09-17 19:00:00,HAI/BTC,7.8e-07,8.1e-07,7.8e-07,8.1e-07,0.0253386987064362,31282.34408202
1663437600000,2022-09-17 18:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.02465658,31611.0
1663434000000,2022-09-17 17:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.03120078,40001.0
1663430400000,2022-09-17 16:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.031026840000000003,39778.0
1663426800000,2022-09-17 15:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.03087942,39589.0
1663423200000,2022-09-17 14:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.02255526,28917.0
1663419600000,2022-09-17 13:00:00,HAI/BTC,7.8e-07,7.8e-07,7.8e-07,7.8e-07,0.023652720000000002,30324.0
