https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFDAI,Volume USDT
1663459200,2022-09-18 00:00:00,YFDAI/USDT,26.1,28.19,25,27.06,420.78,11041.445279
1663372800,2022-09-17 00:00:00,YFDAI/USDT,23.59,46.36,23.15,26,7630.1229,234187.358927
1663286400,2022-09-16 00:00:00,YFDAI/USDT,23.89,24.79,22.58,23.18,548.4017,12919.344702
1663200000,2022-09-15 00:00:00,YFDAI/USDT,24.1,24.72,23.28,23.29,296.5688,7112.943769
1663113600,2022-09-14 00:00:00,YFDAI/USDT,23.82,29.1,23.78,24.1,3278.1002944,85801.568848008
1663027200,2022-09-13 00:00:00,YFDAI/USDT,24.04,25.95,23.2,23.77,683.004,16657.007149
1662940800,2022-09-12 00:00:00,YFDAI/USDT,25.29,26.48,24,24.03,908.519,22741.302765
1662854400,2022-09-11 00:00:00,YFDAI/USDT,25.13,26.48,24.91,25.48,479.4279,12390.719098
1662768000,2022-09-10 00:00:00,YFDAI/USDT,26.99,27.09,24.59,25.12,642.9035,16685.280051
1662681600,2022-09-09 00:00:00,YFDAI/USDT,25.23,27.5,24.66,27.18,1478.1238,39001.358606
1662595200,2022-09-08 00:00:00,YFDAI/USDT,24.35,31.99,24.22,25.18,4179.3025,116240.056194
1662508800,2022-09-07 00:00:00,YFDAI/USDT,24.97,25.29,23.15,24.34,1520.2949,36750.256196
1662422400,2022-09-06 00:00:00,YFDAI/USDT,25.43,28.82,24.56,24.98,813.019,21584.242712
1662336000,2022-09-05 00:00:00,YFDAI/USDT,26.75,27.6,24.16,25.43,1267.669,32527.525506
1662249600,2022-09-04 00:00:00,YFDAI/USDT,25.77,30,24.03,26.75,3245.1395,88450.018736
1662163200,2022-09-03 00:00:00,YFDAI/USDT,25.26,26,23.84,25.79,464.307,11511.908621
1662076800,2022-09-02 00:00:00,YFDAI/USDT,26.47,26.89,24.57,24.91,456.8431,11466.392514
1661990400,2022-09-01 00:00:00,YFDAI/USDT,26.09,26.92,23.44,26.02,757.1334,18968.200198
1661904000,2022-08-31 00:00:00,YFDAI/USDT,27.04,28.43,25.01,26.09,664.7599,17706.781308
1661817600,2022-08-30 00:00:00,YFDAI/USDT,27.53,28.77,26.03,27,259.1805,7136.688161
1661731200,2022-08-29 00:00:00,YFDAI/USDT,26.89,28.46,25.82,27.63,369.4765,10144.612191
1661644800,2022-08-28 00:00:00,YFDAI/USDT,29.02,30.74,26.23,26.89,1236.2766,34903.898084
1661558400,2022-08-27 00:00:00,YFDAI/USDT,28.52,30.65,28.41,29.91,281.5499,8275.342176
1661472000,2022-08-26 00:00:00,YFDAI/USDT,29.26,31.61,28.4,28.4,925.5565,27994.793302
1661385600,2022-08-25 00:00:00,YFDAI/USDT,29.21,31.84,28.2,29.13,582.7595,17380.58972
1661299200,2022-08-24 00:00:00,YFDAI/USDT,30.18,31.1,28.01,29.88,407.2688,12116.226355
1661212800,2022-08-23 00:00:00,YFDAI/USDT,30.08,31.56,29.72,30.09,582.817,17704.220002
1661126400,2022-08-22 00:00:00,YFDAI/USDT,31.04,32.39,28.83,30.26,1015.2995,30752.660944
1661040000,2022-08-21 00:00:00,YFDAI/USDT,31.01,33.99,30.61,31.31,1134.9994,36177.807249
1660953600,2022-08-20 00:00:00,YFDAI/USDT,31.12,32.04,30.08,31.07,684.5843,20931.67228
1660867200,2022-08-19 00:00:00,YFDAI/USDT,33.76,34.24,30.07,31.12,561.4336,18249.019656
1660780800,2022-08-18 00:00:00,YFDAI/USDT,33.66,44.07,33.66,34.2,3788.4575,141375.367545
1660694400,2022-08-17 00:00:00,YFDAI/USDT,35.9,37.2,33.64,33.65,726.1398,25520.356135
1660608000,2022-08-16 00:00:00,YFDAI/USDT,35.28,35.9,33.63,35.9,413.687,14441.163609
1660521600,2022-08-15 00:00:00,YFDAI/USDT,34.45,36.49,34.38,35.3,579.1983,20577.303712
