https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1663545600000.0,2022-09-19 00:00:00,BTC/USD,19418.0,19458.0,19392.0,19409.0,227.55608170436395,4416635.9898
1663459200000.0,2022-09-18 00:00:00,BTC/USD,20113.0,20115.0,19333.0,19418.0,15400.067828617775,299038517.0961
1663372800000.0,2022-09-17 00:00:00,BTC/USD,19805.0,20181.0,19750.0,20113.0,10683.716740854174,214881594.8088
1663286400000.0,2022-09-16 00:00:00,BTC/USD,19698.0,19887.0,19328.0,19805.0,18811.331888846253,372558428.0586
1663200000000.0,2022-09-15 00:00:00,BTC/USD,20220.0,20333.0,19438.0,19698.0,28586.513823464313,563097149.2946
1663113600000.0,2022-09-14 00:00:00,BTC/USD,20171.0,20531.0,19619.0,20228.0,26737.915218118447,540854549.0321
1663027200000.0,2022-09-13 00:00:00,BTC/USD,22403.0,22912.0,19858.0,20171.0,52725.52510370333,1063526566.8668
1662940800000.0,2022-09-12 00:00:00,BTC/USD,21833.0,22512.0,21560.0,22403.0,30150.361614234702,675458551.2437
1662854400000.0,2022-09-11 00:00:00,BTC/USD,21654.0,21862.0,21360.0,21833.0,14025.377568016305,306216068.4425
1662768000000.0,2022-09-10 00:00:00,BTC/USD,21367.0,21815.0,21130.0,21654.0,18233.39321033989,394825896.5767
1662681600000.0,2022-09-09 00:00:00,BTC/USD,19318.0,21612.0,19293.0,21367.0,33841.96801411523,723101330.5576
1662595200000.0,2022-09-08 00:00:00,BTC/USD,19292.0,19456.0,19011.0,19318.0,22861.906409214203,441646308.0132
1662508800000.0,2022-09-07 00:00:00,BTC/USD,18789.0,19464.0,18523.0,19292.0,24837.05865710139,479156535.6128
1662422400000.0,2022-09-06 00:00:00,BTC/USD,19793.0,20180.0,18650.0,18789.0,49751.08617079674,934773158.0631
1662336000000.0,2022-09-05 00:00:00,BTC/USD,20006.0,20057.0,19634.0,19793.0,17761.642881326734,351556197.5501
1662249600000.0,2022-09-04 00:00:00,BTC/USD,19829.0,20024.0,19580.0,20006.0,16489.49634104769,329888863.799
1662163200000.0,2022-09-03 00:00:00,BTC/USD,19951.0,20053.0,19649.0,19829.0,9582.440596303395,190010214.5841
1662076800000.0,2022-09-02 00:00:00,BTC/USD,20132.0,20434.0,19753.0,19951.0,21893.527756994637,436797772.2798
1661990400000.0,2022-09-01 00:00:00,BTC/USD,20049.0,20202.0,19561.0,20132.0,23118.08251313332,465413237.1544
1661904000000.0,2022-08-31 00:00:00,BTC/USD,19809.0,20494.0,19801.0,20049.0,28884.772317826322,579110800.2001
1661817600000.0,2022-08-30 00:00:00,BTC/USD,20288.0,20573.0,19542.0,19809.0,29412.95305749912,582641187.116
1661731200000.0,2022-08-29 00:00:00,BTC/USD,19555.0,20417.0,19553.0,20291.0,22861.61101816569,463884949.1696
1661644800000.0,2022-08-28 00:00:00,BTC/USD,20036.0,20155.0,19516.0,19555.0,15978.984921293788,312469050.1359
