https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT
1663459200,2022-09-18 00:00:00,BTT/USDT,0.0000008336,0.0000008341,0.0000008292,0.0000008314,40343388471.67317278,33533.416676916989782155
1663372800,2022-09-17 00:00:00,BTT/USDT,0.0000008234,0.0000008355,0.0000008165,0.0000008337,938928290678.49704028,776124.585575508841557981
1663286400,2022-09-16 00:00:00,BTT/USDT,0.0000008284,0.0000008347,0.0000008142,0.0000008232,1074443143932.41493314,886796.705046093814203309
1663200000,2022-09-15 00:00:00,BTT/USDT,0.0000008743,0.0000008815,0.0000008266,0.0000008283,1189194390248.50281353,1013924.353975814537455928
1663113600,2022-09-14 00:00:00,BTT/USDT,0.0000008582,0.0000008815,0.0000008544,0.0000008747,810301909463.55255443,700726.496722428804375962
1663027200,2022-09-13 00:00:00,BTT/USDT,0.0000009026,0.000000913,0.0000008564,0.0000008583,925324782988.57162286,818102.976028794536957706
1662940800,2022-09-12 00:00:00,BTT/USDT,0.0000009157,0.0000009215,0.000000897,0.0000009019,907790690307.04544588,824910.453102746696389957
1662854400,2022-09-11 00:00:00,BTT/USDT,0.0000009237,0.0000009303,0.0000009075,0.000000916,845606061165.73771957,779623.705944536497962265
1662768000,2022-09-10 00:00:00,BTT/USDT,0.0000009102,0.0000009264,0.0000009045,0.0000009238,764558210609.84049675,697454.455790960969606687
1662681600,2022-09-09 00:00:00,BTT/USDT,0.00000088,0.0000009171,0.00000088,0.0000009108,890384337691.01128208,804982.758328611938110579
1662595200,2022-09-08 00:00:00,BTT/USDT,0.0000008833,0.0000008916,0.0000008697,0.0000008811,693041211276.86821009,610890.829150338021506354
1662508800,2022-09-07 00:00:00,BTT/USDT,0.000000866,0.0000008919,0.0000008535,0.000000885,709073145255.37100384,612918.01223955604685534
1662422400,2022-09-06 00:00:00,BTT/USDT,0.000000891,0.0000009041,0.0000008638,0.0000008659,752543838578.95333786,668731.362348395621756191
1662336000,2022-09-05 00:00:00,BTT/USDT,0.0000008823,0.000000891,0.0000008726,0.0000008905,725604321896.62348032,640420.029741974491086037
1662249600,2022-09-04 00:00:00,BTT/USDT,0.0000008788,0.0000008843,0.0000008726,0.0000008825,860425828721.91192306,755854.831051574174444741
1662163200,2022-09-03 00:00:00,BTT/USDT,0.0000008882,0.0000008911,0.000000874,0.0000008787,722205001619.92137946,636064.745008387884426066
1662076800,2022-09-02 00:00:00,BTT/USDT,0.0000008888,0.0000009124,0.0000008776,0.0000008883,882473311523.33345691,788282.253439433469780396
1661990400,2022-09-01 00:00:00,BTT/USDT,0.0000008799,0.0000008912,0.0000008688,0.0000008877,758140816346.04026988,666708.424073188609542944
1661904000,2022-08-31 00:00:00,BTT/USDT,0.0000008793,0.00000091,0.0000008723,0.00000088,856842666765.08142091,763225.888414725404808055
1661817600,2022-08-30 00:00:00,BTT/USDT,0.000000882,0.0000009001,0.0000008628,0.0000008785,703228739461.89031831,621361.960044891564981722
1661731200,2022-08-29 00:00:00,BTT/USDT,0.0000008483,0.0000008824,0.0000008462,0.0000008819,711402439517.9203827,613812.544181865744392838
1661644800,2022-08-28 00:00:00,BTT/USDT,0.000000867,0.0000008722,0.0000008478,0.000000849,752377310858.22642248,651221.861620211932821558
1661558400,2022-08-27 00:00:00,BTT/USDT,0.0000008617,0.0000008751,0.0000008574,0.0000008668,628863819910.9818686,545755.197282509249991178
1661472000,2022-08-26 00:00:00,BTT/USDT,0.0000009158,0.0000009182,0.0000008614,0.0000008619,770646221333.85322973,688963.824918050548136504
1661385600,2022-08-25 00:00:00,BTT/USDT,0.0000009035,0.0000009348,0.0000009031,0.0000009159,3039884398416.66741467,2777758.98097874622667516
