https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume GBP,tradecount
1663545600000,2022-09-19 00:00:00,ETH/GBP,1167.68000000,1172.49000000,1165.81000000,1167.19000000,285.66960000,333849.31882300,365
1663459200000,2022-09-18 00:00:00,ETH/GBP,1286.91000000,1286.91000000,1163.77000000,1169.03000000,15639.16150000,19265545.14907600,24147
1663372800000,2022-09-17 00:00:00,ETH/GBP,1256.21000000,1293.39000000,1235.57000000,1287.23000000,13648.68950000,17285680.99314100,22187
1663286400000,2022-09-16 00:00:00,ETH/GBP,1287.68000000,1300.00000000,1233.52000000,1256.14000000,21303.60320000,27131576.80893200,38782
1663200000000,2022-09-15 00:00:00,ETH/GBP,1420.14000000,1447.61000000,1270.00000000,1286.50000000,28648.21010000,39010942.89594400,50663
1663113600000,2022-09-14 00:00:00,ETH/GBP,1369.42000000,1427.96000000,1351.16000000,1419.55000000,25631.24980000,35563031.09887300,46397
1663027200000,2022-09-13 00:00:00,ETH/GBP,1468.94000000,1499.92000000,1360.58000000,1369.42000000,26403.90950000,37635283.62235700,57959
1662940800000,2022-09-12 00:00:00,ETH/GBP,1519.08000000,1534.00000000,1446.87000000,1469.04000000,28998.09800000,43113968.91061700,45949
1662854400000,2022-09-11 00:00:00,ETH/GBP,1531.24000000,1542.98000000,1481.14000000,1520.36000000,20183.31300000,30681673.82723500,28500
1662768000000,2022-09-10 00:00:00,ETH/GBP,1482.32000000,1543.66000000,1472.96000000,1531.91000000,20708.39370000,30984633.46250400,37648
1662681600000,2022-09-09 00:00:00,ETH/GBP,1420.24000000,1508.58000000,1414.15000000,1482.81000000,14283.75150000,21068227.75351600,32151
1662595200000,2022-09-08 00:00:00,ETH/GBP,1415.86000000,1445.00000000,1388.29000000,1419.84000000,5786.96550000,8201529.24908700,19492
1662508800000,2022-09-07 00:00:00,ETH/GBP,1356.11000000,1436.86000000,1301.00000000,1415.07000000,3459.02380000,4695015.68077700,15613
1662422400000,2022-09-06 00:00:00,ETH/GBP,1400.08000000,1457.68000000,1352.00000000,1354.54000000,4362.31840000,6165198.71765000,17070
1662336000000,2022-09-05 00:00:00,ETH/GBP,1376.59000000,1410.54000000,1354.32000000,1399.47000000,2314.73720000,3187291.48066700,9822
1662249600000,2022-09-04 00:00:00,ETH/GBP,1354.00000000,1376.99000000,1340.01000000,1376.88000000,1516.53430000,2061063.60412000,5446
