https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SLP,Volume USDT
1663459200,2022-09-18 00:00:00,SLP/USDT,0.003674,0.003677,0.003648,0.00365,2924068.71658836,10676.66848886723585
1663372800,2022-09-17 00:00:00,SLP/USDT,0.003594,0.003745,0.003569,0.003674,80615279.32614447,293052.77777878945744
1663286400,2022-09-16 00:00:00,SLP/USDT,0.003559,0.003612,0.003504,0.003592,145884520.69999392,520665.73449645878142
1663200000,2022-09-15 00:00:00,SLP/USDT,0.003714,0.003752,0.003528,0.003556,194706022.00691295,712245.34628598774177
1663113600,2022-09-14 00:00:00,SLP/USDT,0.00372,0.00377,0.003607,0.00372,174007717.85345294,642040.44827716570983
1663027200,2022-09-13 00:00:00,SLP/USDT,0.003953,0.003974,0.003691,0.003722,199509731.14623025,759463.53420860581229
1662940800,2022-09-12 00:00:00,SLP/USDT,0.004032,0.004092,0.003871,0.003953,158987598.03944588,635477.15684830159652
1662854400,2022-09-11 00:00:00,SLP/USDT,0.004087,0.004128,0.003968,0.004038,127066231.85983176,514993.28582481116388
1662768000,2022-09-10 00:00:00,SLP/USDT,0.004036,0.00413,0.003975,0.004085,170101095.76826017,687595.96355529094239
1662681600,2022-09-09 00:00:00,SLP/USDT,0.003839,0.004101,0.003826,0.004032,148696768.96243938,594410.82893701114607
1662595200,2022-09-08 00:00:00,SLP/USDT,0.003842,0.003927,0.003739,0.003844,161369090.61891487,616321.03265003415886
1662508800,2022-09-07 00:00:00,SLP/USDT,0.003679,0.003896,0.003586,0.003838,210949207.64242237,786747.98271729353095
1662422400,2022-09-06 00:00:00,SLP/USDT,0.003934,0.004012,0.003678,0.00368,154011007.68496115,590838.49377050016758
1662336000,2022-09-05 00:00:00,SLP/USDT,0.003986,0.004016,0.003858,0.003934,69725315.73309094,272788.41798994611287
1662249600,2022-09-04 00:00:00,SLP/USDT,0.004042,0.004042,0.003946,0.003988,73171718.19049162,291648.04805176597923
1662163200,2022-09-03 00:00:00,SLP/USDT,0.003906,0.00427,0.003864,0.004043,196483455.37759988,802396.06411864618826
1662076800,2022-09-02 00:00:00,SLP/USDT,0.003901,0.00394,0.003851,0.003907,67339492.4828986,262205.32656265886504
1661990400,2022-09-01 00:00:00,SLP/USDT,0.003884,0.003924,0.003778,0.0039,98608024.17192054,379945.18068986016474
1661904000,2022-08-31 00:00:00,SLP/USDT,0.00384,0.003998,0.003836,0.003888,119857399.72203626,469160.33109121266703
1661817600,2022-08-30 00:00:00,SLP/USDT,0.004004,0.004043,0.003748,0.003833,109094537.16551619,427214.2191013722042
1661731200,2022-08-29 00:00:00,SLP/USDT,0.003829,0.004033,0.003782,0.004004,142751126.18961819,559918.5980112004179
1661644800,2022-08-28 00:00:00,SLP/USDT,0.003886,0.004068,0.003791,0.003829,121754500.18538517,475317.08308925247432
1661558400,2022-08-27 00:00:00,SLP/USDT,0.00377,0.003921,0.003697,0.003885,147214466.34648852,563292.27573703615106
1661472000,2022-08-26 00:00:00,SLP/USDT,0.004246,0.004289,0.003718,0.003771,173537053.08709869,705426.53250952363237
1661385600,2022-08-25 00:00:00,SLP/USDT,0.004199,0.004371,0.004195,0.00425,92318971.71706478,393877.81660675924142
1661299200,2022-08-24 00:00:00,SLP/USDT,0.004361,0.004405,0.004176,0.004199,119383369.17822324,510200.96671419137577
1661212800,2022-08-23 00:00:00,SLP/USDT,0.004178,0.004418,0.004047,0.004378,123687352.08031331,522970.45165265524775
1661126400,2022-08-22 00:00:00,SLP/USDT,0.00421,0.004224,0.003989,0.004178,122886008.31308191,503306.50349620750959
