https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume SMART
1663549200000,2022-09-19 01:00:00,SMART/EUR,0.00048292,0.00049266,0.0004814,0.00049005,12.594285000000001,25700
1663545600000,2022-09-19 00:00:00,SMART/EUR,0.00049169,0.00049373,0.00048174,0.00048734,44.396674,91100
1663542000000,2022-09-18 23:00:00,SMART/EUR,0.00048246,0.0004933,0.0004813,0.00048156,54.753372,113700
1663538400000,2022-09-18 22:00:00,SMART/EUR,0.00049758,0.00050036,0.00048118,0.00048917,55.667546,113800
1663534800000,2022-09-18 21:00:00,SMART/EUR,0.0004998,0.00050046,0.00049654,0.0005002,58.07322,116100
1663531200000,2022-09-18 20:00:00,SMART/EUR,0.00049856,0.00050037,0.00049649,0.00049787,47.745732999999994,95900
1663527600000,2022-09-18 19:00:00,SMART/EUR,0.00049741,0.00050046,0.00049655,0.00049922,49.322936,98800
1663524000000,2022-09-18 18:00:00,SMART/EUR,0.00049814,0.00050037,0.00049665,0.00049805,44.973915,90300
1663520400000,2022-09-18 17:00:00,SMART/EUR,0.00048497,0.00050036,0.00048118,0.00049795,52.782700000000006,106000
1663516800000,2022-09-18 16:00:00,SMART/EUR,0.00048221,0.00049347,0.00048116,0.00049233,47.214447,95900
1663513200000,2022-09-18 15:00:00,SMART/EUR,0.00048969,0.00049348,0.00048112,0.00048783,51.905112,106400
1663509600000,2022-09-18 14:00:00,SMART/EUR,0.00048195,0.00049366,0.00048113,0.00048592,55.686431999999996,114600
1663506000000,2022-09-18 13:00:00,SMART/EUR,0.00048916,0.00049385,0.0004812,0.00048457,55.192522999999994,113900
1663502400000,2022-09-18 12:00:00,SMART/EUR,0.00049084,0.00049379,0.0004814,0.00049152,43.646975999999995,88800
1663498800000,2022-09-18 11:00:00,SMART/EUR,0.00048413,0.0004936,0.00048161,0.00048346,49.844726,103100
1663495200000,2022-09-18 10:00:00,SMART/EUR,0.00048617,0.00049383,0.00048142,0.00048429,50.124015,103500
1663491600000,2022-09-18 09:00:00,SMART/EUR,0.00048279,0.00049355,0.00048187,0.00048641,47.084488,96800
1663488000000,2022-09-18 08:00:00,SMART/EUR,0.00048115,0.00049372,0.00048115,0.00048689,44.988636,92400
