https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZKT,Volume USDT
1662163200,2022-09-03 00:00:00,ZKT/USDT,1.548,1.552,0.641,0.97,493861.3494,513108.1707044
1662076800,2022-09-02 00:00:00,ZKT/USDT,1.672,1.681,1.51,1.545,150961.4306,238075.2550757
1661990400,2022-09-01 00:00:00,ZKT/USDT,1.808,1.991,1.621,1.68,108773.2095,193648.509887
1661904000,2022-08-31 00:00:00,ZKT/USDT,1.817,1.852,1.744,1.813,51446.8326,93502.4751037
1661817600,2022-08-30 00:00:00,ZKT/USDT,1.952,1.958,1.81,1.816,102247.8041,192881.7913241
1661731200,2022-08-29 00:00:00,ZKT/USDT,2.209,2.96,1.801,1.952,145502.6865,300847.3041093
1661644800,2022-08-28 00:00:00,ZKT/USDT,2.615,2.625,2.204,2.209,90337.4238,220418.9442347
1661558400,2022-08-27 00:00:00,ZKT/USDT,2.322,2.761,2.3,2.615,91308.3729,227227.5375122
1661472000,2022-08-26 00:00:00,ZKT/USDT,2.724,2.766,2.3,2.322,80676.6319,210985.1560743
1661385600,2022-08-25 00:00:00,ZKT/USDT,2.844,2.884,2.647,2.724,77398.6942,210248.8543312
1661299200,2022-08-24 00:00:00,ZKT/USDT,2.722,2.9,2.709,2.844,75445.2089,213362.3631401
1661212800,2022-08-23 00:00:00,ZKT/USDT,2.953,2.957,2.718,2.722,75584.2572,217871.7305629
1661126400,2022-08-22 00:00:00,ZKT/USDT,3.043,3.045,2.89,2.953,73064.6771,216975.1769144
1661040000,2022-08-21 00:00:00,ZKT/USDT,2.812,3.045,2.81,3.043,35902.6614,106022.2696015
1660953600,2022-08-20 00:00:00,ZKT/USDT,2.813,2.828,2.778,2.812,56782.6271,159440.323436
1660867200,2022-08-19 00:00:00,ZKT/USDT,3.023,3.062,2.8,2.813,74309.3479,216588.7002733
1660780800,2022-08-18 00:00:00,ZKT/USDT,3.029,3.139,2.934,3.023,74420.17005177,227160.51114194761
1660694400,2022-08-17 00:00:00,ZKT/USDT,3.012,3.104,2.92,3.029,71408.071,215696.5389304
1660608000,2022-08-16 00:00:00,ZKT/USDT,3.137,3.15,2.8,3.012,58081.7359,178930.1373842
1660521600,2022-08-15 00:00:00,ZKT/USDT,3.147,3.221,3.055,3.138,61819.0728,196880.276275
1660435200,2022-08-14 00:00:00,ZKT/USDT,3.161,3.166,3.08,3.147,56450.6222,177297.0842177
1660348800,2022-08-13 00:00:00,ZKT/USDT,3.21,3.471,3.106,3.16,47929.5397,158040.8469082
1660262400,2022-08-12 00:00:00,ZKT/USDT,3.076,3.211,2.983,3.21,49857.6204,153795.6246761
1660176000,2022-08-11 00:00:00,ZKT/USDT,3.117,3.176,3.07,3.08,58372.1361,183342.3883805
1660089600,2022-08-10 00:00:00,ZKT/USDT,3.008,3.136,2.957,3.117,51220.6063,156834.5146793
1660003200,2022-08-09 00:00:00,ZKT/USDT,3.049,3.148,2.954,3.008,57435.0582,174326.675799
1659916800,2022-08-08 00:00:00,ZKT/USDT,2.954,3.177,2.921,3.049,41639.9303,127323.0016333
1659830400,2022-08-07 00:00:00,ZKT/USDT,2.913,3.207,2.851,2.952,55119.5849,162644.6848018
1659744000,2022-08-06 00:00:00,ZKT/USDT,2.917,2.963,2.79,2.914,41737.5208,119668.9079855
1659657600,2022-08-05 00:00:00,ZKT/USDT,2.863,3.99,2.863,2.917,82915.4826,258693.0456659
1659571200,2022-08-04 00:00:00,ZKT/USDT,2.819,2.876,2.8,2.862,58782.8781,167430.7629614
1659484800,2022-08-03 00:00:00,ZKT/USDT,2.79,3.077,2.707,2.816,2874.0486,8230.4266241
1659398400,2022-08-02 00:00:00,ZKT/USDT,2.719,2.969,2.701,2.791,45434.9939,124370.2528064
1659312000,2022-08-01 00:00:00,ZKT/USDT,2.81,2.811,2.7,2.719,26499.9927,72769.9528207
1659225600,2022-07-31 00:00:00,ZKT/USDT,2.868,2.966,2.752,2.808,15224.4369,43144.2596102
1659139200,2022-07-30 00:00:00,ZKT/USDT,2.795,2.871,2.703,2.868,56050.0915,155666.4646356
1659052800,2022-07-29 00:00:00,ZKT/USDT,2.787,2.915,2.703,2.794,43320.928,121155.3097799
1658966400,2022-07-28 00:00:00,ZKT/USDT,2.987,3.025,2.651,2.787,67707.4598,192520.8139599
1658880000,2022-07-27 00:00:00,ZKT/USDT,2.669,3.776,2.664,2.987,105072.23708012,316493.52221692392
1658793600,2022-07-26 00:00:00,ZKT/USDT,2.786,2.803,2.563,2.669,73694.8699,198701.8226397
1658707200,2022-07-25 00:00:00,ZKT/USDT,2.881,3.068,2.79,2.803,72528.9807,209117.0729386
1658620800,2022-07-24 00:00:00,ZKT/USDT,2.839,2.886,2.796,2.881,61058.0098,174638.8857129
