https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CTSI,Volume EUR
1663545600,2022-09-19 00:00:00,CTSI/EUR,0.1495,0.1495,0.1495,0.1495,0.0,0.0
1663542000,2022-09-18 23:00:00,CTSI/EUR,0.1495,0.1495,0.1495,0.1495,0.0,0.0
1663538400,2022-09-18 22:00:00,CTSI/EUR,0.1495,0.1495,0.1495,0.1495,0.0,0.0
1663534800,2022-09-18 21:00:00,CTSI/EUR,0.1495,0.1495,0.1495,0.1495,0.0,0.0
1663531200,2022-09-18 20:00:00,CTSI/EUR,0.1495,0.1495,0.1495,0.1495,0.0,0.0
1663527600,2022-09-18 19:00:00,CTSI/EUR,0.1495,0.1495,0.1495,0.1495,0.0,0.0
1663524000,2022-09-18 18:00:00,CTSI/EUR,0.1495,0.1495,0.1495,0.1495,0.0,0.0
1663520400,2022-09-18 17:00:00,CTSI/EUR,0.1495,0.1495,0.1495,0.1495,0.0,0.0
1663516800,2022-09-18 16:00:00,CTSI/EUR,0.1495,0.1495,0.1495,0.1495,579.9,86.69505
1663513200,2022-09-18 15:00:00,CTSI/EUR,0.1532,0.1532,0.1532,0.1532,0.0,0.0
1663509600,2022-09-18 14:00:00,CTSI/EUR,0.1532,0.1532,0.1532,0.1532,0.0,0.0
1663506000,2022-09-18 13:00:00,CTSI/EUR,0.1532,0.1532,0.1532,0.1532,0.0,0.0
1663502400,2022-09-18 12:00:00,CTSI/EUR,0.1532,0.1532,0.1532,0.1532,0.0,0.0
1663498800,2022-09-18 11:00:00,CTSI/EUR,0.1532,0.1532,0.1532,0.1532,0.0,0.0
1663495200,2022-09-18 10:00:00,CTSI/EUR,0.1532,0.1532,0.1532,0.1532,567.2,86.89504000000001
1663491600,2022-09-18 09:00:00,CTSI/EUR,0.1597,0.1597,0.1597,0.1597,0.0,0.0
1663488000,2022-09-18 08:00:00,CTSI/EUR,0.1597,0.1597,0.1597,0.1597,0.0,0.0
1663484400,2022-09-18 07:00:00,CTSI/EUR,0.1597,0.1597,0.1597,0.1597,567.2,90.58184000000001
1663480800,2022-09-18 06:00:00,CTSI/EUR,0.1583,0.1583,0.1583,0.1583,0.0,0.0
1663477200,2022-09-18 05:00:00,CTSI/EUR,0.1583,0.1583,0.1583,0.1583,0.0,0.0
1663473600,2022-09-18 04:00:00,CTSI/EUR,0.1583,0.1583,0.1583,0.1583,0.0,0.0
1663470000,2022-09-18 03:00:00,CTSI/EUR,0.1583,0.1583,0.1583,0.1583,0.0,0.0
1663466400,2022-09-18 02:00:00,CTSI/EUR,0.1583,0.1583,0.1583,0.1583,0.0,0.0
1663462800,2022-09-18 01:00:00,CTSI/EUR,0.1583,0.1583,0.1583,0.1583,0.0,0.0
1663459200,2022-09-18 00:00:00,CTSI/EUR,0.1583,0.1583,0.1583,0.1583,0.0,0.0
1663455600,2022-09-17 23:00:00,CTSI/EUR,0.1583,0.1583,0.1583,0.1583,574.4,90.92752
1663452000,2022-09-17 22:00:00,CTSI/EUR,0.1584,0.1584,0.1584,0.1584,574.4,90.98496
1663448400,2022-09-17 21:00:00,CTSI/EUR,0.1572,0.1572,0.1572,0.1572,0.0,0.0
1663444800,2022-09-17 20:00:00,CTSI/EUR,0.1572,0.1572,0.1572,0.1572,580.2,91.20744
1663441200,2022-09-17 19:00:00,CTSI/EUR,0.1602,0.1602,0.1602,0.1602,0.0,0.0
1663437600,2022-09-17 18:00:00,CTSI/EUR,0.1602,0.1602,0.1602,0.1602,0.0,0.0
1663434000,2022-09-17 17:00:00,CTSI/EUR,0.1602,0.1602,0.1602,0.1602,0.0,0.0
1663430400,2022-09-17 16:00:00,CTSI/EUR,0.1602,0.1602,0.1602,0.1602,580.2,92.94804
