https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EPIK,Volume USDT
1663459200,2022-09-18 00:00:00,EPIK/USDT,0.00906,0.00907,0.00906,0.00906,25063.1443,227.187966181
1663372800,2022-09-17 00:00:00,EPIK/USDT,0.00887,0.00911,0.00887,0.00907,22900512.3558,205614.289386734
1663286400,2022-09-16 00:00:00,EPIK/USDT,0.00905,0.00907,0.00887,0.00889,7499792.5951,67211.814362651
1663200000,2022-09-15 00:00:00,EPIK/USDT,0.00912,0.00916,0.00899,0.00905,22054473.6451,200415.75768335
1663113600,2022-09-14 00:00:00,EPIK/USDT,0.0092,0.00927,0.00903,0.00913,2480336.2629,22679.442857447
1663027200,2022-09-13 00:00:00,EPIK/USDT,0.00976,0.00977,0.00909,0.00922,17736896.1776,166171.604417143
1662940800,2022-09-12 00:00:00,EPIK/USDT,0.00958,0.0098,0.0094,0.00974,17235234.1233,167652.097168607
1662854400,2022-09-11 00:00:00,EPIK/USDT,0.00957,0.0098,0.00944,0.00956,20955273.3099,203432.002476818
1662768000,2022-09-10 00:00:00,EPIK/USDT,0.00968,0.00979,0.0094,0.00953,10123287.0387,98480.090122587
1662681600,2022-09-09 00:00:00,EPIK/USDT,0.00956,0.00979,0.0092,0.00968,11804247.0366,112611.832739422
1662595200,2022-09-08 00:00:00,EPIK/USDT,0.00967,0.0097,0.00935,0.00955,6894305.1236,66329.583180599
1662508800,2022-09-07 00:00:00,EPIK/USDT,0.00943,0.0097,0.00921,0.00963,15981046.1647,149414.69899948
1662422400,2022-09-06 00:00:00,EPIK/USDT,0.0096,0.0098,0.0094,0.00945,12162850.6281,117357.862551873
1662336000,2022-09-05 00:00:00,EPIK/USDT,0.00982,0.00983,0.0096,0.00963,16926482.9205,164912.116571622
1662249600,2022-09-04 00:00:00,EPIK/USDT,0.00992,0.01,0.00967,0.00982,17607954.804,174032.572917802
1662163200,2022-09-03 00:00:00,EPIK/USDT,0.01022,0.01022,0.00968,0.00992,5097004.129,50215.052354595
1662076800,2022-09-02 00:00:00,EPIK/USDT,0.01012,0.01055,0.01008,0.01023,12313236.1507,127272.107174709
1661990400,2022-09-01 00:00:00,EPIK/USDT,0.01022,0.01074,0.00999,0.01012,18760072.8088,191870.236034994
1661904000,2022-08-31 00:00:00,EPIK/USDT,0.01022,0.01033,0.01009,0.01022,4675412.00812596,47831.1460513506918
1661817600,2022-08-30 00:00:00,EPIK/USDT,0.01035,0.0107,0.00997,0.01022,11147845.00852942,116428.7785549542367
1661731200,2022-08-29 00:00:00,EPIK/USDT,0.0103,0.01048,0.0103,0.01031,18407279.09179745,191388.3237586430774
1661644800,2022-08-28 00:00:00,EPIK/USDT,0.01086,0.0109,0.0103,0.0103,9988468.60815399,105434.8268599335722
1661558400,2022-08-27 00:00:00,EPIK/USDT,0.0112,0.01126,0.0108,0.01087,14315443.52173843,156332.4798712629441
1661472000,2022-08-26 00:00:00,EPIK/USDT,0.01169,0.01191,0.0112,0.0112,18211267.47940274,208906.2124054643975
1661385600,2022-08-25 00:00:00,EPIK/USDT,0.01189,0.01247,0.01151,0.01164,15254393.18970024,180557.7888650805429
1661299200,2022-08-24 00:00:00,EPIK/USDT,0.0119,0.01206,0.0114,0.01188,3505260.66059034,41411.8812429819372
1661212800,2022-08-23 00:00:00,EPIK/USDT,0.01182,0.01228,0.01175,0.0119,19721690.02379061,233430.1970103890809
1661126400,2022-08-22 00:00:00,EPIK/USDT,0.01212,0.0122,0.01161,0.0118,9533287.82796707,114997.0386408497915
1661040000,2022-08-21 00:00:00,EPIK/USDT,0.01199,0.01212,0.01163,0.01212,8798080.61201842,105191.0196227546544
1660953600,2022-08-20 00:00:00,EPIK/USDT,0.01163,0.01211,0.01147,0.01199,643416.29509768,7669.0680130151754
1660867200,2022-08-19 00:00:00,EPIK/USDT,0.01248,0.01254,0.01143,0.01163,3970308.1429845,47167.4933725050347
1660780800,2022-08-18 00:00:00,EPIK/USDT,0.01265,0.01272,0.01244,0.01248,6293700.86527533,79350.7572912112202
1660694400,2022-08-17 00:00:00,EPIK/USDT,0.01255,0.0134,0.01232,0.0127,8944085.44052738,113296.035030919417
1660608000,2022-08-16 00:00:00,EPIK/USDT,0.0134,0.01351,0.01253,0.01256,5802669.7022124,75137.3484617024365
1660521600,2022-08-15 00:00:00,EPIK/USDT,0.01383,0.0144,0.01331,0.01344,53907006.72216099,751778.9750482523163
1660435200,2022-08-14 00:00:00,EPIK/USDT,0.01483,0.01511,0.01377,0.01383,61961091.38774766,895841.8272026821891
1660348800,2022-08-13 00:00:00,EPIK/USDT,0.01453,0.0152,0.01418,0.01484,30437239.12557977,443451.7986592626794
1660262400,2022-08-12 00:00:00,EPIK/USDT,0.01359,0.01457,0.0135,0.0145,25409604.0238598,353120.2267241595114
1660176000,2022-08-11 00:00:00,EPIK/USDT,0.01311,0.0144,0.0131,0.01357,22607104.74106481,306685.6646092341435
1660089600,2022-08-10 00:00:00,EPIK/USDT,0.01274,0.01339,0.01251,0.01311,15114214.06180825,193533.1694538561802
1660003200,2022-08-09 00:00:00,EPIK/USDT,0.01329,0.01339,0.01248,0.01274,12802734.66616804,165459.3949604327885
1659916800,2022-08-08 00:00:00,EPIK/USDT,0.01311,0.01373,0.01284,0.01333,17819096.69290264,238864.8532101456064
1659830400,2022-08-07 00:00:00,EPIK/USDT,0.01251,0.0132,0.01241,0.01319,8100765.79728171,103299.7893663528169
1659744000,2022-08-06 00:00:00,EPIK/USDT,0.01273,0.0135,0.01245,0.01257,8959342.49667206,116027.497492825896
1659657600,2022-08-05 00:00:00,EPIK/USDT,0.01206,0.0134,0.01181,0.01273,8536157.90419545,105297.2163474658906
1659571200,2022-08-04 00:00:00,EPIK/USDT,0.01187,0.01232,0.01147,0.01205,8490623.53484956,101162.0126640015327
1659484800,2022-08-03 00:00:00,EPIK/USDT,0.01151,0.01219,0.01148,0.01186,10738563.96697571,128065.1794914998553
1659398400,2022-08-02 00:00:00,EPIK/USDT,0.01202,0.01226,0.0114,0.01151,9496227.2570137,111726.4340335484393
