https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCHSV,Volume USDT
1663459200,2022-09-18 00:00:00,BCHSV/USDT,52.368,52.594,52.108,52.411,1450.90900617,75862.65675835492
1663372800,2022-09-17 00:00:00,BCHSV/USDT,52.06,52.752,51.625,52.333,11645.56869343,608110.37207526702
1663286400,2022-09-16 00:00:00,BCHSV/USDT,51.711,52.571,50.825,52.037,16868.28953977,873172.24232293047
1663200000,2022-09-15 00:00:00,BCHSV/USDT,52.452,54.616,50.546,51.747,27875.37748171,1462692.45742540442
1663113600,2022-09-14 00:00:00,BCHSV/USDT,51.535,53.009,50.793,52.411,19143.03289145,996013.8629664962
1663027200,2022-09-13 00:00:00,BCHSV/USDT,54.632,55.307,50.947,51.519,23657.57727657,1258510.22445519053
1662940800,2022-09-12 00:00:00,BCHSV/USDT,54.534,56.116,53.789,54.62,12371.14050934,678646.2756308646
1662854400,2022-09-11 00:00:00,BCHSV/USDT,55.344,55.551,53.733,54.537,8231.21822891,450265.75040355045
1662768000,2022-09-10 00:00:00,BCHSV/USDT,55.622,56.105,54.146,55.34,8994.74328447,494543.13558573041
1662681600,2022-09-09 00:00:00,BCHSV/USDT,53.329,56.356,53.108,55.509,13703.49352276,754346.04562886924
1662595200,2022-09-08 00:00:00,BCHSV/USDT,51.906,53.999,51.048,53.312,18460.86432118,974179.0623023738
1662508800,2022-09-07 00:00:00,BCHSV/USDT,49.575,51.872,48.973,51.872,17952.64014418,903267.95361671744
1662422400,2022-09-06 00:00:00,BCHSV/USDT,53.747,54.608,49.244,49.518,21934.32666433,1147392.58591808119
1662336000,2022-09-05 00:00:00,BCHSV/USDT,53.382,54.038,51.619,53.747,18063.55903457,952126.06529457429
1662249600,2022-09-04 00:00:00,BCHSV/USDT,52.465,53.346,51.824,53.346,9569.99628179,504503.80647098915
1662163200,2022-09-03 00:00:00,BCHSV/USDT,53.77,53.77,52.061,52.435,11320.1424876,596160.72278511008
1662076800,2022-09-02 00:00:00,BCHSV/USDT,52.488,54.854,52.144,53.73,21273.70742712,1138324.48814027003
1661990400,2022-09-01 00:00:00,BCHSV/USDT,52.02,52.728,50.589,52.481,15095.63630857,777307.66406430822
1661904000,2022-08-31 00:00:00,BCHSV/USDT,51.555,53.154,51.306,51.947,18512.17969615,970409.11024560226
1661817600,2022-08-30 00:00:00,BCHSV/USDT,54.258,54.472,51.201,51.495,15621.22202731,829492.29709071868
1661731200,2022-08-29 00:00:00,BCHSV/USDT,51.858,54.468,51.294,54.231,12050.11286654,634852.60529091318
1661644800,2022-08-28 00:00:00,BCHSV/USDT,52.417,54.251,51.735,51.825,10281.61356775,544243.24333429849
1661558400,2022-08-27 00:00:00,BCHSV/USDT,52.12,52.746,51.178,52.4,11485.95384846,596911.04416812184
1661472000,2022-08-26 00:00:00,BCHSV/USDT,55.627,55.627,51.719,52.115,16443.03038982,890307.63513873578
1661385600,2022-08-25 00:00:00,BCHSV/USDT,55.491,56.844,54.617,55.626,14478.40695962,804747.61311443987
1661299200,2022-08-24 00:00:00,BCHSV/USDT,56.324,58.32,54.991,55.458,22268.52113894,1249025.9451042827
1661212800,2022-08-23 00:00:00,BCHSV/USDT,55.317,57.429,53.796,56.311,34251.68343994,1908535.92017297354
1661126400,2022-08-22 00:00:00,BCHSV/USDT,54.994,55.525,52.255,55.337,32489.8250002,1755482.26085532108
1661040000,2022-08-21 00:00:00,BCHSV/USDT,53.042,55.127,52.988,54.942,30549.86189626,1656217.04788924498
1660953600,2022-08-20 00:00:00,BCHSV/USDT,51.296,53.066,50.947,52.999,21614.40648287,1130202.45345195471
1660867200,2022-08-19 00:00:00,BCHSV/USDT,57.189,57.189,50.868,51.272,29874.0945836,1588710.58739769202
1660780800,2022-08-18 00:00:00,BCHSV/USDT,59.817,60.718,56.493,57.13,21616.28603718,1289459.85253361391
1660694400,2022-08-17 00:00:00,BCHSV/USDT,61.068,63.683,59.077,59.798,29908.74441859,1830656.22384131132
1660608000,2022-08-16 00:00:00,BCHSV/USDT,61.394,62.414,60.093,61.025,19102.0651847,1171839.63039271887
1660521600,2022-08-15 00:00:00,BCHSV/USDT,62.404,64.196,60.506,61.405,22199.15863177,1377115.6499927544
1660435200,2022-08-14 00:00:00,BCHSV/USDT,63.473,64.415,61.598,62.366,18055.46821184,1138962.93451344772
1660348800,2022-08-13 00:00:00,BCHSV/USDT,63.531,64.273,62.749,63.473,16414.51752467,1043088.21972616825
1660262400,2022-08-12 00:00:00,BCHSV/USDT,61.986,63.725,61.534,63.477,25586.3386678,1602407.88877761567
1660176000,2022-08-11 00:00:00,BCHSV/USDT,62.344,64.524,61.741,61.94,27637.06279335,1734104.55381440214
1660089600,2022-08-10 00:00:00,BCHSV/USDT,59.709,62.459,59.196,62.275,26874.16635353,1641547.1648180822
1660003200,2022-08-09 00:00:00,BCHSV/USDT,62.355,63.027,58.964,59.655,19595.13920221,1190109.77572877382
1659916800,2022-08-08 00:00:00,BCHSV/USDT,61.912,64.046,61.345,62.324,18427.58317947,1158337.55442379644
1659830400,2022-08-07 00:00:00,BCHSV/USDT,61.44,63.025,60.598,61.917,16004.68846801,989282.582526757
1659744000,2022-08-06 00:00:00,BCHSV/USDT,62.256,62.821,61.288,61.44,11550.94944041,716267.30542388314
1659657600,2022-08-05 00:00:00,BCHSV/USDT,60.264,62.42,60.077,62.255,19205.32857421,1176436.13850773501
1659571200,2022-08-04 00:00:00,BCHSV/USDT,60.347,61.877,59.208,60.272,28543.93902958,1724191.73630751472
1659484800,2022-08-03 00:00:00,BCHSV/USDT,60.745,62.587,59.267,60.277,27003.82472327,1657093.74555776089
1659398400,2022-08-02 00:00:00,BCHSV/USDT,60.666,65.217,58.263,60.729,43230.65368219,2646963.13491824295
1659312000,2022-08-01 00:00:00,BCHSV/USDT,61.354,61.948,58.976,60.651,23640.46313314,1430019.84281286073
1659225600,2022-07-31 00:00:00,BCHSV/USDT,62.873,63.878,61.059,61.235,21665.77744224,1361458.22949463477
1659139200,2022-07-30 00:00:00,BCHSV/USDT,65.894,66.544,62.05,62.755,31051.52451932,1999367.48968365993
1659052800,2022-07-29 00:00:00,BCHSV/USDT,63.068,67.771,61.581,65.657,42411.96316394,2743389.3864250534
1658966400,2022-07-28 00:00:00,BCHSV/USDT,57.969,64.922,57.969,63.006,51446.50778366,3155614.28487578761
1658880000,2022-07-27 00:00:00,BCHSV/USDT,54.562,58.024,53.317,58.005,19748.15862797,1096768.15218376454
1658793600,2022-07-26 00:00:00,BCHSV/USDT,54.053,54.582,52.14,54.533,19091.11561872,1014454.11404574972
1658707200,2022-07-25 00:00:00,BCHSV/USDT,58.19,59.142,53.869,54.028,22018.36318682,1232113.68276037705
1658620800,2022-07-24 00:00:00,BCHSV/USDT,57.152,59.109,57.087,58.149,18702.28577363,1084755.92957618193
1658534400,2022-07-23 00:00:00,BCHSV/USDT,57.988,59.239,56.108,57.122,14227.73836067,818887.93161721326
1658448000,2022-07-22 00:00:00,BCHSV/USDT,56.747,60.5,56.442,57.937,30220.47412611,1772760.64545932458
1658361600,2022-07-21 00:00:00,BCHSV/USDT,55.712,57.164,54.824,56.69,30635.21598309,1717824.67782155403
1658275200,2022-07-20 00:00:00,BCHSV/USDT,58.095,59.05,55.243,55.708,33304.36194882,1917088.88806770966
1658188800,2022-07-19 00:00:00,BCHSV/USDT,57.447,59.826,55.329,58.086,47604.12834831,2729578.34386424357
1658102400,2022-07-18 00:00:00,BCHSV/USDT,53.713,57.784,53.597,57.471,43571.81843114,2451446.92377179603
1658016000,2022-07-17 00:00:00,BCHSV/USDT,54.325,56.105,53.16,53.707,18825.45967964,1022860.6218750084
1657929600,2022-07-16 00:00:00,BCHSV/USDT,52.43,54.768,51.778,54.325,13340.36068613,706352.90403192899
1657843200,2022-07-15 00:00:00,BCHSV/USDT,52.228,53.572,51.937,52.391,16375.20636949,862125.55682384063
1657756800,2022-07-14 00:00:00,BCHSV/USDT,51.773,53.279,50.259,52.2,24123.27372034,1242167.76668503256
1657670400,2022-07-13 00:00:00,BCHSV/USDT,49.515,51.94,48.878,51.787,20936.85177473,1054920.52630692672
1657584000,2022-07-12 00:00:00,BCHSV/USDT,50.069,51.814,48.67,49.495,9718.78533754,490823.49163156323
1657497600,2022-07-11 00:00:00,BCHSV/USDT,54.512,54.512,50.05,50.164,9180.23734597,484076.75247848342
1657411200,2022-07-10 00:00:00,BCHSV/USDT,57.008,57.008,54.023,54.405,15397.29055697,850387.15860968121
1657324800,2022-07-09 00:00:00,BCHSV/USDT,57.058,57.8,56.475,57,8352.26758635,477013.82838358835
1657238400,2022-07-08 00:00:00,BCHSV/USDT,55.8,59.078,55.494,56.878,15638.5662196,892756.04521486181
1657152000,2022-07-07 00:00:00,BCHSV/USDT,54.496,56.402,54.111,55.752,21218.12977465,1172860.89973490919
1657065600,2022-07-06 00:00:00,BCHSV/USDT,54.769,55.011,52.778,54.444,10831.54556956,586269.81889442011
1656979200,2022-07-05 00:00:00,BCHSV/USDT,56.541,57.318,52.735,54.769,11564.62189319,632818.43193480125
1656892800,2022-07-04 00:00:00,BCHSV/USDT,53.1,56.486,52.123,56.345,13183.19551118,711148.52908873182
1656806400,2022-07-03 00:00:00,BCHSV/USDT,53.889,53.905,51.781,53.035,23101.53164009,1218079.66921518774
1656720000,2022-07-02 00:00:00,BCHSV/USDT,51.986,56.103,51.177,53.901,27659.95781476,1467570.69610390297
1656633600,2022-07-01 00:00:00,BCHSV/USDT,55.772,57.239,51.217,51.939,33743.70167885,1797910.41483329324
1656547200,2022-06-30 00:00:00,BCHSV/USDT,57.358,57.395,52.058,55.787,25933.39706728,1398558.76279131509
1656460800,2022-06-29 00:00:00,BCHSV/USDT,57.471,58.846,55.74,57.305,9728.15648803,555575.16933534147
1656374400,2022-06-28 00:00:00,BCHSV/USDT,60.275,65.997,57.094,57.213,9577.69041875,568649.01357259073
1656288000,2022-06-27 00:00:00,BCHSV/USDT,62.183,62.522,59.437,60.116,10574.7465306,645273.78376572498
1656201600,2022-06-26 00:00:00,BCHSV/USDT,63.796,64.679,61.867,62.055,17180.2293169,1091995.3389927162
1656115200,2022-06-25 00:00:00,BCHSV/USDT,64.412,64.728,62.174,63.803,23226.03976037,1479592.4670166924
1656028800,2022-06-24 00:00:00,BCHSV/USDT,64.306,65.416,62.926,64.338,29088.39054394,1871169.19268317676
1655942400,2022-06-23 00:00:00,BCHSV/USDT,61.984,65.319,61.558,64.306,26285.77934055,1659735.86336214875
1655856000,2022-06-22 00:00:00,BCHSV/USDT,63.662,65.051,61.824,61.969,38531.010278,2442188.81977292297
1655769600,2022-06-21 00:00:00,BCHSV/USDT,64.562,67.665,62.184,63.712,37181.19751397,2411721.03121584711
1655683200,2022-06-20 00:00:00,BCHSV/USDT,61.178,66.197,60.417,64.722,23007.64611535,1470872.55625451575
