https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EQZ,Volume USDT
1663459200,2022-09-18 00:00:00,EQZ/USDT,0.02416,0.02459,0.0237,0.02459,81832.5815,1977.495835895
1663372800,2022-09-17 00:00:00,EQZ/USDT,0.0266,0.02939,0.02355,0.0242,2320554.691,60610.442321265
1663286400,2022-09-16 00:00:00,EQZ/USDT,0.02327,0.03355,0.0217,0.0264,5315444.0326,151879.494034068
1663200000,2022-09-15 00:00:00,EQZ/USDT,0.02738,0.031,0.022,0.02327,1561821.7738,40001.8334557
1663113600,2022-09-14 00:00:00,EQZ/USDT,0.02512,0.0392,0.02343,0.02738,5584290.507,159523.524877277
1663027200,2022-09-13 00:00:00,EQZ/USDT,0.0326,0.03269,0.023,0.02489,4660038.9135,126254.747638293
1662940800,2022-09-12 00:00:00,EQZ/USDT,0.02773,0.06,0.02772,0.0325,11876792.49046294,487858.0052828329362
1662854400,2022-09-11 00:00:00,EQZ/USDT,0.0237,0.0402,0.0234,0.02773,5022819.0347,155583.568397436
1662768000,2022-09-10 00:00:00,EQZ/USDT,0.0231,0.024,0.0227,0.0237,153047.871,3598.920063213
1662681600,2022-09-09 00:00:00,EQZ/USDT,0.0242,0.0252,0.02301,0.0231,334248.1755,8113.690785582
1662595200,2022-09-08 00:00:00,EQZ/USDT,0.0256,0.0258,0.0235,0.02416,516582.9468,12614.180406776
1662508800,2022-09-07 00:00:00,EQZ/USDT,0.0211,0.0283,0.021,0.02586,3154591.0744,79412.968087786
1662422400,2022-09-06 00:00:00,EQZ/USDT,0.022,0.0258,0.021,0.02104,1072448.2251,24584.271113633
1662336000,2022-09-05 00:00:00,EQZ/USDT,0.0225,0.02289,0.02176,0.0222,129226.5598,2871.790628863
1662249600,2022-09-04 00:00:00,EQZ/USDT,0.02184,0.02388,0.02177,0.0225,335631.6081,7521.625469013
1662163200,2022-09-03 00:00:00,EQZ/USDT,0.022,0.02399,0.02181,0.0222,174997.5714,3948.072300884
1662076800,2022-09-02 00:00:00,EQZ/USDT,0.0225,0.0248,0.0219,0.0222,185999.2864,4323.902767955
1661990400,2022-09-01 00:00:00,EQZ/USDT,0.0222,0.0237,0.02181,0.0225,217294.1472,4945.393884483
1661904000,2022-08-31 00:00:00,EQZ/USDT,0.0222,0.0236,0.0218,0.02229,186586.7028,4212.973958383
1661817600,2022-08-30 00:00:00,EQZ/USDT,0.0221,0.026,0.0211,0.0222,1008553.4755,23921.011474393
1661731200,2022-08-29 00:00:00,EQZ/USDT,0.02185,0.02359,0.0212,0.0221,746557.532,16677.541827057
1661644800,2022-08-28 00:00:00,EQZ/USDT,0.023,0.02358,0.02151,0.02185,267647.2957,5991.03176286
1661558400,2022-08-27 00:00:00,EQZ/USDT,0.023,0.0262,0.0215,0.02328,1131469.9074,26787.362681745
1661472000,2022-08-26 00:00:00,EQZ/USDT,0.024,0.02684,0.023,0.023,279523.2175,6818.22846242
1661385600,2022-08-25 00:00:00,EQZ/USDT,0.0256,0.0257,0.023,0.02399,263273.519,6458.551306542
1661299200,2022-08-24 00:00:00,EQZ/USDT,0.02641,0.0294,0.02344,0.0256,1213990.1379,31640.966498313
1661212800,2022-08-23 00:00:00,EQZ/USDT,0.02651,0.02769,0.026,0.02621,203441.2358,5383.255018371
1661126400,2022-08-22 00:00:00,EQZ/USDT,0.02761,0.02789,0.0265,0.02651,223542.717,6027.620685983
1661040000,2022-08-21 00:00:00,EQZ/USDT,0.02816,0.02865,0.0266,0.0279,457212.4388,12712.384953124
1660953600,2022-08-20 00:00:00,EQZ/USDT,0.0279,0.0375,0.0279,0.0279,1764962.5252,56271.375672075
1660867200,2022-08-19 00:00:00,EQZ/USDT,0.0293,0.03036,0.0259,0.0279,743472.1171,21155.534829133
1660780800,2022-08-18 00:00:00,EQZ/USDT,0.03649,0.03698,0.0279,0.02907,1643172.2636,52323.683164798
1660694400,2022-08-17 00:00:00,EQZ/USDT,0.0384,0.0419,0.03492,0.0366,2666525.5383,100277.992347016
1660608000,2022-08-16 00:00:00,EQZ/USDT,0.03279,0.04822,0.031,0.0385,10503084.2592,409011.291572147
1660521600,2022-08-15 00:00:00,EQZ/USDT,0.02554,0.046,0.02473,0.0328,8138326.8475,293131.050355221
1660435200,2022-08-14 00:00:00,EQZ/USDT,0.02706,0.03027,0.02475,0.0257,1331084.7241,36024.20595436
1660348800,2022-08-13 00:00:00,EQZ/USDT,0.0259,0.0388,0.02531,0.02695,8148610.97866571,254209.3929024563122
1660262400,2022-08-12 00:00:00,EQZ/USDT,0.02323,0.02883,0.02254,0.026,653737.9392,16587.973334991
1660176000,2022-08-11 00:00:00,EQZ/USDT,0.02321,0.026,0.0222,0.02323,1082756.5481,25597.65126215
1660089600,2022-08-10 00:00:00,EQZ/USDT,0.02227,0.0287,0.021,0.02321,1135076.1413,27525.180131372
1660003200,2022-08-09 00:00:00,EQZ/USDT,0.0234,0.0235,0.0212,0.0222,643997.8106,14456.131298505
1659916800,2022-08-08 00:00:00,EQZ/USDT,0.0221,0.0239,0.02191,0.0235,599623.1212,13722.396462974
1659830400,2022-08-07 00:00:00,EQZ/USDT,0.0225,0.0234,0.021,0.022,865823.0129,19134.340189986
1659744000,2022-08-06 00:00:00,EQZ/USDT,0.022,0.0243,0.02111,0.0225,559044.0879,12769.441711085
1659657600,2022-08-05 00:00:00,EQZ/USDT,0.0223,0.0229,0.0216,0.0221,246461.3428,5455.942926868
1659571200,2022-08-04 00:00:00,EQZ/USDT,0.0223,0.023,0.02166,0.0223,319469.2801,7089.603476643
1659484800,2022-08-03 00:00:00,EQZ/USDT,0.02188,0.0239,0.0214,0.0222,812829.2295,18308.836331154
1659398400,2022-08-02 00:00:00,EQZ/USDT,0.0227,0.02286,0.021,0.0219,131471.9652,2832.831481516
1659312000,2022-08-01 00:00:00,EQZ/USDT,0.0227,0.02399,0.0219,0.02271,482641.585,11102.739427678
1659225600,2022-07-31 00:00:00,EQZ/USDT,0.02201,0.02342,0.02101,0.0227,590029.5215,13165.065170782
1659139200,2022-07-30 00:00:00,EQZ/USDT,0.02102,0.0242,0.021,0.02201,937864.947,21448.211642742
1659052800,2022-07-29 00:00:00,EQZ/USDT,0.0222,0.02237,0.021,0.0211,240787.5428,5193.104318176
1658966400,2022-07-28 00:00:00,EQZ/USDT,0.0221,0.02301,0.02055,0.0223,670472.0943,14598.131908229
1658880000,2022-07-27 00:00:00,EQZ/USDT,0.0206,0.0243,0.0206,0.0219,413357.7272,9217.01518961
1658793600,2022-07-26 00:00:00,EQZ/USDT,0.0223,0.0226,0.02051,0.0206,292972.3866,6191.347141676
1658707200,2022-07-25 00:00:00,EQZ/USDT,0.0247,0.0253,0.02025,0.0223,986002.5867,21922.584328283
1658620800,2022-07-24 00:00:00,EQZ/USDT,0.0238,0.0271,0.0233,0.02471,543193.0376,13422.196902227
1658534400,2022-07-23 00:00:00,EQZ/USDT,0.0247,0.0265,0.0233,0.02381,437997.3432,10715.229772652
1658448000,2022-07-22 00:00:00,EQZ/USDT,0.0229,0.02782,0.02221,0.02442,1257748.9779,31185.687961597
1658361600,2022-07-21 00:00:00,EQZ/USDT,0.0238,0.0238,0.02202,0.023,364781.3117,8390.655912876
1658275200,2022-07-20 00:00:00,EQZ/USDT,0.02761,0.02761,0.02152,0.02395,2497051.5916,58987.518458702
1658188800,2022-07-19 00:00:00,EQZ/USDT,0.02549,0.028,0.0251,0.02761,836927.5409,22362.846143252
1658102400,2022-07-18 00:00:00,EQZ/USDT,0.02474,0.02695,0.024,0.0257,707508.2392,18170.497331889
1658016000,2022-07-17 00:00:00,EQZ/USDT,0.0253,0.02549,0.0245,0.02474,72788.3666,1825.844408352
1657929600,2022-07-16 00:00:00,EQZ/USDT,0.026,0.02643,0.0247,0.0253,214713.9736,5498.326565723
1657843200,2022-07-15 00:00:00,EQZ/USDT,0.02498,0.0282,0.0242,0.0257,752678.1625,19683.277847914
1657756800,2022-07-14 00:00:00,EQZ/USDT,0.0247,0.0322,0.02131,0.02498,2559542.09458618,67975.4295834064958
1657670400,2022-07-13 00:00:00,EQZ/USDT,0.0245,0.0251,0.0235,0.0245,112221.3689,2744.268052366
1657584000,2022-07-12 00:00:00,EQZ/USDT,0.02512,0.02549,0.0242,0.0245,88828.1634,2209.965232029
1657497600,2022-07-11 00:00:00,EQZ/USDT,0.02559,0.02674,0.02491,0.02512,79850.065,2056.969561962
1657411200,2022-07-10 00:00:00,EQZ/USDT,0.02635,0.02769,0.0253,0.0256,974970.2346,25549.587201545
1657324800,2022-07-09 00:00:00,EQZ/USDT,0.02508,0.02909,0.02413,0.02632,785881.0996,20654.208095752
1657238400,2022-07-08 00:00:00,EQZ/USDT,0.02488,0.0259,0.02353,0.02529,347604.0476,8614.9034319
1657152000,2022-07-07 00:00:00,EQZ/USDT,0.0246,0.02674,0.02313,0.02461,750826.60024389,18819.6381135033258
1657065600,2022-07-06 00:00:00,EQZ/USDT,0.02499,0.026,0.02389,0.0246,530157.40857569,13252.9488932090392
1656979200,2022-07-05 00:00:00,EQZ/USDT,0.0259,0.0262,0.0239,0.02519,543068.33440285,13472.2664769930853
1656892800,2022-07-04 00:00:00,EQZ/USDT,0.0257,0.0263,0.02342,0.0257,449750.12974573,11261.4668912577752
1656806400,2022-07-03 00:00:00,EQZ/USDT,0.02569,0.0324,0.025,0.02569,1194497.09173824,32692.1069895156491
1656720000,2022-07-02 00:00:00,EQZ/USDT,0.0253,0.0262,0.025,0.0259,208709.26227396,5277.4634572017574
1656633600,2022-07-01 00:00:00,EQZ/USDT,0.026,0.0285,0.0251,0.0255,542545.16668959,14458.0334125798284
1656547200,2022-06-30 00:00:00,EQZ/USDT,0.0273,0.02872,0.02522,0.0259,494816.23031781,13083.0526754552392
1656460800,2022-06-29 00:00:00,EQZ/USDT,0.02663,0.0273,0.02604,0.0272,184227.34718119,4898.6995781173953
1656374400,2022-06-28 00:00:00,EQZ/USDT,0.0281,0.02942,0.026,0.02663,827078.57851664,23238.5578948960944
1656288000,2022-06-27 00:00:00,EQZ/USDT,0.02977,0.0301,0.0272,0.0281,647626.41934181,18474.7348980199714
1656201600,2022-06-26 00:00:00,EQZ/USDT,0.02954,0.03588,0.02845,0.02977,1561133.66696985,49850.243020540749
1656115200,2022-06-25 00:00:00,EQZ/USDT,0.0306,0.03097,0.0281,0.02953,322764.04786415,9685.1494945067143
1656028800,2022-06-24 00:00:00,EQZ/USDT,0.03032,0.03199,0.02901,0.03038,485658.19458146,14740.557982401966
1655942400,2022-06-23 00:00:00,EQZ/USDT,0.0293,0.03173,0.028,0.03034,731734.24161913,21877.0890716192832
1655856000,2022-06-22 00:00:00,EQZ/USDT,0.02827,0.0312,0.026,0.0291,1226641.70659601,35259.1093056739006
1655769600,2022-06-21 00:00:00,EQZ/USDT,0.02884,0.0317,0.02591,0.02827,1232051.36785857,34837.6085122600568
1655683200,2022-06-20 00:00:00,EQZ/USDT,0.02717,0.039,0.026,0.02884,2729628.18957128,89404.1706290935079
1655596800,2022-06-19 00:00:00,EQZ/USDT,0.02502,0.0297,0.02311,0.02717,1430341.33623665,37007.31739298899
1655510400,2022-06-18 00:00:00,EQZ/USDT,0.02926,0.0308,0.02413,0.02507,1403923.99029481,37162.5968929666919
1655424000,2022-06-17 00:00:00,EQZ/USDT,0.03123,0.04,0.0251,0.02943,3481372.05963088,104210.01699207388
1655337600,2022-06-16 00:00:00,EQZ/USDT,0.04063,0.04115,0.0289,0.0312,3521832.86403559,124021.3900262950197
1655251200,2022-06-15 00:00:00,EQZ/USDT,0.027,0.0545,0.02512,0.0405,17733626.01866202,730893.3733241358248
1655164800,2022-06-14 00:00:00,EQZ/USDT,0.0352,0.0352,0.0352,0.0352,0,0
1655078400,2022-06-13 00:00:00,EQZ/USDT,0.0352,0.0352,0.0352,0.0352,0,0
1654992000,2022-06-12 00:00:00,EQZ/USDT,0.0352,0.0352,0.0352,0.0352,0,0
1654905600,2022-06-11 00:00:00,EQZ/USDT,0.0352,0.0352,0.0352,0.0352,0,0
1654819200,2022-06-10 00:00:00,EQZ/USDT,0.0352,0.0352,0.0352,0.0352,0,0
1654732800,2022-06-09 00:00:00,EQZ/USDT,0.0352,0.0352,0.0352,0.0352,0,0
1654646400,2022-06-08 00:00:00,EQZ/USDT,0.0374,0.03748,0.0352,0.0352,35989.3095,1293.264262439
1654560000,2022-06-07 00:00:00,EQZ/USDT,0.03836,0.03839,0.0356,0.0371,1658494.83313451,61157.5556192588583
1654473600,2022-06-06 00:00:00,EQZ/USDT,0.03692,0.05034,0.03691,0.03835,5849423.3202384,240245.1897316393971
1654387200,2022-06-05 00:00:00,EQZ/USDT,0.03593,0.03728,0.03586,0.03691,2540430.03235975,93335.6595246313776
