https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMPL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,AMPL/USDT,0.9514,0.953,0.9514,0.953,1.997061909758657,1.9032
1663542000000.0,2022-09-18 23:00:00,AMPL/USDT,0.9523,0.9551,0.9514,0.9514,145.5527643472777,138.4789
1663538400000.0,2022-09-18 22:00:00,AMPL/USDT,0.9531,0.9531,0.9522,0.9523,1.9998949910742414,1.9045
1663534800000.0,2022-09-18 21:00:00,AMPL/USDT,0.9549,0.9637,0.9424,0.9531,12122.361557024447,11553.8228
1663531200000.0,2022-09-18 20:00:00,AMPL/USDT,0.9581,0.9644,0.9548,0.9549,2095.821342548958,2001.2998
1663527600000.0,2022-09-18 19:00:00,AMPL/USDT,0.9581,0.9605,0.9581,0.9581,529.3033086316668,507.1255
1663524000000.0,2022-09-18 18:00:00,AMPL/USDT,0.9617,0.9704,0.9562,0.9581,6238.086734161361,5976.7109
1663520400000.0,2022-09-18 17:00:00,AMPL/USDT,0.9713,0.9734,0.9611,0.9617,807.8786523863992,776.9369
1663516800000.0,2022-09-18 16:00:00,AMPL/USDT,0.9845,0.9847,0.9711,0.9713,1841.0300628024297,1788.1925
1663513200000.0,2022-09-18 15:00:00,AMPL/USDT,0.9856,0.9856,0.9822,0.9845,0.9976637887252412,0.9822
1663509600000.0,2022-09-18 14:00:00,AMPL/USDT,0.9888,0.9904,0.984,0.9856,58.1286525974026,57.2916
1663506000000.0,2022-09-18 13:00:00,AMPL/USDT,0.9829,0.9892,0.982,0.9888,1897.2938915857605,1876.0442
1663502400000.0,2022-09-18 12:00:00,AMPL/USDT,0.9823,0.985,0.9794,0.9829,310.569437379184,305.2587
1663498800000.0,2022-09-18 11:00:00,AMPL/USDT,0.9814,0.9849,0.977,0.9823,256.6603888832332,252.1175
1663495200000.0,2022-09-18 10:00:00,AMPL/USDT,0.9803,0.987,0.9705,0.9814,11320.965355614428,11110.3954
1663491600000.0,2022-09-18 09:00:00,AMPL/USDT,0.9999,0.9999,0.9803,0.9803,1340.8806487809857,1314.4653
1663488000000.0,2022-09-18 08:00:00,AMPL/USDT,1.0007,1.0007,0.9999,0.9999,32.02480248024803,32.0216
1663484400000.0,2022-09-18 07:00:00,AMPL/USDT,1.0056,1.0056,1.0007,1.0007,253.01478964724694,253.1919
1663480800000.0,2022-09-18 06:00:00,AMPL/USDT,1.003,1.0079,1.0014,1.0056,260.43446698488464,261.8929
1663477200000.0,2022-09-18 05:00:00,AMPL/USDT,0.999,1.0065,0.9989,1.003,93.09042871385843,93.3697
1663473600000.0,2022-09-18 04:00:00,AMPL/USDT,0.9933,1.0004,0.9927,0.999,100.13753753753754,100.0374
1663470000000.0,2022-09-18 03:00:00,AMPL/USDT,0.9968,0.9968,0.9926,0.9933,13.031309775495824,12.944
1663466400000.0,2022-09-18 02:00:00,AMPL/USDT,0.9905,1.0003,0.9904,0.9968,5231.033908507223,5214.2946
1663462800000.0,2022-09-18 01:00:00,AMPL/USDT,0.9912,0.9949,0.9905,0.9905,402.27905098435133,398.4574
