https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UTK,Volume BTC
1663459200,2022-09-18 00:00:00,UTK/BTC,0.000005675,0.000005689,0.000005652,0.000005661,1461.5607,0.0083139413009
1663372800,2022-09-17 00:00:00,UTK/BTC,0.00000552,0.000005713,0.00000549,0.000005662,43575.7194,0.245518586369
1663286400,2022-09-16 00:00:00,UTK/BTC,0.0000055,0.00000561,0.000005416,0.000005502,129408.8506,0.7108703153233
1663200000,2022-09-15 00:00:00,UTK/BTC,0.000005433,0.000005633,0.000005406,0.0000055,334740.4871,1.8250369189451
1663113600,2022-09-14 00:00:00,UTK/BTC,0.00000545,0.00000557,0.000005416,0.00000543,63255.0406,0.3476951527905
1663027200,2022-09-13 00:00:00,UTK/BTC,0.000005345,0.000005542,0.0000052,0.00000545,385376.7799,2.0384727248075
1662940800,2022-09-12 00:00:00,UTK/BTC,0.00000557,0.000005589,0.000005314,0.000005349,40516.1515,0.2201783681973
1662854400,2022-09-11 00:00:00,UTK/BTC,0.000005473,0.00000573,0.000005453,0.000005632,102597.697,0.572530856247
1662768000,2022-09-10 00:00:00,UTK/BTC,0.00000549,0.00000558,0.000005321,0.000005463,146460.3945,0.7933013650958
1662681600,2022-09-09 00:00:00,UTK/BTC,0.000005857,0.000005893,0.000005397,0.000005453,274859.8462,1.5336191882469
1662595200,2022-09-08 00:00:00,UTK/BTC,0.00000583,0.000005896,0.000005714,0.000005861,265175.3352,1.534198883582
1662508800,2022-09-07 00:00:00,UTK/BTC,0.000005792,0.0000059,0.000005728,0.000005831,270833.658,1.5873301634004
1662422400,2022-09-06 00:00:00,UTK/BTC,0.000005805,0.00000586,0.000005749,0.000005804,19686.9588,0.1143946065333
1662336000,2022-09-05 00:00:00,UTK/BTC,0.000005805,0.0000059,0.000005766,0.000005783,61691.1974,0.3603403158631
1662249600,2022-09-04 00:00:00,UTK/BTC,0.000005812,0.000005894,0.000005669,0.000005771,34394.2567,0.1998574667655
1662163200,2022-09-03 00:00:00,UTK/BTC,0.000005752,0.00000598,0.000005752,0.000005821,39189.7262,0.2300378182128
1662076800,2022-09-02 00:00:00,UTK/BTC,0.000005715,0.00000589,0.000005636,0.000005785,90548.3304,0.5195880219102
1661990400,2022-09-01 00:00:00,UTK/BTC,0.00000572,0.000005782,0.000005661,0.000005735,35161.2055,0.2004888737705
1661904000,2022-08-31 00:00:00,UTK/BTC,0.000005902,0.00000615,0.000005742,0.000005775,94259.1514,0.5563090768518
1661817600,2022-08-30 00:00:00,UTK/BTC,0.000005773,0.000006009,0.000005773,0.000005884,90532.3168,0.5347107289882
1661731200,2022-08-29 00:00:00,UTK/BTC,0.000005723,0.000005786,0.000005638,0.000005725,69609.4411,0.3980432575599
