https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IDEX,Volume USDT
1663459200,2022-09-18 00:00:00,IDEX/USDT,0.06653,0.06653,0.06624,0.06624,3031.9297,200.956221118
1663455600,2022-09-17 23:00:00,IDEX/USDT,0.06672,0.06678,0.06672,0.06678,29.9966,2.002386294
1663452000,2022-09-17 22:00:00,IDEX/USDT,0.06642,0.06663,0.06642,0.06644,1155.1105,76.903087742
1663448400,2022-09-17 21:00:00,IDEX/USDT,0.06636,0.06642,0.06636,0.06642,3.4455,0.228731946
1663444800,2022-09-17 20:00:00,IDEX/USDT,0.06632,0.06637,0.06598,0.06637,4074.8154,269.689572073
1663441200,2022-09-17 19:00:00,IDEX/USDT,0.06673,0.06673,0.06578,0.06642,76356.5651,5025.770592136
1663437600,2022-09-17 18:00:00,IDEX/USDT,0.06687,0.06687,0.06678,0.06678,266.3005,17.784571549
1663434000,2022-09-17 17:00:00,IDEX/USDT,0.06721,0.06721,0.06696,0.06696,522.7447,35.051742689
1663430400,2022-09-17 16:00:00,IDEX/USDT,0.0671,0.06738,0.0671,0.06738,608.6777,40.937326164
1663426800,2022-09-17 15:00:00,IDEX/USDT,0.06695,0.06696,0.06691,0.06696,3966.9816,265.449124696
1663423200,2022-09-17 14:00:00,IDEX/USDT,0.0666,0.06696,0.0666,0.06695,12491.2145,833.35266676
1663419600,2022-09-17 13:00:00,IDEX/USDT,0.0677,0.0677,0.06629,0.06632,26531.6308,1767.261048707
1663416000,2022-09-17 12:00:00,IDEX/USDT,0.06758,0.06886,0.06758,0.0677,18536.9006,1259.229628483
1663412400,2022-09-17 11:00:00,IDEX/USDT,0.06642,0.06819,0.06639,0.06768,72447.454,4913.957137231
1663408800,2022-09-17 10:00:00,IDEX/USDT,0.06569,0.06641,0.06569,0.06615,1909.9096,126.353470919
1663405200,2022-09-17 09:00:00,IDEX/USDT,0.0656,0.0656,0.0656,0.0656,0,0
1663401600,2022-09-17 08:00:00,IDEX/USDT,0.06528,0.0656,0.06528,0.0656,564.5235,36.935492278
1663398000,2022-09-17 07:00:00,IDEX/USDT,0.06544,0.0655,0.06498,0.06498,17888.1063,1168.011598116
1663394400,2022-09-17 06:00:00,IDEX/USDT,0.06515,0.06515,0.06515,0.06515,0,0
1663390800,2022-09-17 05:00:00,IDEX/USDT,0.06528,0.06537,0.06515,0.06515,303.455,19.817861108
1663387200,2022-09-17 04:00:00,IDEX/USDT,0.06526,0.06526,0.06498,0.06523,25340.7593,1648.581542009
1663383600,2022-09-17 03:00:00,IDEX/USDT,0.06515,0.06515,0.06515,0.06515,0,0
1663380000,2022-09-17 02:00:00,IDEX/USDT,0.06528,0.06532,0.06515,0.06515,1765.7783,115.083644231
1663376400,2022-09-17 01:00:00,IDEX/USDT,0.06515,0.06515,0.06515,0.06515,0,0
1663372800,2022-09-17 00:00:00,IDEX/USDT,0.06494,0.06515,0.06494,0.06515,553.9879,36.039806472
1663369200,2022-09-16 23:00:00,IDEX/USDT,0.06496,0.06496,0.06496,0.06496,0,0
1663365600,2022-09-16 22:00:00,IDEX/USDT,0.06489,0.06496,0.06461,0.06496,99.1678,6.408353427
1663362000,2022-09-16 21:00:00,IDEX/USDT,0.06497,0.06497,0.06497,0.06497,2.3954,0.155629138
1663358400,2022-09-16 20:00:00,IDEX/USDT,0.06478,0.06538,0.06442,0.06478,39430.7061,2557.228568279
1663354800,2022-09-16 19:00:00,IDEX/USDT,0.06436,0.06466,0.06436,0.06466,544.1546,35.103888188
1663351200,2022-09-16 18:00:00,IDEX/USDT,0.06466,0.06466,0.06404,0.06424,9881.2967,633.797334372
1663347600,2022-09-16 17:00:00,IDEX/USDT,0.06521,0.06521,0.06478,0.06478,2396.1988,155.555076488
1663344000,2022-09-16 16:00:00,IDEX/USDT,0.06533,0.06533,0.06528,0.06528,267.4598,17.472468909
1663340400,2022-09-16 15:00:00,IDEX/USDT,0.06547,0.06547,0.06547,0.06547,2.4521,0.160538987
1663336800,2022-09-16 14:00:00,IDEX/USDT,0.06481,0.06559,0.06481,0.06559,1384.365,90.482914969
1663333200,2022-09-16 13:00:00,IDEX/USDT,0.06534,0.06534,0.06481,0.06481,1969.7567,127.934975985
1663329600,2022-09-16 12:00:00,IDEX/USDT,0.06552,0.06552,0.06541,0.06541,268.9417,17.618347619
1663326000,2022-09-16 11:00:00,IDEX/USDT,0.06553,0.06586,0.06553,0.06586,5.1273,0.33712608
1663322400,2022-09-16 10:00:00,IDEX/USDT,0.06544,0.06576,0.06544,0.06576,2073.262,135.743137929
1663318800,2022-09-16 09:00:00,IDEX/USDT,0.0655,0.06551,0.0655,0.06551,2043.974,133.882835633
1663315200,2022-09-16 08:00:00,IDEX/USDT,0.06551,0.06551,0.06515,0.06515,324.8648,21.231459267
1663311600,2022-09-16 07:00:00,IDEX/USDT,0.06569,0.06606,0.06551,0.06551,18166.9164,1197.995954496
1663308000,2022-09-16 06:00:00,IDEX/USDT,0.06576,0.06576,0.06527,0.06552,13776.8153,901.569555277
1663304400,2022-09-16 05:00:00,IDEX/USDT,0.066,0.066,0.06549,0.0657,15317.9453,1005.013889783
1663300800,2022-09-16 04:00:00,IDEX/USDT,0.06587,0.06635,0.06587,0.06606,3273.5747,216.770204483
1663297200,2022-09-16 03:00:00,IDEX/USDT,0.0656,0.06587,0.0656,0.06567,3079.0152,202.543413677
1663293600,2022-09-16 02:00:00,IDEX/USDT,0.06548,0.06548,0.06538,0.06538,36.3,2.37634274
1663290000,2022-09-16 01:00:00,IDEX/USDT,0.06534,0.06534,0.06534,0.06534,2.0763,0.135665442
1663286400,2022-09-16 00:00:00,IDEX/USDT,0.06491,0.06559,0.06482,0.06559,1779.9845,116.541792732
1663282800,2022-09-15 23:00:00,IDEX/USDT,0.06533,0.06533,0.06497,0.06497,818.9818,53.352444838
1663279200,2022-09-15 22:00:00,IDEX/USDT,0.06569,0.06569,0.06533,0.06533,154.4589,10.145602809
1663275600,2022-09-15 21:00:00,IDEX/USDT,0.06568,0.06569,0.06547,0.06569,589.9912,38.699460702
1663272000,2022-09-15 20:00:00,IDEX/USDT,0.06569,0.06569,0.06569,0.06569,1.9929,0.130913601
1663268400,2022-09-15 19:00:00,IDEX/USDT,0.06539,0.06539,0.06539,0.06539,0,0
1663264800,2022-09-15 18:00:00,IDEX/USDT,0.06551,0.0656,0.06539,0.06539,297.7642,19.508462413
1663261200,2022-09-15 17:00:00,IDEX/USDT,0.06551,0.06551,0.06551,0.06551,2.6223,0.171786873
1663257600,2022-09-15 16:00:00,IDEX/USDT,0.06505,0.0655,0.06505,0.0655,3608.8224,236.238638404
1663254000,2022-09-15 15:00:00,IDEX/USDT,0.06533,0.06533,0.06478,0.06505,833.5793,54.293982277
1663250400,2022-09-15 14:00:00,IDEX/USDT,0.066,0.066,0.06533,0.06533,58745.7925,3876.192395282
1663246800,2022-09-15 13:00:00,IDEX/USDT,0.06606,0.06606,0.06606,0.06606,0,0
1663243200,2022-09-15 12:00:00,IDEX/USDT,0.06624,0.06624,0.06606,0.06606,330.6953,21.858815052
1663239600,2022-09-15 11:00:00,IDEX/USDT,0.06648,0.06648,0.06624,0.06624,526.924,34.949664059
1663236000,2022-09-15 10:00:00,IDEX/USDT,0.066,0.06672,0.066,0.06648,62680.7655,4179.994557764
1663232400,2022-09-15 09:00:00,IDEX/USDT,0.06587,0.06599,0.06571,0.06571,5034.6404,331.154472093
1663228800,2022-09-15 08:00:00,IDEX/USDT,0.06634,0.06639,0.06563,0.06587,3977.8702,262.961181409
1663225200,2022-09-15 07:00:00,IDEX/USDT,0.06598,0.06669,0.06595,0.06643,12239.6501,812.314306907
1663221600,2022-09-15 06:00:00,IDEX/USDT,0.06551,0.06598,0.06533,0.06598,6455.5121,422.949501119
1663218000,2022-09-15 05:00:00,IDEX/USDT,0.06529,0.06551,0.06529,0.06551,6282.8634,411.139028866
1663214400,2022-09-15 04:00:00,IDEX/USDT,0.06541,0.06554,0.06529,0.06529,9246.8437,604.925707859
1663210800,2022-09-15 03:00:00,IDEX/USDT,0.06569,0.06569,0.06533,0.06548,8150.2995,533.490494814
1663207200,2022-09-15 02:00:00,IDEX/USDT,0.06611,0.06611,0.06569,0.06569,1934.7555,127.692108619
1663203600,2022-09-15 01:00:00,IDEX/USDT,0.06642,0.06642,0.06601,0.06601,2239.2111,147.867080943
