https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume OOKI,Volume BTC
1663455600,2022-09-17 23:00:00,OOKI/BTC,0.0000002786,0.0000002948,0.0000002786,0.0000002948,15291.5056,0.00443465327821
1663452000,2022-09-17 22:00:00,OOKI/BTC,0.0000002778,0.0000002778,0.0000002778,0.0000002778,12.0173,0.00000333840594
1663448400,2022-09-17 21:00:00,OOKI/BTC,0.0000002762,0.0000002762,0.0000002762,0.0000002762,0,0
1663444800,2022-09-17 20:00:00,OOKI/BTC,0.0000002762,0.0000002762,0.0000002762,0.0000002762,877.259,0.0002422989358
1663441200,2022-09-17 19:00:00,OOKI/BTC,0.0000002679,0.0000002679,0.0000002679,0.0000002679,0,0
1663437600,2022-09-17 18:00:00,OOKI/BTC,0.0000002679,0.0000002679,0.0000002679,0.0000002679,564.6781,0.00015127726299
1663434000,2022-09-17 17:00:00,OOKI/BTC,0.0000002762,0.0000002762,0.0000002762,0.0000002762,0,0
1663430400,2022-09-17 16:00:00,OOKI/BTC,0.0000002762,0.0000002762,0.0000002762,0.0000002762,0,0
1663426800,2022-09-17 15:00:00,OOKI/BTC,0.0000002762,0.0000002762,0.0000002762,0.0000002762,0,0
1663423200,2022-09-17 14:00:00,OOKI/BTC,0.0000002762,0.0000002762,0.0000002762,0.0000002762,0,0
1663419600,2022-09-17 13:00:00,OOKI/BTC,0.0000002762,0.0000002762,0.0000002762,0.0000002762,0,0
1663416000,2022-09-17 12:00:00,OOKI/BTC,0.0000002762,0.0000002762,0.0000002762,0.0000002762,0,0
1663412400,2022-09-17 11:00:00,OOKI/BTC,0.0000002762,0.0000002762,0.0000002762,0.0000002762,0,0
1663408800,2022-09-17 10:00:00,OOKI/BTC,0.0000002705,0.0000002762,0.0000002632,0.0000002762,6354.1729,0.00172375913228
1663405200,2022-09-17 09:00:00,OOKI/BTC,0.0000002622,0.0000002622,0.0000002622,0.0000002622,0,0
1663401600,2022-09-17 08:00:00,OOKI/BTC,0.0000002622,0.0000002622,0.0000002622,0.0000002622,0,0
1663398000,2022-09-17 07:00:00,OOKI/BTC,0.0000002622,0.0000002622,0.0000002622,0.0000002622,0,0
1663394400,2022-09-17 06:00:00,OOKI/BTC,0.0000002647,0.0000002704,0.0000002622,0.0000002622,1540.4387,0.0004092897076
1663390800,2022-09-17 05:00:00,OOKI/BTC,0.0000002647,0.0000002647,0.0000002647,0.0000002647,379.7833,0.00010052863951
1663387200,2022-09-17 04:00:00,OOKI/BTC,0.0000002647,0.0000002647,0.0000002647,0.0000002647,76.3722,0.00002021572134
1663383600,2022-09-17 03:00:00,OOKI/BTC,0.0000002647,0.0000002647,0.0000002647,0.0000002647,0,0
1663380000,2022-09-17 02:00:00,OOKI/BTC,0.0000002609,0.0000002647,0.0000002609,0.0000002647,3498.1239,0.00092212806325
1663376400,2022-09-17 01:00:00,OOKI/BTC,0.0000002643,0.0000002643,0.0000002643,0.0000002643,0,0
1663372800,2022-09-17 00:00:00,OOKI/BTC,0.0000002643,0.0000002643,0.0000002643,0.0000002643,1908.4207,0.00050439559101
1663369200,2022-09-16 23:00:00,OOKI/BTC,0.0000002601,0.0000002601,0.0000002601,0.0000002601,62.2203,0.00001618350003
1663365600,2022-09-16 22:00:00,OOKI/BTC,0.00000027,0.00000027,0.0000002602,0.0000002609,108797.8359,0.02875772204723
