https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARRR,Volume BTC
1663459200,2022-09-18 00:00:00,ARRR/BTC,0.00002135,0.00002135,0.0000213,0.00002131,5.3454,0.000113968862
1663372800,2022-09-17 00:00:00,ARRR/BTC,0.00002107,0.00002186,0.00002096,0.00002145,22982.9917,0.491826970099
1663286400,2022-09-16 00:00:00,ARRR/BTC,0.00002135,0.00002159,0.00002107,0.00002118,6266.185,0.133605329674
1663200000,2022-09-15 00:00:00,ARRR/BTC,0.00002116,0.00002161,0.00002107,0.00002143,11855.2033,0.253431733193
1663113600,2022-09-14 00:00:00,ARRR/BTC,0.00002158,0.0000219,0.00002114,0.00002132,18410.1063,0.397043361349
1663027200,2022-09-13 00:00:00,ARRR/BTC,0.00002172,0.000022,0.00002102,0.00002156,30205.5353,0.651624294688
1662940800,2022-09-12 00:00:00,ARRR/BTC,0.000022,0.00002337,0.00002135,0.0000217,57297.857,1.266245155822
1662854400,2022-09-11 00:00:00,ARRR/BTC,0.00002198,0.0000226,0.00002177,0.000022,16616.744,0.36790001203
1662768000,2022-09-10 00:00:00,ARRR/BTC,0.00002184,0.0000226,0.00002137,0.000022,12332.83,0.269854960356
1662681600,2022-09-09 00:00:00,ARRR/BTC,0.00002236,0.00002269,0.00002157,0.00002182,15686.7592,0.345202292596
1662595200,2022-09-08 00:00:00,ARRR/BTC,0.00002215,0.00002278,0.00002194,0.00002262,8209.1719,0.183872834813
1662508800,2022-09-07 00:00:00,ARRR/BTC,0.00002202,0.0000225,0.00002181,0.00002226,9424.9495,0.209540523545
1662422400,2022-09-06 00:00:00,ARRR/BTC,0.00002136,0.00002236,0.00002121,0.00002203,13449.6511,0.293843146456
1662336000,2022-09-05 00:00:00,ARRR/BTC,0.00002149,0.000022,0.00002119,0.00002144,21565.9659,0.459834271639
1662249600,2022-09-04 00:00:00,ARRR/BTC,0.00002122,0.00002175,0.00002098,0.00002143,13227.2102,0.284225943163
1662163200,2022-09-03 00:00:00,ARRR/BTC,0.00002127,0.00002183,0.00002098,0.00002126,6064.3573,0.129809186123
1662076800,2022-09-02 00:00:00,ARRR/BTC,0.00002127,0.00002161,0.00002096,0.00002146,8599.0295,0.183416657935
1661990400,2022-09-01 00:00:00,ARRR/BTC,0.00002098,0.00002215,0.0000209,0.00002125,17776.2528,0.379763495434
1661904000,2022-08-31 00:00:00,ARRR/BTC,0.0000213,0.0000227,0.00002051,0.00002109,32669.7419,0.69187108388
1661817600,2022-08-30 00:00:00,ARRR/BTC,0.00002134,0.00002158,0.00002061,0.00002142,18872.4822,0.399361042995
1661731200,2022-08-29 00:00:00,ARRR/BTC,0.00002084,0.00002143,0.00002056,0.00002118,11905.4804,0.25032148327
1661644800,2022-08-28 00:00:00,ARRR/BTC,0.00002082,0.00002139,0.00002044,0.00002097,14356.3376,0.299854716086
1661558400,2022-08-27 00:00:00,ARRR/BTC,0.00002065,0.00002134,0.00002034,0.00002078,21311.6035,0.444938842787
1661472000,2022-08-26 00:00:00,ARRR/BTC,0.00002095,0.000021,0.00002031,0.00002063,18664.8213,0.382390510348
1661385600,2022-08-25 00:00:00,ARRR/BTC,0.00002094,0.00002099,0.00002031,0.00002072,10367.6076,0.213460778322
1661299200,2022-08-24 00:00:00,ARRR/BTC,0.00002083,0.0000211,0.00002041,0.00002095,15179.1935,0.31332172653
1661212800,2022-08-23 00:00:00,ARRR/BTC,0.00002048,0.00002097,0.00002041,0.00002096,14071.2657,0.290045914281
1661126400,2022-08-22 00:00:00,ARRR/BTC,0.00002105,0.00002133,0.00002044,0.0000205,22755.2027,0.469297971153
1661040000,2022-08-21 00:00:00,ARRR/BTC,0.000021,0.00002134,0.00002073,0.00002079,8053.5735,0.168929747511
1660953600,2022-08-20 00:00:00,ARRR/BTC,0.0000212,0.00002143,0.00002073,0.00002082,8122.9982,0.170217783719
1660867200,2022-08-19 00:00:00,ARRR/BTC,0.00002074,0.00002139,0.00002055,0.00002134,12512.3775,0.26041139559
1660780800,2022-08-18 00:00:00,ARRR/BTC,0.00002129,0.0000216,0.00002061,0.00002074,46214.4494,0.966672831508
1660694400,2022-08-17 00:00:00,ARRR/BTC,0.00002143,0.00002211,0.00002093,0.00002139,30608.307,0.65055689398
1660608000,2022-08-16 00:00:00,ARRR/BTC,0.00002133,0.00002208,0.00002098,0.00002144,31047.2654,0.663509021119
1660521600,2022-08-15 00:00:00,ARRR/BTC,0.00002103,0.00002182,0.00002081,0.00002114,23354.2096,0.49764966198
1660435200,2022-08-14 00:00:00,ARRR/BTC,0.00002133,0.00002173,0.0000206,0.00002105,53107.2254,1.116550900672
1660348800,2022-08-13 00:00:00,ARRR/BTC,0.0000217,0.00002212,0.00002121,0.00002128,17067.5417,0.367884475315
1660262400,2022-08-12 00:00:00,ARRR/BTC,0.00002139,0.0000236,0.00002117,0.00002163,34695.0207,0.763677579593
1660176000,2022-08-11 00:00:00,ARRR/BTC,0.00002219,0.000023,0.00002088,0.00002144,62394.3129,1.338610133894
1660089600,2022-08-10 00:00:00,ARRR/BTC,0.00002238,0.000023,0.00002143,0.00002228,62351.7904,1.368970909591
1660003200,2022-08-09 00:00:00,ARRR/BTC,0.00002454,0.0000247,0.00002189,0.00002228,36507.9221,0.853311449882
1659916800,2022-08-08 00:00:00,ARRR/BTC,0.00002279,0.00002474,0.00002236,0.0000245,53084.1295,1.250210050035
1659830400,2022-08-07 00:00:00,ARRR/BTC,0.00002185,0.00002299,0.00002174,0.00002265,34998.2102,0.787703837437
1659744000,2022-08-06 00:00:00,ARRR/BTC,0.00002223,0.00002264,0.00002144,0.00002196,19538.5081,0.427134287111
1659657600,2022-08-05 00:00:00,ARRR/BTC,0.0000218,0.00002239,0.00002151,0.00002203,18649.1776,0.406335279201
1659571200,2022-08-04 00:00:00,ARRR/BTC,0.00002217,0.00002284,0.00002171,0.00002207,38570.3468,0.853323204008
1659484800,2022-08-03 00:00:00,ARRR/BTC,0.00002351,0.00002378,0.00002139,0.00002227,38395.3808,0.864582607701
1659398400,2022-08-02 00:00:00,ARRR/BTC,0.00002368,0.00002403,0.00002332,0.00002366,3719.1366,0.087750459254
1659312000,2022-08-01 00:00:00,ARRR/BTC,0.0000242,0.00002457,0.00002346,0.00002346,25514.847,0.612094773084
1659225600,2022-07-31 00:00:00,ARRR/BTC,0.00002437,0.00002444,0.0000237,0.0000242,5558.8695,0.133736595177
1659139200,2022-07-30 00:00:00,ARRR/BTC,0.0000242,0.00002444,0.00002349,0.00002435,13447.255,0.322504447409
1659052800,2022-07-29 00:00:00,ARRR/BTC,0.00002387,0.00002433,0.00002323,0.00002415,22469.8671,0.534989079476
1658966400,2022-07-28 00:00:00,ARRR/BTC,0.00002442,0.00002495,0.00002361,0.00002364,18825.4892,0.457654102502
1658880000,2022-07-27 00:00:00,ARRR/BTC,0.00002505,0.00002525,0.0000241,0.00002445,21485.5898,0.5292147602
1658793600,2022-07-26 00:00:00,ARRR/BTC,0.00002556,0.00002577,0.00002439,0.00002489,22036.1443,0.548093365195
1658707200,2022-07-25 00:00:00,ARRR/BTC,0.00002588,0.00002676,0.00002487,0.00002544,27155.7419,0.694834255422
1658620800,2022-07-24 00:00:00,ARRR/BTC,0.00002462,0.0000261,0.00002462,0.00002588,14404.921,0.36697972242
1658534400,2022-07-23 00:00:00,ARRR/BTC,0.00002472,0.00002537,0.00002418,0.00002465,16978.863,0.419896484142
1658448000,2022-07-22 00:00:00,ARRR/BTC,0.00002525,0.00002538,0.0000243,0.0000247,21793.2925,0.54202545117
1658361600,2022-07-21 00:00:00,ARRR/BTC,0.00002592,0.00002629,0.0000247,0.00002522,45521.0065,1.163928137414
1658275200,2022-07-20 00:00:00,ARRR/BTC,0.00002766,0.00002829,0.00002552,0.00002603,72363.6214,1.941342848846
1658188800,2022-07-19 00:00:00,ARRR/BTC,0.00002817,0.00002912,0.00002729,0.00002764,33844.52719001,0.9477358750000605
1658102400,2022-07-18 00:00:00,ARRR/BTC,0.00002561,0.00002965,0.00002503,0.00002818,93830.95695353,2.5656137609613699
1658016000,2022-07-17 00:00:00,ARRR/BTC,0.00002473,0.00002614,0.00002458,0.0000257,59418.39865844,1.5176878123065328
1657929600,2022-07-16 00:00:00,ARRR/BTC,0.00002527,0.00002566,0.00002455,0.00002484,30076.07237613,0.7483891315292668
1657843200,2022-07-15 00:00:00,ARRR/BTC,0.00002555,0.00002587,0.00002448,0.00002528,33001.75772343,0.8275436324453278
1657756800,2022-07-14 00:00:00,ARRR/BTC,0.00002428,0.00002568,0.00002426,0.00002555,30823.08225693,0.7716473928362674
1657670400,2022-07-13 00:00:00,ARRR/BTC,0.00002385,0.00002488,0.00002358,0.00002427,32066.01295092,0.7754937122778281
1657584000,2022-07-12 00:00:00,ARRR/BTC,0.00002532,0.00002587,0.0000236,0.00002383,67527.8294283,1.6698162613357365
1657497600,2022-07-11 00:00:00,ARRR/BTC,0.00002463,0.00002588,0.00002459,0.00002531,45479.40066154,1.1509147508027205
1657411200,2022-07-10 00:00:00,ARRR/BTC,0.00002363,0.00002476,0.0000233,0.0000246,34672.76036815,0.8274023184776729
1657324800,2022-07-09 00:00:00,ARRR/BTC,0.00002438,0.00002465,0.00002343,0.00002369,28845.75938658,0.6906279516817312
1657238400,2022-07-08 00:00:00,ARRR/BTC,0.00002077,0.0000272,0.00002051,0.00002438,145630.54731241,3.4596617991110418
1657152000,2022-07-07 00:00:00,ARRR/BTC,0.00002115,0.00002158,0.00002043,0.00002057,24187.42405877,0.5021301027803732
1657065600,2022-07-06 00:00:00,ARRR/BTC,0.00002105,0.00002185,0.00001938,0.00002133,47499.88598295,0.9818314270984453
1656979200,2022-07-05 00:00:00,ARRR/BTC,0.00002082,0.0000217,0.00002056,0.00002103,69112.42417013,1.4617881828487758
1656892800,2022-07-04 00:00:00,ARRR/BTC,0.00002172,0.00002187,0.00002039,0.00002084,38347.90996282,0.8043718137476152
1656806400,2022-07-03 00:00:00,ARRR/BTC,0.00002163,0.00002236,0.00002119,0.00002168,18731.87225438,0.4061763358119393
1656720000,2022-07-02 00:00:00,ARRR/BTC,0.00002148,0.00002264,0.00002117,0.00002167,70452.99383791,1.5382995576029071
1656633600,2022-07-01 00:00:00,ARRR/BTC,0.00002028,0.00002285,0.00001945,0.00002143,68437.6593014,1.4455633300534987
1656547200,2022-06-30 00:00:00,ARRR/BTC,0.00002144,0.00002169,0.00002027,0.00002028,61373.35608287,1.287843219458653
1656460800,2022-06-29 00:00:00,ARRR/BTC,0.00002241,0.00002257,0.00002106,0.0000215,48427.90512962,1.0513800975964123
1656374400,2022-06-28 00:00:00,ARRR/BTC,0.00002249,0.00002307,0.00002142,0.00002233,86522.4650172,1.9222809285370962
1656288000,2022-06-27 00:00:00,ARRR/BTC,0.00002522,0.00002533,0.00002246,0.00002248,108450.91641161,2.6318571446653327
1656201600,2022-06-26 00:00:00,ARRR/BTC,0.00002531,0.00002633,0.00002383,0.00002529,58412.65340983,1.4564415975533097
1656115200,2022-06-25 00:00:00,ARRR/BTC,0.00002162,0.0000262,0.00002161,0.00002546,173312.00249618,4.2043729653621517
1656028800,2022-06-24 00:00:00,ARRR/BTC,0.00002079,0.00002186,0.00002072,0.00002167,51464.35336972,1.0947991914995424
1655942400,2022-06-23 00:00:00,ARRR/BTC,0.0000206,0.00002083,0.00002049,0.00002082,40558.08866369,0.8365427116909247
1655856000,2022-06-22 00:00:00,ARRR/BTC,0.00002067,0.00002075,0.00002053,0.0000206,71093.01125814,1.466486257184436
1655769600,2022-06-21 00:00:00,ARRR/BTC,0.00002056,0.0000209,0.00002038,0.00002068,141480.4629907,2.9174389428073049
1655683200,2022-06-20 00:00:00,ARRR/BTC,0.00002055,0.00002083,0.00002039,0.00002052,172112.3960876,3.5500729360649488
1655596800,2022-06-19 00:00:00,ARRR/BTC,0.00002045,0.00002068,0.00002016,0.00002062,115527.03854377,2.3630673143758825
1655510400,2022-06-18 00:00:00,ARRR/BTC,0.00002008,0.00002046,0.00001994,0.00002046,181234.73700143,3.6672061170965557
1655424000,2022-06-17 00:00:00,ARRR/BTC,0.0000195,0.00002009,0.00001944,0.00002009,112810.85133336,2.2357901361601669
1655337600,2022-06-16 00:00:00,ARRR/BTC,0.00001955,0.00001973,0.00001943,0.00001944,84134.36502447,1.6490130261564039
1655251200,2022-06-15 00:00:00,ARRR/BTC,0.00001935,0.00001958,0.0000191,0.00001958,194462.4539284,3.7589889673027119
1655164800,2022-06-14 00:00:00,ARRR/BTC,0.00001922,0.00001949,0.00001886,0.00001937,136949.88892294,2.6426937736073228
1655078400,2022-06-13 00:00:00,ARRR/BTC,0.00001914,0.00001975,0.00001837,0.00001922,308607.79544814,5.9479568315712898
1654992000,2022-06-12 00:00:00,ARRR/BTC,0.0000195,0.00001983,0.0000187,0.00001914,107864.90537115,2.0751075290685733
1654905600,2022-06-11 00:00:00,ARRR/BTC,0.00002021,0.00002042,0.000019,0.00001957,72949.38490003,1.4491634455022689
1654819200,2022-06-10 00:00:00,ARRR/BTC,0.00002067,0.00002084,0.00001935,0.00002014,48724.66815355,0.9738802616871299
1654732800,2022-06-09 00:00:00,ARRR/BTC,0.00001993,0.00002112,0.00001963,0.00002066,29028.69486849,0.5862199765224472
1654646400,2022-06-08 00:00:00,ARRR/BTC,0.00002011,0.00002069,0.00001976,0.00001996,45052.33963928,0.9074158037724965
1654560000,2022-06-07 00:00:00,ARRR/BTC,0.00002062,0.00002323,0.00001986,0.00001999,101920.94688246,2.1278188064349745
