https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TVK,Volume USDT
1663459200,2022-09-18 00:00:00,TVK/USDT,0.0388,0.0388,0.0383,0.0383,28489.5934,1094.92203403
1663372800,2022-09-17 00:00:00,TVK/USDT,0.0367,0.0397,0.0364,0.0389,1054196.0273,40466.29431747
1663286400,2022-09-16 00:00:00,TVK/USDT,0.0367,0.0369,0.0356,0.0368,357128.31135385,12992.9021082486
1663200000,2022-09-15 00:00:00,TVK/USDT,0.0392,0.0392,0.0365,0.0369,410541.8998,15487.14980541
1663113600,2022-09-14 00:00:00,TVK/USDT,0.0395,0.0403,0.038,0.0392,470956.2659,18575.77898379
1663027200,2022-09-13 00:00:00,TVK/USDT,0.0424,0.0428,0.0392,0.0395,1091630.7126,43873.39070641
1662940800,2022-09-12 00:00:00,TVK/USDT,0.0431,0.0451,0.042,0.0424,648969.787,28204.1133014
1662854400,2022-09-11 00:00:00,TVK/USDT,0.0428,0.0451,0.042,0.0432,867683.1847,37596.36792028
1662768000,2022-09-10 00:00:00,TVK/USDT,0.0422,0.043,0.0419,0.0428,706672.9659,29969.80701382
1662681600,2022-09-09 00:00:00,TVK/USDT,0.0412,0.0435,0.0412,0.0424,1340371.3252,56628.90775695
1662595200,2022-09-08 00:00:00,TVK/USDT,0.0411,0.0416,0.0398,0.0413,506535.9177,20687.98553494
1662508800,2022-09-07 00:00:00,TVK/USDT,0.0404,0.0415,0.0397,0.0412,384492.7694,15549.43530883
1662422400,2022-09-06 00:00:00,TVK/USDT,0.0429,0.0436,0.0399,0.0405,324179.1992,13497.42502589
1662336000,2022-09-05 00:00:00,TVK/USDT,0.0439,0.0443,0.042,0.043,189270.1477,8116.01190689
1662249600,2022-09-04 00:00:00,TVK/USDT,0.0436,0.0442,0.0432,0.0438,222463.911,9716.02836816
1662163200,2022-09-03 00:00:00,TVK/USDT,0.0432,0.0442,0.0428,0.0435,98439.9944,4280.71858227
1662076800,2022-09-02 00:00:00,TVK/USDT,0.0442,0.0446,0.0428,0.0435,560905.7064,24638.65999363
1661990400,2022-09-01 00:00:00,TVK/USDT,0.0442,0.0444,0.043,0.0444,617250.873,26865.02321997
1661904000,2022-08-31 00:00:00,TVK/USDT,0.0436,0.0471,0.043,0.0441,1135579.2241,51067.85616559
1661817600,2022-08-30 00:00:00,TVK/USDT,0.045,0.0455,0.0422,0.0433,254003.9701699,11149.35101324957
1661731200,2022-08-29 00:00:00,TVK/USDT,0.0418,0.045,0.0415,0.045,669914.81506746,29135.29427205917
1661644800,2022-08-28 00:00:00,TVK/USDT,0.0441,0.0444,0.0416,0.0416,412101.06830048,17938.904044319204
1661558400,2022-08-27 00:00:00,TVK/USDT,0.0425,0.0457,0.0413,0.0442,1454887.30299776,62638.441700737317
1661472000,2022-08-26 00:00:00,TVK/USDT,0.0473,0.0474,0.0424,0.0424,1373096.55179147,62030.936237316179
1661385600,2022-08-25 00:00:00,TVK/USDT,0.0466,0.0492,0.0464,0.0474,648386.31026286,30868.829880157621
1661299200,2022-08-24 00:00:00,TVK/USDT,0.0464,0.0498,0.0456,0.0463,988179.18628819,46919.20814906627
1661212800,2022-08-23 00:00:00,TVK/USDT,0.0464,0.0474,0.0451,0.0467,656829.00833805,30483.626299908453
1661126400,2022-08-22 00:00:00,TVK/USDT,0.0477,0.0477,0.0447,0.0465,1881369.1493301,86707.640095348812
1661040000,2022-08-21 00:00:00,TVK/USDT,0.0478,0.0493,0.0468,0.0476,812019.89276313,39077.499930846145
1660953600,2022-08-20 00:00:00,TVK/USDT,0.0441,0.0501,0.0441,0.0478,2906524.38705703,138685.059827645547
1660867200,2022-08-19 00:00:00,TVK/USDT,0.0483,0.0484,0.044,0.0441,1547107.0425519,69758.702968263739
1660780800,2022-08-18 00:00:00,TVK/USDT,0.0506,0.0517,0.0479,0.0483,525169.17572059,26436.254571699458
1660694400,2022-08-17 00:00:00,TVK/USDT,0.0534,0.0548,0.0492,0.0509,1171027.87779492,60116.023771785996
1660608000,2022-08-16 00:00:00,TVK/USDT,0.053,0.0544,0.0524,0.0531,630434.80339769,33588.214480427274
1660521600,2022-08-15 00:00:00,TVK/USDT,0.0561,0.0576,0.0525,0.0532,2040630.57696362,111119.389842759258
1660435200,2022-08-14 00:00:00,TVK/USDT,0.0582,0.0594,0.0555,0.0563,1054460.29654051,59866.814773563914
1660348800,2022-08-13 00:00:00,TVK/USDT,0.0593,0.0604,0.0577,0.0582,1065240.54170008,62823.708123988569
1660262400,2022-08-12 00:00:00,TVK/USDT,0.0589,0.0598,0.0578,0.0593,992039.98933199,58439.942985038967
1660176000,2022-08-11 00:00:00,TVK/USDT,0.0613,0.0622,0.0586,0.0588,3835703.54941516,232333.200052764948
