https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume DAI
1663459200,2022-09-18 00:00:00,USDT/DAI,1.001,1.0019,1.001,1.0015,23714.698597,23749.3625386265
1663372800,2022-09-17 00:00:00,USDT/DAI,1.0014,1.0022,1.0004,1.0011,226570.438943,226924.5701452056
1663286400,2022-09-16 00:00:00,USDT/DAI,1.0007,1.0021,1.0005,1.0012,303599.621277,303912.9915731096
1663200000,2022-09-15 00:00:00,USDT/DAI,1.0014,1.0161,1.0001,1.0012,461053.343011,462053.3072431804
1663113600,2022-09-14 00:00:00,USDT/DAI,1.0008,1.007,1.0004,1.0012,471775.701827,472508.4498502502
1663027200,2022-09-13 00:00:00,USDT/DAI,1.0011,1.0018,0.9998,1.0008,422641.121182,422963.4436154817
1662940800,2022-09-12 00:00:00,USDT/DAI,1.0005,1.0016,0.9979,1.0007,590802.26897,590559.9311328867
1662854400,2022-09-11 00:00:00,USDT/DAI,1.0003,1.0028,0.9989,1.0004,269896.193217,270161.359673879
1662768000,2022-09-10 00:00:00,USDT/DAI,1.0006,1.0013,0.998,1.0003,349327.584289,349185.3023555091
1662681600,2022-09-09 00:00:00,USDT/DAI,1.0003,1.0022,0.9978,1.0006,612462.444458,612763.7702218129
1662595200,2022-09-08 00:00:00,USDT/DAI,1.0003,1.0013,1,1.0007,311111.226135,311265.0722993832
1662508800,2022-09-07 00:00:00,USDT/DAI,1.0015,1.0017,0.9967,1.0004,568781.471615,568810.344160875
1662422400,2022-09-06 00:00:00,USDT/DAI,1.0008,1.0025,0.9985,1.0015,537800.249726,538190.6894430944
1662336000,2022-09-05 00:00:00,USDT/DAI,1,1.0024,0.9974,1.0008,2483068.861831,2484789.4233630072
1662249600,2022-09-04 00:00:00,USDT/DAI,1.0002,1.0004,0.9996,1,283914.802776,283972.473074349
1662163200,2022-09-03 00:00:00,USDT/DAI,1.0002,1.0003,1.0001,1.0002,100982.312252,101002.0484420396
1662076800,2022-09-02 00:00:00,USDT/DAI,0.9999,1.0004,0.9996,1.0002,286935.137681,286937.8597388982
1661990400,2022-09-01 00:00:00,USDT/DAI,1.0001,1.0016,0.999,0.9999,647543.603384,647746.2271458917
1661904000,2022-08-31 00:00:00,USDT/DAI,1.0002,1.0004,0.9999,1.0001,437031.011405,437147.7990926194
1661817600,2022-08-30 00:00:00,USDT/DAI,1.0003,1.0027,1,1.0003,646619.257833,646811.813172188
1661731200,2022-08-29 00:00:00,USDT/DAI,1.0002,1.0025,1,1.0002,759523.49308,759781.5358667659
1661644800,2022-08-28 00:00:00,USDT/DAI,1.0002,1.0002,1.0001,1.0002,199525.182269,199560.6513481446
1661558400,2022-08-27 00:00:00,USDT/DAI,1.0003,1.0013,1.0001,1.0001,590624.359629,590807.6180916162
1661472000,2022-08-26 00:00:00,USDT/DAI,1.0001,1.0003,1.0001,1.0003,490176.029561,490262.74093221
1661385600,2022-08-25 00:00:00,USDT/DAI,1,1.0023,0.9999,1.0002,373861.614449,374030.9424950645
1661299200,2022-08-24 00:00:00,USDT/DAI,1,1.007,0.9989,1,701159.35339,701574.6351534092
1661212800,2022-08-23 00:00:00,USDT/DAI,0.9998,1.0033,0.9998,1.0001,512722.526143,512966.7640283521
1661126400,2022-08-22 00:00:00,USDT/DAI,1,1.0001,0.9989,0.9999,303049.872823,303006.4441108478
1661040000,2022-08-21 00:00:00,USDT/DAI,1.0002,1.0007,1,1.0001,297388.14955,297453.492314695
1660953600,2022-08-20 00:00:00,USDT/DAI,1.0001,1.0027,1.0001,1.0001,554705.68646,555034.9472449604
1660867200,2022-08-19 00:00:00,USDT/DAI,1.0003,1.0029,1,1.0002,1119477.017575,1119934.7104819258
1660780800,2022-08-18 00:00:00,USDT/DAI,1.0003,1.0017,1.0002,1.0003,311256.225287,311398.2284552294
1660694400,2022-08-17 00:00:00,USDT/DAI,1.0002,1.0015,1,1.0002,808908.066976,809246.9144447455
1660608000,2022-08-16 00:00:00,USDT/DAI,1.0008,1.0008,1.0001,1.0002,506396.983104,506620.182511427
1660521600,2022-08-15 00:00:00,USDT/DAI,1.0007,1.0027,1.0005,1.0008,552891.675598,553328.1950905398
