https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XVS,Volume USDT
1663459200,2022-09-18 00:00:00,XVS/USDT,4.549,4.549,4.5026,4.5026,87.5845,398.27406954
1663455600,2022-09-17 23:00:00,XVS/USDT,4.5489,4.5563,4.5489,4.5563,26.0176,118.35308737
1663452000,2022-09-17 22:00:00,XVS/USDT,4.5345,4.5489,4.5345,4.5489,0.475,2.15864735
1663448400,2022-09-17 21:00:00,XVS/USDT,4.5389,4.5389,4.5226,4.5389,1.0285,4.65452916
1663444800,2022-09-17 20:00:00,XVS/USDT,4.5376,4.5508,4.5376,4.5508,2.139,9.7157874
1663441200,2022-09-17 19:00:00,XVS/USDT,4.5253,4.5378,4.4971,4.4971,729.7153,3283.90065764
1663437600,2022-09-17 18:00:00,XVS/USDT,4.537,4.537,4.537,4.537,0.8982,4.0751334
1663434000,2022-09-17 17:00:00,XVS/USDT,4.5487,4.5587,4.518,4.5373,60.4838,275.19446647
1663430400,2022-09-17 16:00:00,XVS/USDT,4.486,4.5487,4.486,4.528,31.2505,141.9829919
1663426800,2022-09-17 15:00:00,XVS/USDT,4.4848,4.486,4.4848,4.486,0.0842,0.37768616
1663423200,2022-09-17 14:00:00,XVS/USDT,4.4848,4.4848,4.4848,4.4848,0.1994,0.89426912
1663419600,2022-09-17 13:00:00,XVS/USDT,4.468,4.4839,4.458,4.458,209.7677,940.09288173
1663416000,2022-09-17 12:00:00,XVS/USDT,4.4404,4.467,4.4404,4.4527,612.4684,2734.12496564
1663412400,2022-09-17 11:00:00,XVS/USDT,4.4284,4.4284,4.4231,4.4231,1.5406,6.8153875
1663408800,2022-09-17 10:00:00,XVS/USDT,4.4284,4.4385,4.4284,4.4385,0.2135,0.94580717
1663405200,2022-09-17 09:00:00,XVS/USDT,4.432,4.432,4.4284,4.4284,0.1561,0.6915022
1663401600,2022-09-17 08:00:00,XVS/USDT,4.4284,4.432,4.4284,4.432,0.6544,2.89863202
1663398000,2022-09-17 07:00:00,XVS/USDT,4.4284,4.4284,4.4284,4.4284,2.2159,9.81289156
1663394400,2022-09-17 06:00:00,XVS/USDT,4.408,4.408,4.4071,4.4071,10.7909,47.56449539
1663390800,2022-09-17 05:00:00,XVS/USDT,4.4084,4.4084,4.408,4.408,1.1662,5.14091608
1663387200,2022-09-17 04:00:00,XVS/USDT,4.418,4.418,4.418,4.418,7.336,32.410448
1663383600,2022-09-17 03:00:00,XVS/USDT,4.4284,4.4284,4.4284,4.4284,0.0662,0.29316008
1663380000,2022-09-17 02:00:00,XVS/USDT,4.4184,4.4284,4.4084,4.409,326.7955,1446.16004685
1663376400,2022-09-17 01:00:00,XVS/USDT,4.4084,4.4184,4.39,4.4184,215.7093,953.0484494
1663372800,2022-09-17 00:00:00,XVS/USDT,4.376,4.4263,4.376,4.398,328.2973,1449.01300619
1663369200,2022-09-16 23:00:00,XVS/USDT,4.363,4.367,4.36,4.36,0.4681,2.0425875
1663365600,2022-09-16 22:00:00,XVS/USDT,4.388,4.3984,4.3762,4.3762,78.9729,346.20903802
1663362000,2022-09-16 21:00:00,XVS/USDT,4.3771,4.39,4.3771,4.39,6.8803,30.1997908
1663358400,2022-09-16 20:00:00,XVS/USDT,4.3981,4.4084,4.2979,4.3893,714.2596,3111.68049561
1663354800,2022-09-16 19:00:00,XVS/USDT,4.403,4.4284,4.403,4.4184,0.2171,0.9599043
1663351200,2022-09-16 18:00:00,XVS/USDT,4.4284,4.4284,4.4084,4.4084,0.3338,1.47302592
1663347600,2022-09-16 17:00:00,XVS/USDT,4.425,4.4282,4.397,4.4282,142.2741,626.42044666
1663344000,2022-09-16 16:00:00,XVS/USDT,4.45,4.45,4.4262,4.4262,19.5043,86.69982486
1663340400,2022-09-16 15:00:00,XVS/USDT,4.4941,4.4986,4.4629,4.4629,45.2723,202.15956897
1663336800,2022-09-16 14:00:00,XVS/USDT,4.4629,4.4939,4.445,4.484,21.431,96.0100841
1663333200,2022-09-16 13:00:00,XVS/USDT,4.487,4.487,4.465,4.465,0.1442,0.6444052
1663329600,2022-09-16 12:00:00,XVS/USDT,4.4919,4.5086,4.489,4.5086,50.3647,227.07006698
1663326000,2022-09-16 11:00:00,XVS/USDT,4.4785,4.487,4.458,4.487,6.2828,28.08201889
1663322400,2022-09-16 10:00:00,XVS/USDT,4.448,4.4785,4.448,4.455,2.179,9.74337367
1663318800,2022-09-16 09:00:00,XVS/USDT,4.448,4.448,4.448,4.448,0,0
1663315200,2022-09-16 08:00:00,XVS/USDT,4.45,4.45,4.4317,4.448,1.6517,7.34553657
1663311600,2022-09-16 07:00:00,XVS/USDT,4.468,4.4919,4.468,4.478,0.6841,3.06470081
1663308000,2022-09-16 06:00:00,XVS/USDT,4.478,4.478,4.478,4.478,0.1429,0.6399062
1663304400,2022-09-16 05:00:00,XVS/USDT,4.478,4.4886,4.478,4.4886,0.4796,2.14812898
1663300800,2022-09-16 04:00:00,XVS/USDT,4.48,4.48,4.48,4.48,1.2946,5.799808
1663297200,2022-09-16 03:00:00,XVS/USDT,4.4585,4.4785,4.4585,4.4785,0.4972,2.2180462
1663293600,2022-09-16 02:00:00,XVS/USDT,4.4585,4.4585,4.44,4.44,1.4133,6.28763128
1663290000,2022-09-16 01:00:00,XVS/USDT,4.4845,4.4845,4.454,4.454,0.4443,1.98237855
1663286400,2022-09-16 00:00:00,XVS/USDT,4.4879,4.4879,4.45,4.4785,31.0124,139.16533089
1663282800,2022-09-15 23:00:00,XVS/USDT,4.4683,4.4879,4.4683,4.4845,7.1109,31.78291699
1663279200,2022-09-15 22:00:00,XVS/USDT,4.4885,4.4886,4.4502,4.4683,26.5708,119.24948941
1663275600,2022-09-15 21:00:00,XVS/USDT,4.5166,4.5166,4.486,4.486,0.6018,2.71298124
1663272000,2022-09-15 20:00:00,XVS/USDT,4.5164,4.5184,4.5084,4.5184,20.4211,92.26930064
1663268400,2022-09-15 19:00:00,XVS/USDT,4.4984,4.4984,4.4916,4.4916,0.676,3.03920802
1663264800,2022-09-15 18:00:00,XVS/USDT,4.5159,4.5175,4.4928,4.5175,17.359,78.09639141
1663261200,2022-09-15 17:00:00,XVS/USDT,4.5142,4.5142,4.5142,4.5142,0.0528,0.23834976
1663257600,2022-09-15 16:00:00,XVS/USDT,4.5026,4.5565,4.5026,4.514,160.4111,730.78173596
1663254000,2022-09-15 15:00:00,XVS/USDT,4.4778,4.51,4.4082,4.51,397.9495,1775.89921143
1663250400,2022-09-15 14:00:00,XVS/USDT,4.587,4.587,4.4589,4.4606,44.1261,197.8199523
1663246800,2022-09-15 13:00:00,XVS/USDT,4.6087,4.6087,4.6087,4.6087,0,0
1663243200,2022-09-15 12:00:00,XVS/USDT,4.6,4.6087,4.5971,4.6087,5.434,24.98890884
1663239600,2022-09-15 11:00:00,XVS/USDT,4.57,4.5888,4.5565,4.5888,64.8081,297.0069727
1663236000,2022-09-15 10:00:00,XVS/USDT,4.557,4.6299,4.557,4.57,30.2605,139.57369896
1663232400,2022-09-15 09:00:00,XVS/USDT,4.547,4.5568,4.534,4.5568,18.3673,83.2952592
1663228800,2022-09-15 08:00:00,XVS/USDT,4.5988,4.5988,4.5565,4.5565,48.27,221.68566648
1663225200,2022-09-15 07:00:00,XVS/USDT,4.5565,4.6088,4.5565,4.6088,12.2336,56.31110681
1663221600,2022-09-15 06:00:00,XVS/USDT,4.5286,4.545,4.4919,4.545,128.5025,578.72235369
1663218000,2022-09-15 05:00:00,XVS/USDT,4.5282,4.5286,4.5,4.5286,71.1612,320.26384359
1663214400,2022-09-15 04:00:00,XVS/USDT,4.5358,4.54,4.5184,4.54,10.9452,49.57493872
1663210800,2022-09-15 03:00:00,XVS/USDT,4.5625,4.5625,4.5358,4.5358,28.1866,127.94455221
1663207200,2022-09-15 02:00:00,XVS/USDT,4.6188,4.6188,4.5625,4.5625,73.4662,336.47586401
1663203600,2022-09-15 01:00:00,XVS/USDT,4.63,4.63,4.5967,4.6088,31.1478,143.42376738
