https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume JAM,Volume USDT
1663459200,2022-09-18 00:00:00,JAM/USDT,0.003716,0.003742,0.003713,0.003741,4389.4815,16.3298181825
1663372800,2022-09-17 00:00:00,JAM/USDT,0.003824,0.003824,0.003707,0.003716,2244818.2002,8419.3890800902
1663286400,2022-09-16 00:00:00,JAM/USDT,0.003839,0.003863,0.003707,0.003796,8609844.606,32585.9868774658
1663200000,2022-09-15 00:00:00,JAM/USDT,0.003905,0.003911,0.003754,0.003813,4866957.5307,18766.5658324969
1663113600,2022-09-14 00:00:00,JAM/USDT,0.003863,0.003968,0.003832,0.003899,8592140.681,33518.44211362
1663027200,2022-09-13 00:00:00,JAM/USDT,0.004094,0.004094,0.003867,0.003899,7930463.8592,31526.142317764
1662940800,2022-09-12 00:00:00,JAM/USDT,0.004051,0.004091,0.004042,0.004067,2919990.7418,11860.8749534193
1662854400,2022-09-11 00:00:00,JAM/USDT,0.004019,0.004081,0.003989,0.004081,3409010.9406,13779.5169969845
1662768000,2022-09-10 00:00:00,JAM/USDT,0.003932,0.004036,0.00393,0.004019,3810520.2124,15221.5980271209
1662681600,2022-09-09 00:00:00,JAM/USDT,0.003943,0.004003,0.003918,0.003929,9191687.6401,36358.8221351553
1662595200,2022-09-08 00:00:00,JAM/USDT,0.004127,0.004414,0.003911,0.003944,24856710.5793,101407.0364384217
1662508800,2022-09-07 00:00:00,JAM/USDT,0.004148,0.004148,0.004086,0.004127,2158405.8131,8872.9781796417
1662422400,2022-09-06 00:00:00,JAM/USDT,0.004173,0.004192,0.004117,0.004148,2243641.3563,9312.7394682507
1662336000,2022-09-05 00:00:00,JAM/USDT,0.004231,0.004242,0.00413,0.004156,3079423.7736,12865.5843980775
1662249600,2022-09-04 00:00:00,JAM/USDT,0.004174,0.004245,0.004139,0.004202,2051344.3334,8604.2198809623
1662163200,2022-09-03 00:00:00,JAM/USDT,0.004196,0.004265,0.004169,0.004169,2452013.1158,10352.0899595089
1662076800,2022-09-02 00:00:00,JAM/USDT,0.004188,0.004245,0.004188,0.004195,3369911.552,14204.0852019635
1661990400,2022-09-01 00:00:00,JAM/USDT,0.004268,0.004303,0.004183,0.004196,5660309.1695,23946.8365258407
1661904000,2022-08-31 00:00:00,JAM/USDT,0.004338,0.004377,0.004261,0.004272,5154597.5621,22169.9937339511
1661817600,2022-08-30 00:00:00,JAM/USDT,0.004358,0.004389,0.004333,0.004334,3713187.6168,16169.3471693618
1661731200,2022-08-29 00:00:00,JAM/USDT,0.004415,0.004459,0.004355,0.004355,2311178.879,10200.4856863731
1661644800,2022-08-28 00:00:00,JAM/USDT,0.004438,0.004471,0.004424,0.004424,2505323.7956,11127.3085360083
