https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TWT,Volume USDT
1663462800,2022-09-18 01:00:00,TWT/USDT,0.9888,0.9915,0.9888,0.9915,13.2508,13.11604224
1663459200,2022-09-18 00:00:00,TWT/USDT,0.9999,1,0.9873,0.9915,985.6478,976.73131316
1663455600,2022-09-17 23:00:00,TWT/USDT,0.9958,0.9995,0.9958,0.9982,208.5179,208.14338345
1663452000,2022-09-17 22:00:00,TWT/USDT,0.9912,1.0001,0.9912,0.9945,2877.0181,2862.77933472
1663448400,2022-09-17 21:00:00,TWT/USDT,0.9884,0.9971,0.9847,0.9913,6823.1679,6749.75790165
1663444800,2022-09-17 20:00:00,TWT/USDT,0.9846,0.986,0.9841,0.9857,67.7404,66.78656953
1663441200,2022-09-17 19:00:00,TWT/USDT,0.9906,0.9906,0.9836,0.9836,1238.5322,1220.55794096
1663437600,2022-09-17 18:00:00,TWT/USDT,0.9915,0.9935,0.9889,0.9891,3664.9882,3637.48447865
1663434000,2022-09-17 17:00:00,TWT/USDT,0.9917,0.9932,0.9891,0.9907,1926.0118,1909.78443087
1663430400,2022-09-17 16:00:00,TWT/USDT,0.9863,0.9922,0.9844,0.9901,1177.7002,1165.96896662
1663426800,2022-09-17 15:00:00,TWT/USDT,0.9794,0.988,0.9765,0.9863,3680.6706,3619.94187217
1663423200,2022-09-17 14:00:00,TWT/USDT,0.9753,0.9793,0.9747,0.9793,2480.1543,2418.56321575
1663419600,2022-09-17 13:00:00,TWT/USDT,0.9761,0.9777,0.9754,0.9762,669.0736,653.62508273
1663416000,2022-09-17 12:00:00,TWT/USDT,0.9755,0.9762,0.9716,0.9762,29.9721,29.20222973
1663412400,2022-09-17 11:00:00,TWT/USDT,0.9755,0.9755,0.9723,0.9723,384.074,373.77869742
1663408800,2022-09-17 10:00:00,TWT/USDT,0.9754,0.9778,0.9743,0.9747,203.7895,198.89886743
1663405200,2022-09-17 09:00:00,TWT/USDT,0.9767,0.9788,0.9758,0.9785,140.5358,137.29600548
1663401600,2022-09-17 08:00:00,TWT/USDT,0.9747,0.9768,0.9743,0.9768,674.0831,657.50761536
1663398000,2022-09-17 07:00:00,TWT/USDT,0.9677,0.975,0.9662,0.9728,4183.0764,4067.84489133
1663394400,2022-09-17 06:00:00,TWT/USDT,0.9678,0.9681,0.9662,0.9676,499.8356,483.23509026
1663390800,2022-09-17 05:00:00,TWT/USDT,0.9713,0.9713,0.9675,0.9675,40.9037,39.64034673
