https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PRE,Volume BTC
1663459200,2022-09-18 00:00:00,PRE/BTC,0.0000037572,0.0000037685,0.0000037353,0.0000037353,238.6062,0.00089743278359
1663372800,2022-09-17 00:00:00,PRE/BTC,0.000003748,0.0000037669,0.00000369,0.0000037151,66404.0196,0.24658757587467
1663286400,2022-09-16 00:00:00,PRE/BTC,0.0000037805,0.0000038453,0.0000037014,0.0000037468,36703.9339,0.13870136645324
1663200000,2022-09-15 00:00:00,PRE/BTC,0.0000038952,0.0000040456,0.0000037238,0.0000037718,49291.2099,0.19206427570634
1663113600,2022-09-14 00:00:00,PRE/BTC,0.0000036445,0.0000039889,0.0000036445,0.0000038501,46381.0266,0.17959452344178
1663027200,2022-09-13 00:00:00,PRE/BTC,0.0000035241,0.0000038085,0.0000034911,0.0000036421,144304.5484,0.52202494794161
1662940800,2022-09-12 00:00:00,PRE/BTC,0.0000037125,0.000003767,0.0000033659,0.000003496,42150.5655,0.14690013509435
1662854400,2022-09-11 00:00:00,PRE/BTC,0.0000035667,0.0000038444,0.0000034672,0.0000037238,31349.6176,0.11519239192854
1662768000,2022-09-10 00:00:00,PRE/BTC,0.0000035746,0.0000036826,0.0000034668,0.0000035667,42116.526,0.1517447090585
1662681600,2022-09-09 00:00:00,PRE/BTC,0.0000039655,0.0000041116,0.0000034903,0.0000035959,87066.0333,0.32366977844726
1662595200,2022-09-08 00:00:00,PRE/BTC,0.0000041271,0.0000042414,0.0000038797,0.0000039899,81080.4057,0.32626208632784
1662508800,2022-09-07 00:00:00,PRE/BTC,0.000003896,0.0000043999,0.0000038038,0.0000041156,75669.635,0.30996542019451
1662422400,2022-09-06 00:00:00,PRE/BTC,0.0000035946,0.0000040579,0.00000356,0.0000038731,71116.6788,0.27019194861197
1662336000,2022-09-05 00:00:00,PRE/BTC,0.00000359,0.0000037399,0.0000035601,0.0000035946,52359.7947,0.19001954500844
1662249600,2022-09-04 00:00:00,PRE/BTC,0.00000366,0.0000038792,0.0000035909,0.000003615,58505.6712,0.22051854847642
1662163200,2022-09-03 00:00:00,PRE/BTC,0.0000035959,0.000003737,0.0000035401,0.0000036596,32520.0152,0.11869442849383
1662076800,2022-09-02 00:00:00,PRE/BTC,0.0000036651,0.0000039232,0.0000034601,0.0000035959,80031.8337,0.2958479514859
1661990400,2022-09-01 00:00:00,PRE/BTC,0.0000038735,0.0000044044,0.0000036026,0.0000036421,92504.6249,0.35680262349896
1661904000,2022-08-31 00:00:00,PRE/BTC,0.0000038269,0.0000039856,0.0000037326,0.000003885,28803.3687,0.11175205902091
1661817600,2022-08-30 00:00:00,PRE/BTC,0.0000037325,0.0000038929,0.0000036756,0.000003858,64786.3286,0.25017263518593
1661731200,2022-08-29 00:00:00,PRE/BTC,0.0000037807,0.0000038332,0.0000036026,0.0000036887,22027.3352,0.08156568350145
1661644800,2022-08-28 00:00:00,PRE/BTC,0.0000040143,0.0000040144,0.00000357,0.0000037576,212148.1757,0.8095851008197
