https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ABBC,Volume USDT
1663459200,2022-09-18 00:00:00,ABBC/USDT,0.1792,0.1802,0.1771,0.1802,73861.6116,13213.90546532
1663372800,2022-09-17 00:00:00,ABBC/USDT,0.1733,0.1832,0.1713,0.1793,1488921.3775,261847.37031267
1663286400,2022-09-16 00:00:00,ABBC/USDT,0.1736,0.1809,0.1706,0.173,1185290.766,206983.30156704
1663200000,2022-09-15 00:00:00,ABBC/USDT,0.1741,0.1817,0.1724,0.1739,892444.2484,158056.59601641
1663113600,2022-09-14 00:00:00,ABBC/USDT,0.1603,0.1809,0.1602,0.1744,1269415.1809,218077.4804334
1663027200,2022-09-13 00:00:00,ABBC/USDT,0.1824,0.1841,0.1592,0.1603,1553101.9292,270978.47143738
1662940800,2022-09-12 00:00:00,ABBC/USDT,0.1819,0.1937,0.1798,0.1824,995101.5827,184629.83346367
1662854400,2022-09-11 00:00:00,ABBC/USDT,0.1927,0.1927,0.179,0.1814,1244982.061,229197.87159351
1662768000,2022-09-10 00:00:00,ABBC/USDT,0.1975,0.2011,0.1881,0.1923,1667458.3205,321596.74557163
1662681600,2022-09-09 00:00:00,ABBC/USDT,0.2004,0.2049,0.1935,0.1967,1748940.9761,348047.83782592
1662595200,2022-09-08 00:00:00,ABBC/USDT,0.197,0.2038,0.1964,0.2,965103.6445,191440.88998855
1662508800,2022-09-07 00:00:00,ABBC/USDT,0.1968,0.202,0.1953,0.1968,1104697.4488,218534.90971475
1662422400,2022-09-06 00:00:00,ABBC/USDT,0.1977,0.2139,0.1957,0.1967,1677882.1101,340668.87262994
1662336000,2022-09-05 00:00:00,ABBC/USDT,0.2033,0.2183,0.1969,0.1975,2068995.6996,423878.79692187
1662249600,2022-09-04 00:00:00,ABBC/USDT,0.1811,0.212,0.1806,0.2037,2667085.4441,523609.49878611
1662163200,2022-09-03 00:00:00,ABBC/USDT,0.1983,0.2217,0.1768,0.1811,4256671.40110562,824825.492283794294
