https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE3S,Volume USDT
1663459200,2022-09-18 00:00:00,DOGE3S/USDT,1.3002,1.3272,1.3002,1.3208,186.6856,243.60459034
1663372800,2022-09-17 00:00:00,DOGE3S/USDT,1.4202,1.4202,1.2841,1.2921,4710.2698,6429.96164601
1663286400,2022-09-16 00:00:00,DOGE3S/USDT,1.5475,1.607,1.412,1.412,15251.9482,22716.65475221
1663200000,2022-09-15 00:00:00,DOGE3S/USDT,1.3851,1.5676,1.3773,1.5676,16189.3012,23724.83605566
1663113600,2022-09-14 00:00:00,DOGE3S/USDT,1.4888,1.5209,1.36,1.3756,25654.0741,35930.82776026
1663027200,2022-09-13 00:00:00,DOGE3S/USDT,1.2536,1.5286,1.2352,1.5013,34693.4361,49155.08909176
1662940800,2022-09-12 00:00:00,DOGE3S/USDT,1.2618,1.3089,1.1597,1.2499,28672.9019,35858.93348744
1662854400,2022-09-11 00:00:00,DOGE3S/USDT,1.1876,1.3229,1.1876,1.2624,7590.8981,9482.02076992
1662768000,2022-09-10 00:00:00,DOGE3S/USDT,1.2571,1.2876,1.1578,1.1905,8940.1717,11016.99443757
1662681600,2022-09-09 00:00:00,DOGE3S/USDT,1.4582,1.4582,1.1751,1.2492,18375.7059,23846.16849474
1662595200,2022-09-08 00:00:00,DOGE3S/USDT,1.44,1.5452,1.4221,1.4481,14172.7812,20983.85406318
1662508800,2022-09-07 00:00:00,DOGE3S/USDT,1.6429,1.7523,1.4111,1.4375,27659.2209,43551.0493162
1662422400,2022-09-06 00:00:00,DOGE3S/USDT,1.3593,1.6644,1.222,1.628,17651.1405,26064.60770373
1662336000,2022-09-05 00:00:00,DOGE3S/USDT,1.3436,1.4761,1.31,1.3717,16273.2806,22041.99001207
1662249600,2022-09-04 00:00:00,DOGE3S/USDT,1.3842,1.4238,1.3054,1.3668,5973.7455,8278.69718933
1662163200,2022-09-03 00:00:00,DOGE3S/USDT,1.461,1.4798,1.2723,1.3849,9278.2485,12909.36181019
1662076800,2022-09-02 00:00:00,DOGE3S/USDT,1.3977,1.5101,1.3763,1.4589,7520.4569,10819.12959464
1661990400,2022-09-01 00:00:00,DOGE3S/USDT,1.4885,1.5822,1.3934,1.4101,27027.3246,40236.53147856
1661904000,2022-08-31 00:00:00,DOGE3S/USDT,1.4675,1.5236,1.3321,1.4851,10365.43866999,14489.271825828358
