https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COCOS,Volume USDT
1663459200,2022-09-18 00:00:00,COCOS/USDT,0.6497,0.6499,0.6488,0.6494,12663.4749,8220.7848755
1663372800,2022-09-17 00:00:00,COCOS/USDT,0.6335,0.6571,0.6329,0.6495,310007.617,200075.55972302
1663286400,2022-09-16 00:00:00,COCOS/USDT,0.64,0.6443,0.6252,0.6336,313227.5593,199311.10828986
1663200000,2022-09-15 00:00:00,COCOS/USDT,0.6523,0.664,0.6357,0.64,120199.7633,77347.16804851
1663113600,2022-09-14 00:00:00,COCOS/USDT,0.6521,0.6674,0.6446,0.6526,236380.3508,154783.37429438
1663027200,2022-09-13 00:00:00,COCOS/USDT,0.6823,0.6848,0.6485,0.6521,292633.8601,195430.79330503
1662940800,2022-09-12 00:00:00,COCOS/USDT,0.6933,0.7299,0.6754,0.6821,288371.28,198673.26847348
1662854400,2022-09-11 00:00:00,COCOS/USDT,0.6838,0.7299,0.6826,0.693,292846.8275,202652.97851552
1662768000,2022-09-10 00:00:00,COCOS/USDT,0.6776,0.73,0.6752,0.6837,297832.6272,203466.15190446
1662681600,2022-09-09 00:00:00,COCOS/USDT,0.6574,0.7025,0.6335,0.6784,313371.7848,210722.04386166
1662595200,2022-09-08 00:00:00,COCOS/USDT,0.6459,0.6968,0.644,0.6571,129507.9957,85312.64521846
1662508800,2022-09-07 00:00:00,COCOS/USDT,0.6358,0.6512,0.6313,0.6458,214396.7477,136765.63292247
1662422400,2022-09-06 00:00:00,COCOS/USDT,0.6612,0.6677,0.6264,0.6358,322756.7065,211343.3541288
1662336000,2022-09-05 00:00:00,COCOS/USDT,0.6601,0.7038,0.6528,0.6613,338985.3504,224448.92438956
1662249600,2022-09-04 00:00:00,COCOS/USDT,0.6533,0.6615,0.6497,0.6602,314353.8421,206500.31446423
1662163200,2022-09-03 00:00:00,COCOS/USDT,0.6545,0.6572,0.6443,0.6535,308694.8198,201820.48278477
1662076800,2022-09-02 00:00:00,COCOS/USDT,0.6498,0.6616,0.644,0.6544,309396.1256,202343.86485833
1661990400,2022-09-01 00:00:00,COCOS/USDT,0.654,0.6675,0.6374,0.6493,334235.8467,216718.73787786
1661904000,2022-08-31 00:00:00,COCOS/USDT,0.6539,0.6653,0.6506,0.654,281161.6388,184981.75835447
1661817600,2022-08-30 00:00:00,COCOS/USDT,0.665,0.6838,0.648,0.654,137023.8938,90943.56251302
1661731200,2022-08-29 00:00:00,COCOS/USDT,0.6415,0.8117,0.602,0.6653,454379.867,306237.70459811
1661644800,2022-08-28 00:00:00,COCOS/USDT,0.6453,0.6651,0.6393,0.6417,323057.9991,210930.10007583
1661558400,2022-08-27 00:00:00,COCOS/USDT,0.6528,0.6571,0.6373,0.6454,310630.7895,201940.27381372
1661472000,2022-08-26 00:00:00,COCOS/USDT,0.7217,0.7893,0.6456,0.6528,300357.34256673,210915.865714275089
1661385600,2022-08-25 00:00:00,COCOS/USDT,0.7155,0.7408,0.7144,0.722,285891.8122,206136.14346476
1661299200,2022-08-24 00:00:00,COCOS/USDT,0.727,0.7282,0.7065,0.7153,288278.5893,206967.33905363
1661212800,2022-08-23 00:00:00,COCOS/USDT,0.7165,0.7287,0.7039,0.7272,294534.8949,211451.38740377
1661126400,2022-08-22 00:00:00,COCOS/USDT,0.7255,0.752,0.7033,0.7159,304659.8259,218399.13000325
1661040000,2022-08-21 00:00:00,COCOS/USDT,0.7223,0.7272,0.7096,0.7255,285671.5919,205555.34141477
1660953600,2022-08-20 00:00:00,COCOS/USDT,0.7027,0.7373,0.7027,0.7222,82147.2922,58874.80171488
1660867200,2022-08-19 00:00:00,COCOS/USDT,0.761,0.763,0.7,0.7026,92235.2902,67005.9347992
1660780800,2022-08-18 00:00:00,COCOS/USDT,0.7656,0.8053,0.7562,0.7609,252395.1604,194697.46974226
1660694400,2022-08-17 00:00:00,COCOS/USDT,0.7836,0.8041,0.7662,0.7662,261720.1682,204464.64128112
1660608000,2022-08-16 00:00:00,COCOS/USDT,0.7935,0.7963,0.78,0.7834,238313.5112,187581.54704038
1660521600,2022-08-15 00:00:00,COCOS/USDT,0.7916,0.8493,0.7777,0.7934,276064.3224,218309.15615766
1660435200,2022-08-14 00:00:00,COCOS/USDT,0.8063,0.8212,0.7824,0.7916,259395.5785,207953.36308162
1660348800,2022-08-13 00:00:00,COCOS/USDT,0.8126,0.8228,0.8007,0.8059,255189.0284,206851.17025699
1660262400,2022-08-12 00:00:00,COCOS/USDT,0.794,0.89,0.7895,0.8126,304591.6832,245688.9332073
1660176000,2022-08-11 00:00:00,COCOS/USDT,0.7993,0.8121,0.7898,0.794,255742.9148,204839.36751883
1660089600,2022-08-10 00:00:00,COCOS/USDT,0.7793,0.8199,0.7734,0.7989,269026.9445,211890.6242876
1660003200,2022-08-09 00:00:00,COCOS/USDT,0.8,0.808,0.7687,0.7792,268616.7063,211381.39790481
1659916800,2022-08-08 00:00:00,COCOS/USDT,0.7962,0.819,0.7922,0.7992,78215.7388,62689.07984839
1659830400,2022-08-07 00:00:00,COCOS/USDT,0.7911,0.8479,0.7836,0.7999,28034.7756,22493.11400064
1659744000,2022-08-06 00:00:00,COCOS/USDT,0.7954,0.799,0.7869,0.7879,6256.2029,4960.87473832
1659657600,2022-08-05 00:00:00,COCOS/USDT,0.7804,0.7983,0.7743,0.7983,11334.2145,8900.32045035
1659571200,2022-08-04 00:00:00,COCOS/USDT,0.7661,0.7936,0.7661,0.7804,7595.6913,5901.72417449
1659484800,2022-08-03 00:00:00,COCOS/USDT,0.7677,0.7868,0.7401,0.7653,9501.0125,7309.03761077
1659398400,2022-08-02 00:00:00,COCOS/USDT,0.7769,0.7848,0.7575,0.7716,7810.3256,5992.99714179
1659312000,2022-08-01 00:00:00,COCOS/USDT,0.7676,0.7899,0.7672,0.7769,11157.8735,8688.62945167
1659225600,2022-07-31 00:00:00,COCOS/USDT,0.7618,0.9036,0.734,0.7705,178079.769661,146065.0498898972
1659139200,2022-07-30 00:00:00,COCOS/USDT,0.7668,0.81,0.7601,0.7611,101632.9855,79175.11786048
1659052800,2022-07-29 00:00:00,COCOS/USDT,0.769,0.7907,0.7538,0.767,210813.1162,162709.3069652
1658966400,2022-07-28 00:00:00,COCOS/USDT,0.7414,0.7802,0.7364,0.7692,276479.9604,209494.29150952
1658880000,2022-07-27 00:00:00,COCOS/USDT,0.7066,0.7892,0.7029,0.7408,305838.9809,221847.16466847
1658793600,2022-07-26 00:00:00,COCOS/USDT,0.726,0.7265,0.6854,0.7068,304791.9829,214975.42463858
1658707200,2022-07-25 00:00:00,COCOS/USDT,0.7637,0.7663,0.7232,0.726,287168.4604,213140.14839784
1658620800,2022-07-24 00:00:00,COCOS/USDT,0.7604,0.7796,0.7584,0.7636,285099.5654,218818.7732955
1658534400,2022-07-23 00:00:00,COCOS/USDT,0.7511,0.8068,0.7427,0.7605,339428.4988,260153.26336049
1658448000,2022-07-22 00:00:00,COCOS/USDT,0.7559,0.7999,0.7459,0.7513,334907.6211,256844.49754634
1658361600,2022-07-21 00:00:00,COCOS/USDT,0.7522,0.7603,0.725,0.7561,358852.0667,267131.76193676
1658275200,2022-07-20 00:00:00,COCOS/USDT,0.7943,0.8215,0.7366,0.7521,313449.99532893,244379.27487500447
1658188800,2022-07-19 00:00:00,COCOS/USDT,0.7878,0.8286,0.7713,0.7943,346038.90320152,273061.411241408257
1658102400,2022-07-18 00:00:00,COCOS/USDT,0.7487,0.8098,0.7407,0.7874,355990.98976861,277522.703855989799
1658016000,2022-07-17 00:00:00,COCOS/USDT,0.736,0.8465,0.7338,0.747,574655.68992155,450967.950220454064
1657929600,2022-07-16 00:00:00,COCOS/USDT,0.7239,0.7574,0.7119,0.7362,298005.62809968,216289.502915081988
1657843200,2022-07-15 00:00:00,COCOS/USDT,0.7257,0.7401,0.7159,0.7238,295287.59761649,214099.838563166803
1657756800,2022-07-14 00:00:00,COCOS/USDT,0.7143,0.7364,0.7018,0.7257,295490.68019764,211312.075204332189
1657670400,2022-07-13 00:00:00,COCOS/USDT,0.6912,0.754,0.6806,0.7141,314997.34859267,222519.066801342242
1657584000,2022-07-12 00:00:00,COCOS/USDT,0.732,0.735,0.6859,0.6924,383848.23064904,271735.338258554638
1657497600,2022-07-11 00:00:00,COCOS/USDT,0.7983,0.8377,0.7282,0.7321,378147.81866523,289278.661042503523
1657411200,2022-07-10 00:00:00,COCOS/USDT,0.7337,0.94,0.7232,0.7982,617752.25744314,506575.696451609707
1657324800,2022-07-09 00:00:00,COCOS/USDT,0.7379,0.7532,0.7274,0.7338,297521.01916619,219307.35828725216
1657238400,2022-07-08 00:00:00,COCOS/USDT,0.7412,0.7699,0.717,0.7384,305238.24071445,224404.799613865981
1657152000,2022-07-07 00:00:00,COCOS/USDT,0.6943,0.7724,0.6856,0.7412,367254.21280082,266358.908942796546
1657065600,2022-07-06 00:00:00,COCOS/USDT,0.6728,0.7192,0.6668,0.6955,339291.8302125,231815.273405989258
1656979200,2022-07-05 00:00:00,COCOS/USDT,0.6868,0.6917,0.66,0.6728,130415.41269635,87602.250902629204
1656892800,2022-07-04 00:00:00,COCOS/USDT,0.6642,0.6889,0.662,0.6868,19686.39314857,13286.648352659075
1656806400,2022-07-03 00:00:00,COCOS/USDT,0.6704,0.685,0.66,0.6627,7406.99047572,4981.812577926439
1656720000,2022-07-02 00:00:00,COCOS/USDT,0.6583,0.7844,0.65,0.672,34059.20438341,23428.792876665244
1656633600,2022-07-01 00:00:00,COCOS/USDT,0.66,0.6954,0.65,0.6619,24978.70178313,16666.965348788769
1656547200,2022-06-30 00:00:00,COCOS/USDT,0.68,0.6805,0.6322,0.6578,27915.4634775,18264.062742861561
1656460800,2022-06-29 00:00:00,COCOS/USDT,0.6795,0.697,0.6668,0.6808,20414.92973759,14006.327638514186
1656374400,2022-06-28 00:00:00,COCOS/USDT,0.7121,0.7313,0.6797,0.6808,6070.14620038,4289.563207208324
1656288000,2022-06-27 00:00:00,COCOS/USDT,0.7025,0.7657,0.6977,0.7122,61330.72803909,45081.27324238407
1656201600,2022-06-26 00:00:00,COCOS/USDT,0.7175,0.7776,0.6934,0.7025,77836.49626697,57598.640487047454
1656115200,2022-06-25 00:00:00,COCOS/USDT,0.7076,0.7378,0.6823,0.7161,27842.68037054,19880.383296037662
1656028800,2022-06-24 00:00:00,COCOS/USDT,0.704,0.7166,0.6872,0.708,24957.25710554,17432.307685930109
1655942400,2022-06-23 00:00:00,COCOS/USDT,0.6735,0.7046,0.6728,0.6986,24750.3579467,17125.505402676217
1655856000,2022-06-22 00:00:00,COCOS/USDT,0.6614,0.7255,0.6562,0.6745,83225.08563534,57499.436419311914
1655769600,2022-06-21 00:00:00,COCOS/USDT,0.6552,0.6825,0.6515,0.6614,14277.22698093,9569.636436525198
1655683200,2022-06-20 00:00:00,COCOS/USDT,0.6451,0.6782,0.6299,0.656,24557.66275138,16098.166378766123
1655596800,2022-06-19 00:00:00,COCOS/USDT,0.628,0.6612,0.5805,0.6472,16177.40186251,10241.76056198037
1655510400,2022-06-18 00:00:00,COCOS/USDT,0.6713,0.6725,0.5853,0.6235,19685.42598976,12575.845951302614
1655424000,2022-06-17 00:00:00,COCOS/USDT,0.638,0.72,0.638,0.6708,41891.00901449,28368.627116635421
1655337600,2022-06-16 00:00:00,COCOS/USDT,0.6795,0.7212,0.6349,0.6387,31031.93390236,20864.946406655503
1655251200,2022-06-15 00:00:00,COCOS/USDT,0.66,0.7427,0.6114,0.6796,178916.73726328,118471.447515040437
1655164800,2022-06-14 00:00:00,COCOS/USDT,0.6491,0.7364,0.6122,0.664,55678.96081989,36814.875660352871
1655078400,2022-06-13 00:00:00,COCOS/USDT,0.7136,0.7192,0.6207,0.648,151249.23742678,102159.668327422922
1654992000,2022-06-12 00:00:00,COCOS/USDT,0.8135,0.8435,0.7118,0.7141,359757.70428234,275066.403687745962
1654905600,2022-06-11 00:00:00,COCOS/USDT,0.7385,0.9426,0.7091,0.8135,436233.222407,344959.042989780268
1654819200,2022-06-10 00:00:00,COCOS/USDT,0.7661,0.7841,0.7306,0.7384,274246.90238119,207403.858999834995
1654732800,2022-06-09 00:00:00,COCOS/USDT,0.7922,0.8485,0.763,0.7665,299463.24711174,236053.140359176177
1654646400,2022-06-08 00:00:00,COCOS/USDT,0.8009,0.8321,0.7885,0.7925,179399.44675293,143660.354363823407
1654560000,2022-06-07 00:00:00,COCOS/USDT,0.8014,0.9237,0.7454,0.8009,179629.11598909,148324.420142995051
1654473600,2022-06-06 00:00:00,COCOS/USDT,0.7942,0.8928,0.7855,0.8028,144196.51639752,119058.197782033538
1654387200,2022-06-05 00:00:00,COCOS/USDT,0.9082,0.9336,0.7789,0.7942,633360.19945322,532867.123217330776
1654300800,2022-06-04 00:00:00,COCOS/USDT,0.6956,1.1054,0.6902,0.9091,1057974.98843544,953858.528069352087
1654214400,2022-06-03 00:00:00,COCOS/USDT,0.7162,0.7399,0.6818,0.6954,297442.29841525,208871.39047797876
1654128000,2022-06-02 00:00:00,COCOS/USDT,0.6936,0.7516,0.6892,0.7161,306086.78415143,216923.379681492151
