https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ERG,Volume BTC
1663459200,2022-09-18 00:00:00,ERG/BTC,0.00020713,0.0002082,0.0002012,0.00020284,606.0171,0.123194349909
1663372800,2022-09-17 00:00:00,ERG/BTC,0.00022289,0.00022324,0.00020396,0.0002076,10697.8252,2.258430522705
1663286400,2022-09-16 00:00:00,ERG/BTC,0.00023211,0.00024273,0.00020652,0.00022289,19380.8566,4.361633046758
1663200000,2022-09-15 00:00:00,ERG/BTC,0.00025841,0.00025841,0.00022769,0.00023359,46911.1438,11.370816883748
1663113600,2022-09-14 00:00:00,ERG/BTC,0.0002002,0.0002699,0.00019957,0.0002595,39401.6457,9.443120545835
1663027200,2022-09-13 00:00:00,ERG/BTC,0.00020281,0.00020657,0.00018601,0.00019987,10321.9212,2.045392811984
1662940800,2022-09-12 00:00:00,ERG/BTC,0.0001937,0.00022238,0.00019145,0.0002028,21657.32,4.420748093178
1662854400,2022-09-11 00:00:00,ERG/BTC,0.00021042,0.00021604,0.00018722,0.00019369,22160.1297,4.376149685663
1662768000,2022-09-10 00:00:00,ERG/BTC,0.00022682,0.0002336,0.00020432,0.00020948,15455.5111,3.307117853363
1662681600,2022-09-09 00:00:00,ERG/BTC,0.00024862,0.00025194,0.00022266,0.00022674,21244.2634594,4.908804704220004
1662595200,2022-09-08 00:00:00,ERG/BTC,0.00024976,0.00026352,0.00024447,0.00024862,11162.7947,2.821639570124
1662508800,2022-09-07 00:00:00,ERG/BTC,0.00025077,0.00026504,0.00023118,0.00024976,22910.8042,5.709757775274
1662422400,2022-09-06 00:00:00,ERG/BTC,0.00025684,0.00026795,0.00022699,0.00024958,70005.6263,17.746924725335
1662336000,2022-09-05 00:00:00,ERG/BTC,0.00022522,0.000279,0.00021304,0.00025708,73160.15675314,17.790111667275182
1662249600,2022-09-04 00:00:00,ERG/BTC,0.00021394,0.0002389,0.00020774,0.00022532,55413.1019,12.572166146006
1662163200,2022-09-03 00:00:00,ERG/BTC,0.00017447,0.00023743,0.00017414,0.00021225,63778.6116,13.622183661505
1662076800,2022-09-02 00:00:00,ERG/BTC,0.00016275,0.00018379,0.00015945,0.00017592,20329.763,3.481256662491
1661990400,2022-09-01 00:00:00,ERG/BTC,0.00016015,0.00016498,0.00015687,0.00016275,8930.0674,1.434933623853
1661904000,2022-08-31 00:00:00,ERG/BTC,0.00016309,0.00016676,0.00015687,0.00016007,13235.338,2.136661211798
1661817600,2022-08-30 00:00:00,ERG/BTC,0.0001585,0.00016499,0.00015493,0.00016314,30358.2456,4.861692716169
1661731200,2022-08-29 00:00:00,ERG/BTC,0.00016469,0.00016801,0.00015423,0.0001585,11782.1128,1.890035582358
1661644800,2022-08-28 00:00:00,ERG/BTC,0.00015149,0.00016989,0.00014811,0.0001647,15225.8223,2.410217680606
1661558400,2022-08-27 00:00:00,ERG/BTC,0.00015423,0.00016,0.00014971,0.00015118,8802.1879,1.365715614195
1661472000,2022-08-26 00:00:00,ERG/BTC,0.00015715,0.00016084,0.00015089,0.00015426,15583.0267,2.441800839085
1661385600,2022-08-25 00:00:00,ERG/BTC,0.0001422,0.00016313,0.00014108,0.00015712,31800.3663,4.872993768507
1661299200,2022-08-24 00:00:00,ERG/BTC,0.00013925,0.0001579,0.00013745,0.00014221,25013.7263,3.621252837346
