https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UMB,Volume USDT
1658880000,2022-07-27 00:00:00,UMB/USDT,0.0175,0.0184,0.0174,0.0178,42854.7525,771.18849806
1658793600,2022-07-26 00:00:00,UMB/USDT,0.0167,0.0179,0.0162,0.0176,677927.6331,11558.55997645
1658707200,2022-07-25 00:00:00,UMB/USDT,0.0187,0.0191,0.0165,0.0168,1252243.618,21371.61015899
1658620800,2022-07-24 00:00:00,UMB/USDT,0.0182,0.0197,0.0179,0.0185,674952.7208,12491.48852043
1658534400,2022-07-23 00:00:00,UMB/USDT,0.0183,0.0189,0.0176,0.0182,384200.0118,7019.66162851
1658448000,2022-07-22 00:00:00,UMB/USDT,0.0218,0.0223,0.0171,0.0183,3653090.1926,68519.33909996
1658361600,2022-07-21 00:00:00,UMB/USDT,0.0218,0.0222,0.02,0.0217,1110967.5695,23388.43727423
1658275200,2022-07-20 00:00:00,UMB/USDT,0.0231,0.0241,0.0213,0.0218,844723.11759988,19246.317761358868
1658188800,2022-07-19 00:00:00,UMB/USDT,0.0215,0.0247,0.0208,0.0232,1222351.54051228,27349.198345326987
1658102400,2022-07-18 00:00:00,UMB/USDT,0.0189,0.0226,0.0186,0.0215,898208.38179272,18694.039154516027
1658016000,2022-07-17 00:00:00,UMB/USDT,0.0195,0.021,0.0188,0.0189,609167.48347712,12127.329808591448
1657929600,2022-07-16 00:00:00,UMB/USDT,0.0191,0.0198,0.0174,0.0198,521662.87281145,9687.690406598051
1657843200,2022-07-15 00:00:00,UMB/USDT,0.0189,0.0204,0.0175,0.0189,1981450.34809027,37692.291559948216
1657756800,2022-07-14 00:00:00,UMB/USDT,0.0167,0.0217,0.0166,0.0186,2436351.02268285,44590.230690283804
1657670400,2022-07-13 00:00:00,UMB/USDT,0.0165,0.0172,0.0161,0.0167,314532.10548961,5238.895582629111
1657584000,2022-07-12 00:00:00,UMB/USDT,0.017,0.0177,0.0161,0.0163,483863.06202967,8141.128440621985
1657497600,2022-07-11 00:00:00,UMB/USDT,0.0177,0.018,0.0164,0.017,732472.22540691,12572.168974962712
1657411200,2022-07-10 00:00:00,UMB/USDT,0.0186,0.0189,0.0175,0.018,273282.82046375,4955.65952280961
1657324800,2022-07-09 00:00:00,UMB/USDT,0.0182,0.019,0.0175,0.0186,373479.94100005,6772.705945718288
1657238400,2022-07-08 00:00:00,UMB/USDT,0.0195,0.0195,0.0176,0.0186,960659.26418414,17613.040974127551
1657152000,2022-07-07 00:00:00,UMB/USDT,0.0185,0.0215,0.0176,0.0199,1491282.71347227,29042.068510389216
1657065600,2022-07-06 00:00:00,UMB/USDT,0.0185,0.0212,0.0179,0.0187,463519.30573782,8848.008797238516
1656979200,2022-07-05 00:00:00,UMB/USDT,0.0183,0.0188,0.017,0.0185,775472.66153796,14115.326052217809
1656892800,2022-07-04 00:00:00,UMB/USDT,0.0167,0.0214,0.0164,0.0184,1379929.38328421,25124.669893181789
1656806400,2022-07-03 00:00:00,UMB/USDT,0.0165,0.017,0.0161,0.0167,320429.77866754,5271.262522947016
1656720000,2022-07-02 00:00:00,UMB/USDT,0.0167,0.0174,0.016,0.0166,753938.16956189,12576.189186342668
1656633600,2022-07-01 00:00:00,UMB/USDT,0.0189,0.0194,0.015,0.0168,1908755.46338117,32655.608841948977
1656547200,2022-06-30 00:00:00,UMB/USDT,0.0193,0.0197,0.0177,0.0189,1172993.47291363,21711.0624735649
1656460800,2022-06-29 00:00:00,UMB/USDT,0.0196,0.0219,0.0184,0.0196,4125950.15800929,82888.54356273478
1656374400,2022-06-28 00:00:00,UMB/USDT,0.0201,0.0204,0.0191,0.0195,242095.7013985,4777.147127057588
1656288000,2022-06-27 00:00:00,UMB/USDT,0.0205,0.0213,0.0191,0.0202,1215949.64109078,24899.213645258347
1656201600,2022-06-26 00:00:00,UMB/USDT,0.0212,0.022,0.0203,0.0205,442631.11490933,9406.136945378168
1656115200,2022-06-25 00:00:00,UMB/USDT,0.0203,0.0211,0.0196,0.0211,571264.42230249,11484.588552003458
1656028800,2022-06-24 00:00:00,UMB/USDT,0.0203,0.0214,0.0193,0.0203,1243355.97433466,25178.809999034566
1655942400,2022-06-23 00:00:00,UMB/USDT,0.0186,0.0222,0.0181,0.0203,1760437.8237827,35738.582860879
1655856000,2022-06-22 00:00:00,UMB/USDT,0.0205,0.0208,0.0181,0.0186,5166224.43995026,98448.592508858797
1655769600,2022-06-21 00:00:00,UMB/USDT,0.0208,0.0221,0.0196,0.0205,2770757.75873498,58426.440973578493
1655683200,2022-06-20 00:00:00,UMB/USDT,0.021,0.03,0.0191,0.0209,5074584.25774928,109284.163735181487
1655596800,2022-06-19 00:00:00,UMB/USDT,0.0192,0.0216,0.0184,0.021,739832.57974969,14756.226301137367
1655510400,2022-06-18 00:00:00,UMB/USDT,0.0196,0.0205,0.018,0.0191,1844457.31760908,35044.358406104066
1655424000,2022-06-17 00:00:00,UMB/USDT,0.0189,0.0263,0.0188,0.0196,4339502.80922222,92303.509977647824
1655337600,2022-06-16 00:00:00,UMB/USDT,0.0212,0.0218,0.0189,0.0189,745389.18110401,14907.968897288787
1655251200,2022-06-15 00:00:00,UMB/USDT,0.0213,0.0246,0.0176,0.0211,1502431.47076667,29905.278408070849
1655164800,2022-06-14 00:00:00,UMB/USDT,0.0206,0.0216,0.0201,0.0213,787829.24693001,16435.259036611979
1655078400,2022-06-13 00:00:00,UMB/USDT,0.0247,0.0249,0.02,0.0204,2163877.29943553,47077.654880385028
1654992000,2022-06-12 00:00:00,UMB/USDT,0.025,0.0255,0.0235,0.0246,1036952.6353381,25392.144671577794
1654905600,2022-06-11 00:00:00,UMB/USDT,0.0274,0.0286,0.0228,0.025,2173874.21213633,53946.891001425295
1654819200,2022-06-10 00:00:00,UMB/USDT,0.0302,0.0303,0.0266,0.0274,828510.15308714,23451.651122646898
1654732800,2022-06-09 00:00:00,UMB/USDT,0.0277,0.0322,0.0273,0.03,1274981.68163852,36942.048910384854
1654646400,2022-06-08 00:00:00,UMB/USDT,0.028,0.03,0.0266,0.0278,1923266.13545012,53998.305728379782
1654560000,2022-06-07 00:00:00,UMB/USDT,0.0269,0.0449,0.0254,0.0277,12918366.48341906,432469.253430399512
1654473600,2022-06-06 00:00:00,UMB/USDT,0.0262,0.0286,0.0256,0.0266,1046372.98094178,28349.89538582451
1654387200,2022-06-05 00:00:00,UMB/USDT,0.0255,0.027,0.0254,0.0265,502465.54469888,13069.029140127482
1654300800,2022-06-04 00:00:00,UMB/USDT,0.0264,0.028,0.0245,0.0255,1674078.26120812,43406.745237940503
1654214400,2022-06-03 00:00:00,UMB/USDT,0.0258,0.034,0.0244,0.0265,2245197.12441707,62141.522050474059
1654128000,2022-06-02 00:00:00,UMB/USDT,0.0253,0.026,0.0242,0.0257,458327.15406199,11436.456237898382
1654041600,2022-06-01 00:00:00,UMB/USDT,0.0266,0.0344,0.0234,0.0253,1830023.89623573,49008.275454598563
1653955200,2022-05-31 00:00:00,UMB/USDT,0.0268,0.0286,0.0251,0.027,911818.08523517,24390.703869247655
1653868800,2022-05-30 00:00:00,UMB/USDT,0.0257,0.029,0.024,0.027,963984.37299041,25209.137579758763
1653782400,2022-05-29 00:00:00,UMB/USDT,0.0239,0.0268,0.0228,0.0257,837916.43042604,20470.428396824789
1653696000,2022-05-28 00:00:00,UMB/USDT,0.0252,0.0275,0.0231,0.0242,2008735.93612061,50030.209207734304
1653609600,2022-05-27 00:00:00,UMB/USDT,0.0285,0.0288,0.0233,0.0257,1593197.80320325,40567.45664285925
1653523200,2022-05-26 00:00:00,UMB/USDT,0.0291,0.03,0.0278,0.0286,354202.1349477,10154.354817801599
1653436800,2022-05-25 00:00:00,UMB/USDT,0.0302,0.0311,0.0281,0.0291,241986.5295282,7041.045357677473
1653350400,2022-05-24 00:00:00,UMB/USDT,0.0304,0.0317,0.0275,0.0303,995652.15786619,29283.185169607071
1653264000,2022-05-23 00:00:00,UMB/USDT,0.0299,0.0347,0.0276,0.0304,2697503.84876975,83589.428732004494
1653177600,2022-05-22 00:00:00,UMB/USDT,0.0314,0.0318,0.0277,0.03,891273.27362693,26285.008550595041
1653091200,2022-05-21 00:00:00,UMB/USDT,0.0295,0.0318,0.0278,0.0315,1031520.57130168,30532.707245187116
1653004800,2022-05-20 00:00:00,UMB/USDT,0.0312,0.032,0.0271,0.0293,1775416.54608134,51335.387116240328
1652918400,2022-05-19 00:00:00,UMB/USDT,0.0287,0.0388,0.0269,0.0313,2108508.93646997,62735.054790107479
1652832000,2022-05-18 00:00:00,UMB/USDT,0.0323,0.0328,0.0264,0.0287,975552.13826232,28670.465245430502
1652745600,2022-05-17 00:00:00,UMB/USDT,0.0341,0.0398,0.0307,0.0323,1604425.29117946,54609.699625603007
1652659200,2022-05-16 00:00:00,UMB/USDT,0.0375,0.0394,0.0316,0.034,964288.42757577,34101.334315195942
1652572800,2022-05-15 00:00:00,UMB/USDT,0.0339,0.04,0.0332,0.0374,1165974.15762953,41357.450402630281
1652486400,2022-05-14 00:00:00,UMB/USDT,0.032,0.035,0.0286,0.035,1433575.15201952,45229.306758942119
1652400000,2022-05-13 00:00:00,UMB/USDT,0.0265,0.0343,0.026,0.0321,2062702.85205733,63364.020508306458
1652313600,2022-05-12 00:00:00,UMB/USDT,0.031,0.0329,0.0242,0.0263,3816767.29252128,106778.236916192034
1652227200,2022-05-11 00:00:00,UMB/USDT,0.0444,0.0456,0.0284,0.0313,4046876.02461541,150841.71858428246
1652140800,2022-05-10 00:00:00,UMB/USDT,0.0508,0.0565,0.0441,0.0448,2621276.35195955,132037.686601978751
1652054400,2022-05-09 00:00:00,UMB/USDT,0.0619,0.0625,0.0468,0.0514,2296389.64550767,120272.953990005017
1651968000,2022-05-08 00:00:00,UMB/USDT,0.063,0.0636,0.061,0.0624,517312.0422691,32132.593967333275
1651881600,2022-05-07 00:00:00,UMB/USDT,0.0633,0.064,0.0626,0.0631,293700.53596327,18637.159179276549
1651795200,2022-05-06 00:00:00,UMB/USDT,0.0657,0.0662,0.0631,0.0637,516890.52420407,33458.500821153842
1651708800,2022-05-05 00:00:00,UMB/USDT,0.0721,0.0733,0.0651,0.0655,1042913.99183456,71927.538365966355
1651622400,2022-05-04 00:00:00,UMB/USDT,0.0705,0.0721,0.0698,0.0716,472783.35523455,33564.980621270388
1651536000,2022-05-03 00:00:00,UMB/USDT,0.0685,0.0748,0.0673,0.0705,369412.89980112,26247.054535775783
1651449600,2022-05-02 00:00:00,UMB/USDT,0.0692,0.072,0.0638,0.0687,588573.43096646,41107.773886725256
1651363200,2022-05-01 00:00:00,UMB/USDT,0.072,0.0722,0.0668,0.0688,881001.60526548,60398.90705403043
1651276800,2022-04-30 00:00:00,UMB/USDT,0.0769,0.078,0.0713,0.0722,745700.35620263,55074.139531576322
1651190400,2022-04-29 00:00:00,UMB/USDT,0.0809,0.0817,0.0769,0.0774,364684.08849833,28789.218561094378
1651104000,2022-04-28 00:00:00,UMB/USDT,0.0789,0.0839,0.0786,0.0809,444315.54034885,36362.376237474111
1651017600,2022-04-27 00:00:00,UMB/USDT,0.0797,0.0813,0.0776,0.0788,703668.75015087,55903.007770133832
1650931200,2022-04-26 00:00:00,UMB/USDT,0.0806,0.0872,0.0786,0.0794,881950.50220714,73192.058424461641
1650844800,2022-04-25 00:00:00,UMB/USDT,0.085,0.085,0.0776,0.0806,829191.74181387,66265.098344969512
