https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB3L,Volume USDT
1663459200,2022-09-18 00:00:00,BNB3L/USDT,0.236,0.236,0.232,0.232,565.7577,132.1183475
1663372800,2022-09-17 00:00:00,BNB3L/USDT,0.2251,0.2385,0.2251,0.2362,54674.2485,12743.01425391
1663286400,2022-09-16 00:00:00,BNB3L/USDT,0.2172,0.2308,0.2116,0.225,42274.7594,9429.64003256
1663200000,2022-09-15 00:00:00,BNB3L/USDT,0.2394,0.2414,0.2077,0.2167,90643.5018,20287.45020847
1663113600,2022-09-14 00:00:00,BNB3L/USDT,0.2328,0.2473,0.2251,0.2382,118789.4714,28302.729626597183
1663027200,2022-09-13 00:00:00,BNB3L/USDT,0.2792,0.2938,0.2294,0.2333,196841.84514019,50668.548433149586
1662940800,2022-09-12 00:00:00,BNB3L/USDT,0.2861,0.2983,0.2731,0.2803,123502.22201718,35342.082158661844
1662854400,2022-09-11 00:00:00,BNB3L/USDT,0.2913,0.2935,0.2716,0.286,124476.6387,35226.14011586
1662768000,2022-09-10 00:00:00,BNB3L/USDT,0.2791,0.2949,0.2733,0.2913,76064.74500068,21496.193630826456
1662681600,2022-09-09 00:00:00,BNB3L/USDT,0.2505,0.2876,0.2469,0.2803,168716.4762,45342.92689349
1662595200,2022-09-08 00:00:00,BNB3L/USDT,0.2442,0.2551,0.2355,0.2509,193116.7298,47564.89759445
1662508800,2022-09-07 00:00:00,BNB3L/USDT,0.2058,0.2456,0.1942,0.2415,186701.7124,40824.81002823
1662422400,2022-09-06 00:00:00,BNB3L/USDT,0.2428,0.2669,0.2008,0.2043,419619.6957,98845.79583576
1662336000,2022-09-05 00:00:00,BNB3L/USDT,0.2479,0.255,0.2338,0.2414,70026.1014,16940.88102298
1662249600,2022-09-04 00:00:00,BNB3L/USDT,0.2456,0.2521,0.2393,0.2494,91851.8589,22599.81111111
1662163200,2022-09-03 00:00:00,BNB3L/USDT,0.2411,0.2461,0.2369,0.2455,65340.885,15829.23079664
1662076800,2022-09-02 00:00:00,BNB3L/USDT,0.2437,0.263,0.2347,0.2408,244112.7902,60577.06167572
1661990400,2022-09-01 00:00:00,BNB3L/USDT,0.2498,0.2596,0.223,0.2461,353520.6308,85275.36065261
1661904000,2022-08-31 00:00:00,BNB3L/USDT,0.2553,0.2778,0.2444,0.2506,197201.21080756,50557.793015291824
1661817600,2022-08-30 00:00:00,BNB3L/USDT,0.2649,0.283,0.2388,0.2531,244738.91008165,64513.145526535433
