https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LYXE,Volume USDT
1663459200,2022-09-18 00:00:00,LYXE/USDT,4.86764,4.87717,4.81973,4.81994,74.2151,360.828531862
1663372800,2022-09-17 00:00:00,LYXE/USDT,4.68761,4.9119,4.63452,4.86171,11401.3136,53975.561355368
1663286400,2022-09-16 00:00:00,LYXE/USDT,4.74186,4.8153,4.61,4.68761,24463.3519,115319.945621995
1663200000,2022-09-15 00:00:00,LYXE/USDT,5.01211,5.07458,4.69153,4.71847,26043.48963344,127207.8211684742
1663113600,2022-09-14 00:00:00,LYXE/USDT,4.88002,5.06088,4.88,5.01201,23783.0285,117640.450246155
1663027200,2022-09-13 00:00:00,LYXE/USDT,5.62108,5.64839,4.8,4.92369,68967.3824,353710.027173342
1662940800,2022-09-12 00:00:00,LYXE/USDT,5.55811,5.8,5.4227,5.62129,25463.5061,142009.882247183
1662854400,2022-09-11 00:00:00,LYXE/USDT,5.29656,5.71834,5.25531,5.60066,35432.9739,195520.366537273
1662768000,2022-09-10 00:00:00,LYXE/USDT,5.01921,5.5,4.8466,5.28929,46741.0608,239235.253306124
1662681600,2022-09-09 00:00:00,LYXE/USDT,4.84537,5.07998,4.64101,4.98511,50222.9295,247196.298290345
1662595200,2022-09-08 00:00:00,LYXE/USDT,4.8449,4.97493,4.62799,4.82613,48146.8551,231852.93068453
1662508800,2022-09-07 00:00:00,LYXE/USDT,4.97977,4.97977,4.53491,4.845,54705.5579,258364.026063552
1662422400,2022-09-06 00:00:00,LYXE/USDT,5.23625,5.39,4.84,4.99778,28905.8069,147849.30077049
1662336000,2022-09-05 00:00:00,LYXE/USDT,5.22892,5.2559,5.0741,5.243,16329.7473,84313.561386423
1662249600,2022-09-04 00:00:00,LYXE/USDT,5.22859,5.2899,5.0601,5.22892,23430.5522,121655.87179044
1662163200,2022-09-03 00:00:00,LYXE/USDT,5.289,5.30949,5.1425,5.22292,7002.5435,36674.312679803
1662076800,2022-09-02 00:00:00,LYXE/USDT,5.22678,5.3526,5.0723,5.289,22913.1445,119677.695575601
1661990400,2022-09-01 00:00:00,LYXE/USDT,5.09499,5.37,5.055,5.26589,22602.6154,116770.022549581
1661904000,2022-08-31 00:00:00,LYXE/USDT,5.11713,5.32999,4.99623,5.09499,55060.6105,281881.234939161
1661817600,2022-08-30 00:00:00,LYXE/USDT,5.19,5.4,4.99622,5.0768,44565.4229,232591.436368993
1661731200,2022-08-29 00:00:00,LYXE/USDT,5.05161,5.3393,5.045,5.19648,19991.7772,103925.593683566
1661644800,2022-08-28 00:00:00,LYXE/USDT,5.04,5.4099,4.97481,5.10047,30165.3707,154870.99471766
1661558400,2022-08-27 00:00:00,LYXE/USDT,5.0455,5.1829,4.92,5.04,22588.48892776,114241.4435958026856
1661472000,2022-08-26 00:00:00,LYXE/USDT,5.7,5.9,5.04477,5.06,58579.1364,319282.1971592
1661385600,2022-08-25 00:00:00,LYXE/USDT,5.74469,5.9998,5.64988,5.7,19651.8962,114338.824723066
1661299200,2022-08-24 00:00:00,LYXE/USDT,5.449,6.03019,5.2514,5.68441,42811.5477,243028.43742283
1661212800,2022-08-23 00:00:00,LYXE/USDT,5.3051,5.46319,5.10073,5.44899,43758.7777,232483.273534853
