https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WNCG,Volume USDT
1663459200,2022-09-18 00:00:00,WNCG/USDT,0.103,0.103,0.1027,0.1027,34.8507,3.58298088
1663372800,2022-09-17 00:00:00,WNCG/USDT,0.0999,0.106,0.099,0.1038,43131.1796,4402.0800201
1663286400,2022-09-16 00:00:00,WNCG/USDT,0.098,0.1031,0.0979,0.0995,14788.9445,1483.65196499
1663200000,2022-09-15 00:00:00,WNCG/USDT,0.1005,0.1067,0.098,0.0983,103110.8138,10329.44482785
1663113600,2022-09-14 00:00:00,WNCG/USDT,0.1,0.1032,0.0987,0.0997,22490.9882,2265.55890493
1663027200,2022-09-13 00:00:00,WNCG/USDT,0.106,0.1088,0.0987,0.1007,85934.8644,8848.81852493
1662940800,2022-09-12 00:00:00,WNCG/USDT,0.109,0.1121,0.106,0.1065,51991.6976,5616.33920874
1662854400,2022-09-11 00:00:00,WNCG/USDT,0.1089,0.1119,0.1035,0.1095,61441.3109,6552.56171913
1662768000,2022-09-10 00:00:00,WNCG/USDT,0.106,0.1093,0.1024,0.1093,45790.6554,4807.91997318
1662681600,2022-09-09 00:00:00,WNCG/USDT,0.098,0.1069,0.0972,0.1061,150977.4968,15487.4517155
1662595200,2022-09-08 00:00:00,WNCG/USDT,0.103,0.1032,0.0953,0.098,76130.2312,7506.32652828
1662508800,2022-09-07 00:00:00,WNCG/USDT,0.097,0.1145,0.093,0.1023,444678.8703,47223.14400294
1662422400,2022-09-06 00:00:00,WNCG/USDT,0.1015,0.1029,0.096,0.0975,118205.5685,11735.56529744
1662336000,2022-09-05 00:00:00,WNCG/USDT,0.098,0.1017,0.0961,0.1006,36301.4489,3553.68688599
1662249600,2022-09-04 00:00:00,WNCG/USDT,0.099,0.1021,0.0959,0.0984,48145.5245,4769.35947087
1662163200,2022-09-03 00:00:00,WNCG/USDT,0.1,0.1037,0.0956,0.099,86736.2516,8678.1356013
1662076800,2022-09-02 00:00:00,WNCG/USDT,0.0975,0.1029,0.0969,0.0995,124520.9101,12478.51495815
1661990400,2022-09-01 00:00:00,WNCG/USDT,0.0955,0.1001,0.0921,0.0966,78729.3233,7603.00545604
1661904000,2022-08-31 00:00:00,WNCG/USDT,0.102,0.1025,0.0925,0.0955,116789.3057,11439.46940126
1661817600,2022-08-30 00:00:00,WNCG/USDT,0.1,0.1072,0.0923,0.1015,285594.8939,28381.40707549
1661731200,2022-08-29 00:00:00,WNCG/USDT,0.0955,0.1028,0.0948,0.1,57220.2976,5661.82261125
1661644800,2022-08-28 00:00:00,WNCG/USDT,0.0939,0.0999,0.0927,0.0949,150156.7726,14469.25834822
1661558400,2022-08-27 00:00:00,WNCG/USDT,0.0978,0.1044,0.0894,0.0931,455077.1151,42805.389412
1661472000,2022-08-26 00:00:00,WNCG/USDT,0.1046,0.1061,0.0976,0.0976,303619.8312,30514.02354195
1661385600,2022-08-25 00:00:00,WNCG/USDT,0.1032,0.1075,0.1021,0.1047,302104.6403,31599.87565672
1661299200,2022-08-24 00:00:00,WNCG/USDT,0.1074,0.108,0.1009,0.1025,144493.8263,14998.89468273
1661212800,2022-08-23 00:00:00,WNCG/USDT,0.106,0.1102,0.1006,0.1083,242273.2539,25876.62228275
1661126400,2022-08-22 00:00:00,WNCG/USDT,0.1004,0.1086,0.098,0.1056,500388.6844,51171.38735898
1661040000,2022-08-21 00:00:00,WNCG/USDT,0.1036,0.1111,0.0983,0.1013,1195586.6395,125819.8504317
1660953600,2022-08-20 00:00:00,WNCG/USDT,0.0983,0.115,0.0934,0.1038,544138.5268,55247.64059052
1660867200,2022-08-19 00:00:00,WNCG/USDT,0.1072,0.1082,0.098,0.098,71716.2016,7397.7845989
1660780800,2022-08-18 00:00:00,WNCG/USDT,0.107,0.1175,0.1038,0.1074,521110.7929,58235.54343838
1660694400,2022-08-17 00:00:00,WNCG/USDT,0.1224,0.1267,0.1019,0.1063,297652.6348,33419.32476839
