https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume GNY
1663545600000,2022-09-19 00:00:00,GNY/BTC,7.1e-07,7.1e-07,7.1e-07,7.1e-07,0.0919521,129510.0
1663459200000,2022-09-18 00:00:00,GNY/BTC,7.4e-07,7.7e-07,6.6e-07,7.1e-07,2.0436407022538723,2878367.18627306
1663372800000,2022-09-17 00:00:00,GNY/BTC,6.8e-07,7.5e-07,6.6e-07,7.3e-07,2.2064632933126926,3022552.45659273
1663286400000,2022-09-16 00:00:00,GNY/BTC,7.2e-07,7.4e-07,6.8e-07,6.9e-07,2.07765969,3011101.0
1663200000000,2022-09-15 00:00:00,GNY/BTC,7.7e-07,7.9e-07,6.4e-07,7.2e-07,1.6513465283263369,2293536.84489769
1663113600000,2022-09-14 00:00:00,GNY/BTC,6.2e-07,7.9e-07,6.2e-07,7.7e-07,0.8280593045320827,1075401.69419751
1663027200000,2022-09-13 00:00:00,GNY/BTC,6.3e-07,6.4e-07,5.9e-07,6.2e-07,1.50253598296419,2423445.13381321
1662940800000,2022-09-12 00:00:00,GNY/BTC,6.4e-07,6.6e-07,6.2e-07,6.3e-07,1.7698840630800083,2809339.78266668
1662854400000,2022-09-11 00:00:00,GNY/BTC,6.6e-07,6.7e-07,6e-07,6.4e-07,1.899095892636749,2967337.33224492
1662768000000,2022-09-10 00:00:00,GNY/BTC,6.5e-07,6.8e-07,6.3e-07,6.4e-07,1.8783037513640255,2934849.61150629
1662681600000,2022-09-09 00:00:00,GNY/BTC,6.3e-07,6.8e-07,6.2e-07,6.5e-07,1.927126016037261,2964809.25544194
1662595200000,2022-09-08 00:00:00,GNY/BTC,6.3e-07,6.4e-07,6e-07,6.2e-07,1.89170866,3051143
1662508800000,2022-09-07 00:00:00,GNY/BTC,6.8e-07,6.9e-07,6e-07,6.2e-07,1.9037762072446576,3070606.78587848
1662422400000,2022-09-06 00:00:00,GNY/BTC,6.8e-07,7e-07,6.2e-07,6.9e-07,2.0581208034030922,2982783.77304796
1662336000000,2022-09-05 00:00:00,GNY/BTC,7.1e-07,7.1e-07,6.5e-07,6.9e-07,1.00438539,1455631
1662249600000,2022-09-04 00:00:00,GNY/BTC,6.8e-07,7.2e-07,6.8e-07,7.2e-07,1.0621579246848,1475219.33984
1662163200000,2022-09-03 00:00:00,GNY/BTC,6.2e-07,7e-07,6.1e-07,6.9e-07,1.729719828491209,2506840.33114668
1662076800000,2022-09-02 00:00:00,GNY/BTC,7e-07,7e-07,5.4e-07,6.1e-07,1.7330782085034495,2841111.81721877
1661990400000,2022-09-01 00:00:00,GNY/BTC,6.8e-07,7.1e-07,6.8e-07,7e-07,1.224078561357638,1748683.65908234
1661904000000,2022-08-31 00:00:00,GNY/BTC,6.9e-07,7.2e-07,6.8e-07,6.9e-07,1.354264221845093,1962701.77078999
1661817600000,2022-08-30 00:00:00,GNY/BTC,7.6e-07,7.9e-07,6.6e-07,7e-07,1.887423235366571,2696318.90766653
1661731200000,2022-08-29 00:00:00,GNY/BTC,7.8e-07,8e-07,6.5e-07,7.6e-07,2.266963836350528,2982847.1530928
1661644800000,2022-08-28 00:00:00,GNY/BTC,6.5e-07,8.3e-07,6.5e-07,7.8e-07,2.290893714614778,2937043.2238651
1661558400000,2022-08-27 00:00:00,GNY/BTC,6.3e-07,7.1e-07,4.9e-07,6.6e-07,1.9902329764356073,3015504.50975092
1661472000000,2022-08-26 00:00:00,GNY/BTC,6.3e-07,6.4e-07,6.2e-07,6.3e-07,1.8827905971740229,2988556.50345083
1661385600000,2022-08-25 00:00:00,GNY/BTC,6.3e-07,6.4e-07,6.2e-07,6.3e-07,1.7729893667182222,2814268.83606067
1661299200000,2022-08-24 00:00:00,GNY/BTC,6.4e-07,6.5e-07,6.2e-07,6.4e-07,1.890853032156128,2954457.86274395
1661212800000,2022-08-23 00:00:00,GNY/BTC,6.2e-07,6.9e-07,6e-07,6.4e-07,1.9065108596316929,2978923.21817452
1661040000000,2022-08-21 00:00:00,GNY/BTC,6.9e-07,7.2e-07,6.8e-07,7.1e-07,2.0318656243055524,2861782.56944444
1660953600000,2022-08-20 00:00:00,GNY/BTC,6.7e-07,7.2e-07,6.7e-07,7e-07,0.317640493725436,453772.13389348
1660867200000,2022-08-19 00:00:00,GNY/BTC,6.5e-07,6.7e-07,6.4e-07,6.6e-07,0.9657533732075592,1463262.68667812
1660780800000,2022-08-18 00:00:00,GNY/BTC,6.8e-07,6.9e-07,6.3e-07,6.5e-07,1.954082093925,3006280.1445
1660694400000,2022-08-17 00:00:00,GNY/BTC,7.3e-07,7.5e-07,6.1e-07,6.8e-07,2.0476976689493207,3011320.10139606
1660608000000,2022-08-16 00:00:00,GNY/BTC,6.5e-07,7.4e-07,6.5e-07,7.2e-07,2.1791945864796336,3026659.14788838
1660521600000,2022-08-15 00:00:00,GNY/BTC,6.8e-07,6.9e-07,6.4e-07,6.6e-07,2.0094752557468643,3044659.47840434
1660435200000,2022-08-14 00:00:00,GNY/BTC,6.9e-07,7.5e-07,5.9e-07,6.7e-07,1.8739195165808031,2796894.80086687
1660348800000,2022-08-13 00:00:00,GNY/BTC,7.1e-07,7.5e-07,6.4e-07,6.9e-07,1.9979553465995445,2895587.45883992
1660262400000,2022-08-12 00:00:00,GNY/BTC,7.5e-07,8.5e-07,6.3e-07,7e-07,2.0757598988867088,2965371.28412387
1660176000000,2022-08-11 00:00:00,GNY/BTC,8.3e-07,8.8e-07,4.8e-07,7.8e-07,2.1891455756429457,2806596.89184993
1660089600000,2022-08-10 00:00:00,GNY/BTC,8.7e-07,9.8e-07,7.2e-07,8.4e-07,2.1630333863111315,2575039.74560849
1660003200000,2022-08-09 00:00:00,GNY/BTC,6.4e-07,6.6e-07,6.3e-07,6.4e-07,0.0864288,135045.0
