https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RLY,Volume USDT
1663459200,2022-09-18 00:00:00,RLY/USDT,0.02592,0.0263,0.02592,0.02607,4686.3045,121.813845997
1663372800,2022-09-17 00:00:00,RLY/USDT,0.02582,0.0265,0.02535,0.02623,878208.485,22705.418029134
1663286400,2022-09-16 00:00:00,RLY/USDT,0.0248,0.02668,0.02466,0.02558,1742329.5917,45021.323359505
1663200000,2022-09-15 00:00:00,RLY/USDT,0.02752,0.02795,0.02445,0.02486,1050853.9131,27207.543119001
1663113600,2022-09-14 00:00:00,RLY/USDT,0.02764,0.02907,0.0268,0.02745,361712.4512,10065.540292904
1663027200,2022-09-13 00:00:00,RLY/USDT,0.02963,0.0301,0.02708,0.02778,415422.9306,11955.430888628
1662940800,2022-09-12 00:00:00,RLY/USDT,0.03075,0.03129,0.0295,0.02998,271149.7974,8202.379961417
1662854400,2022-09-11 00:00:00,RLY/USDT,0.03102,0.03126,0.03011,0.03061,243428.9665,7482.6610306
1662768000,2022-09-10 00:00:00,RLY/USDT,0.03118,0.0317,0.03008,0.03128,475375.859,14763.920117591
1662681600,2022-09-09 00:00:00,RLY/USDT,0.03009,0.03242,0.03002,0.03138,482511.8392,15019.526348317
1662595200,2022-09-08 00:00:00,RLY/USDT,0.03253,0.03264,0.02978,0.02978,1227460.0844,38270.517749197
1662508800,2022-09-07 00:00:00,RLY/USDT,0.0295,0.0333,0.02923,0.03257,2347321.8627,72792.038563416
1662422400,2022-09-06 00:00:00,RLY/USDT,0.02992,0.03114,0.02877,0.02948,1042657.0021,31470.073186415
1662336000,2022-09-05 00:00:00,RLY/USDT,0.02977,0.03066,0.02889,0.02984,461976.4807,13782.196052682
1662249600,2022-09-04 00:00:00,RLY/USDT,0.02999,0.0302,0.02946,0.02977,656480.1567,19582.987389445
1662163200,2022-09-03 00:00:00,RLY/USDT,0.02992,0.03029,0.02914,0.02987,363642.0775,10842.24946088
1662076800,2022-09-02 00:00:00,RLY/USDT,0.03061,0.03154,0.0295,0.02997,942818.5405,28673.469581719
1661990400,2022-09-01 00:00:00,RLY/USDT,0.03136,0.0324,0.03027,0.03069,683181.3074,21259.960624227
1661904000,2022-08-31 00:00:00,RLY/USDT,0.03018,0.03659,0.02941,0.0312,2506598.1134,82426.525248023
1661817600,2022-08-30 00:00:00,RLY/USDT,0.03244,0.0346,0.02909,0.03013,1741818.2482,53355.369739601
1661731200,2022-08-29 00:00:00,RLY/USDT,0.0312,0.03246,0.03033,0.03246,445519.0342,13939.884706439
1661644800,2022-08-28 00:00:00,RLY/USDT,0.03235,0.0324,0.0308,0.0312,675087.9408,21351.671710735
1661558400,2022-08-27 00:00:00,RLY/USDT,0.032,0.03268,0.03155,0.03237,334078.4086,10716.588609267
1661472000,2022-08-26 00:00:00,RLY/USDT,0.03469,0.0352,0.032,0.03201,903552.1958,30902.387275067
1661385600,2022-08-25 00:00:00,RLY/USDT,0.03539,0.03649,0.0344,0.03468,535784.8768,18830.894930063
1661299200,2022-08-24 00:00:00,RLY/USDT,0.03554,0.0362,0.03429,0.03556,639796.4221,22424.588713071
1661212800,2022-08-23 00:00:00,RLY/USDT,0.03593,0.03632,0.03461,0.03546,937394.1239,33236.782604931
1661126400,2022-08-22 00:00:00,RLY/USDT,0.03736,0.0377,0.03452,0.03581,1048487.8168,37462.876230791
1661040000,2022-08-21 00:00:00,RLY/USDT,0.03493,0.03889,0.03484,0.03753,1677425.0315,62029.376989362
1660953600,2022-08-20 00:00:00,RLY/USDT,0.03432,0.03627,0.03391,0.03509,733047.7508,25522.887486919
1660867200,2022-08-19 00:00:00,RLY/USDT,0.03866,0.03866,0.03418,0.03438,817554.9421,28881.307698097
1660780800,2022-08-18 00:00:00,RLY/USDT,0.03987,0.0408,0.03866,0.03866,668203.0412,26648.03427469
1660694400,2022-08-17 00:00:00,RLY/USDT,0.04122,0.04205,0.03986,0.04013,793218.2152,32491.797082368
1660608000,2022-08-16 00:00:00,RLY/USDT,0.04192,0.04201,0.0405,0.04139,863667.016,35659.190373705
1660521600,2022-08-15 00:00:00,RLY/USDT,0.04307,0.04425,0.04143,0.04183,668252.5324,28208.659876481
1660435200,2022-08-14 00:00:00,RLY/USDT,0.04321,0.04444,0.04235,0.04288,396747.6197,17284.840539146
1660348800,2022-08-13 00:00:00,RLY/USDT,0.0436,0.0449,0.04287,0.04316,1086023.39,47766.92277583
1660262400,2022-08-12 00:00:00,RLY/USDT,0.04218,0.0445,0.04208,0.0436,758415.9419,32391.897154749
1660176000,2022-08-11 00:00:00,RLY/USDT,0.04336,0.0456,0.042,0.04209,552411.3702,23846.607272372
1660089600,2022-08-10 00:00:00,RLY/USDT,0.04128,0.04564,0.04042,0.04344,693022.7973,29304.282800319
1660003200,2022-08-09 00:00:00,RLY/USDT,0.0429,0.0438,0.0409,0.04137,1768039.9615,74688.593998796
1659916800,2022-08-08 00:00:00,RLY/USDT,0.04354,0.04469,0.04276,0.04291,1364000.6037,59717.28414734
1659830400,2022-08-07 00:00:00,RLY/USDT,0.04314,0.04412,0.04254,0.04344,1046386.7295,45086.64735483
1659744000,2022-08-06 00:00:00,RLY/USDT,0.04331,0.04399,0.04269,0.04314,1493471.5793,64493.436865398
1659657600,2022-08-05 00:00:00,RLY/USDT,0.04174,0.04523,0.04174,0.04331,2412146.898,104492.550460567
1659571200,2022-08-04 00:00:00,RLY/USDT,0.0424,0.04342,0.04146,0.04161,1121016.1968,47589.074692038
