https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume BTC
1663549200000,2022-09-19 01:00:00,BTC/GBP,17033.77,17113.27,17025.71,17109.75,6801.125625000001,0.3975
1663545600000,2022-09-19 00:00:00,BTC/GBP,17049.67,17117.72,17013.34,17084.27,29272.188218000003,1.7134
1663542000000,2022-09-18 23:00:00,BTC/GBP,17026.7,17111.56,17008.52,17045.14,29735.24673,1.7445
1663538400000,2022-09-18 22:00:00,BTC/GBP,17063.19,17105.79,17014.95,17056.34,30097.042594778603,1.76456629
1663534800000,2022-09-18 21:00:00,BTC/GBP,17270.11,17317.66,17033.07,17049.91,28420.8523451136,1.66692096
1663531200000,2022-09-18 20:00:00,BTC/GBP,17252.66,17360.93,17211.64,17303.72,29205.218616000002,1.6878
1663527600000,2022-09-18 19:00:00,BTC/GBP,17166.37,17331.48,17140.95,17278.27,27665.965924,1.6012
1663524000000,2022-09-18 18:00:00,BTC/GBP,17161.55,17318.92,17114.31,17185.02,25573.028262,1.4881
1663520400000,2022-09-18 17:00:00,BTC/GBP,17340.85,17366.68,17205.56,17205.56,24659.868870000002,1.43325
1663516800000,2022-09-18 16:00:00,BTC/GBP,17374.26,17465.55,17294.02,17323.37,33650.646225,1.9425
1663513200000,2022-09-18 15:00:00,BTC/GBP,17339.66,17432.17,17327.5,17369.94,26840.031287999995,1.5452
1663509600000,2022-09-18 14:00:00,BTC/GBP,17514.74,17525.52,17338.85,17339.27,30009.074589,1.7307
1663506000000,2022-09-18 13:00:00,BTC/GBP,17489.24,17566.26,17436.42,17511.87,27759.816323999996,1.5852
1663502400000,2022-09-18 12:00:00,BTC/GBP,17456.01,17562.11,17375.94,17549.41,31023.846998,1.7678
1663498800000,2022-09-18 11:00:00,BTC/GBP,17501.94,17501.94,17393.45,17475.93,31547.548835999998,1.8052
1663495200000,2022-09-18 10:00:00,BTC/GBP,17348.51,17583.16,17338.84,17487.06,29724.504588000003,1.6998
1663491600000,2022-09-18 09:00:00,BTC/GBP,17536.85,17617.33,17336.84,17337.09,33392.969049,1.9261
1663488000000,2022-09-18 08:00:00,BTC/GBP,17538.69,17641.98,17524.43,17550.34,33512.37423,1.9095
1663484400000,2022-09-18 07:00:00,BTC/GBP,17592.88,17634.53,17501.61,17591.17,28624.351823999998,1.6272
1663480800000,2022-09-18 06:00:00,BTC/GBP,17569.74,17641.45,17506.37,17596.33,27999.280296,1.5912
1663477200000,2022-09-18 05:00:00,BTC/GBP,17505.53,17640.19,17490.09,17601.33,31177.235829000005,1.7713
1663473600000,2022-09-18 04:00:00,BTC/GBP,17531.24,17588.8,17465.27,17515.07,30241.519861999997,1.7266
1663470000000,2022-09-18 03:00:00,BTC/GBP,17580.93,17588.05,17437.14,17548.15,28577.162275000002,1.6285
1663466400000,2022-09-18 02:00:00,BTC/GBP,17541.96,17601.07,17458.52,17550.71,30955.942297999998,1.7638
1663462800000,2022-09-18 01:00:00,BTC/GBP,17540.47,17598.58,17464.36,17487.82,31047.875628,1.7754
1663459200000,2022-09-18 00:00:00,BTC/GBP,17646.86,17646.86,17447.71,17509.85,27528.98617,1.5722
1663455600000,2022-09-17 23:00:00,BTC/GBP,17598.22,17691.91,17567.34,17604.3,26670.514499999997,1.515
1663452000000,2022-09-17 22:00:00,BTC/GBP,17504.82,17674.72,17504.82,17599.56,25864.313376000002,1.4696
1663448400000,2022-09-17 21:00:00,BTC/GBP,17590.96,17652.17,17436.44,17560.86,30889.55274,1.759
1663444800000,2022-09-17 20:00:00,BTC/GBP,17540.32,17641.34,17474.05,17580.1,26396.52015,1.5015
1663441200000,2022-09-17 19:00:00,BTC/GBP,17583.31,17616.19,17464.73,17550.91,31646.045821,1.8031
1663437600000,2022-09-17 18:00:00,BTC/GBP,17588.38,17658.31,17506.78,17588.61,33404.288112,1.8992
1663434000000,2022-09-17 17:00:00,BTC/GBP,17576.42,17699.58,17518.76,17619.26,33305.687178,1.8903
1663430400000,2022-09-17 16:00:00,BTC/GBP,17523.37,17686.0,17470.25,17577.8,29742.692267999995,1.69206
1663426800000,2022-09-17 15:00:00,BTC/GBP,17399.08,17529.31,17361.3,17498.74,28081.977952,1.6048
1663423200000,2022-09-17 14:00:00,BTC/GBP,17363.79,17477.3,17328.82,17411.89,31388.414103,1.8027
1663419600000,2022-09-17 13:00:00,BTC/GBP,17317.25,17446.09,17317.25,17446.09,26216.239443,1.5027
1663416000000,2022-09-17 12:00:00,BTC/GBP,17308.79,17421.98,17240.48,17363.87,25698.527599999998,1.48
1663412400000,2022-09-17 11:00:00,BTC/GBP,17411.01,17417.88,17309.08,17309.08,28424.971176000006,1.6422
1663408800000,2022-09-17 10:00:00,BTC/GBP,17429.6,17471.15,17301.97,17408.64,30975.193152,1.7793
1663405200000,2022-09-17 09:00:00,BTC/GBP,17414.23,17454.5,17339.56,17446.53,30958.867485,1.7745
1663401600000,2022-09-17 08:00:00,BTC/GBP,17385.35,17438.69,17342.07,17363.91,31510.287476999998,1.8147
1663398000000,2022-09-17 07:00:00,BTC/GBP,17374.6,17445.9,17320.2,17391.04,29126.513792,1.6748
1663394400000,2022-09-17 06:00:00,BTC/GBP,17392.45,17453.08,17288.78,17430.26,28510.676281999997,1.6357
1663390800000,2022-09-17 05:00:00,BTC/GBP,17511.92,17511.92,17332.12,17404.81,28018.263138000002,1.6098
1663387200000,2022-09-17 04:00:00,BTC/GBP,17463.84,17549.58,17378.21,17510.94,30852.525186,1.7619
1663383600000,2022-09-17 03:00:00,BTC/GBP,17462.42,17570.24,17312.6,17459.31,30454.274433000002,1.7443
1663380000000,2022-09-17 02:00:00,BTC/GBP,17546.5,17549.56,17383.29,17409.69,30336.384824999997,1.7425
1663376400000,2022-09-17 01:00:00,BTC/GBP,17492.25,17613.22,17401.15,17401.15,29710.723510000003,1.7074
1663372800000,2022-09-17 00:00:00,BTC/GBP,17375.16,17564.83,17296.54,17504.78,30628.113566,1.7497
1663369200000,2022-09-16 23:00:00,BTC/GBP,17263.92,17380.64,17230.43,17317.83,27410.661324000004,1.5828
1663365600000,2022-09-16 22:00:00,BTC/GBP,17329.46,17356.43,17158.63,17320.66,34427.5401003632,1.98765752
1663362000000,2022-09-16 21:00:00,BTC/GBP,17264.64,17376.93,17205.78,17271.26,31618.495681999997,1.8307
1663358400000,2022-09-16 20:00:00,BTC/GBP,17227.05,17331.03,17169.8,17322.65,28667.253485000005,1.6549
1663354800000,2022-09-16 19:00:00,BTC/GBP,17184.95,17238.62,17103.9,17196.04,27977.95708,1.627
1663351200000,2022-09-16 18:00:00,BTC/GBP,17107.1,17199.03,17030.53,17130.21,28132.943883,1.6423
1663347600000,2022-09-16 17:00:00,BTC/GBP,17117.48,17125.19,16962.77,17081.44,27057.000959999998,1.584
1663344000000,2022-09-16 16:00:00,BTC/GBP,17185.05,17245.32,17107.22,17109.41,28646.285162999997,1.6743
1663340400000,2022-09-16 15:00:00,BTC/GBP,17201.96,17314.58,17116.38,17256.63,28159.368834,1.6318
1663336800000,2022-09-16 14:00:00,BTC/GBP,17071.77,17347.26,17071.77,17267.09,29709.755053999997,1.7206
1663333200000,2022-09-16 13:00:00,BTC/GBP,17322.44,17393.49,17083.62,17119.89,31730.004125999996,1.8534
1663329600000,2022-09-16 12:00:00,BTC/GBP,17385.42,17455.14,17240.78,17240.78,24564.663344,1.4248
1663326000000,2022-09-16 11:00:00,BTC/GBP,17398.0,17458.48,17307.24,17434.66,34403.814578,1.9733
1663322400000,2022-09-16 10:00:00,BTC/GBP,17362.76,17496.93,17315.68,17387.85,26566.896015,1.5279
1663318800000,2022-09-16 09:00:00,BTC/GBP,17343.41,17388.75,17303.57,17374.81,29841.236175000002,1.7175
1663315200000,2022-09-16 08:00:00,BTC/GBP,17373.66,17392.42,17245.57,17364.92,28931.693211999995,1.6661
1663311600000,2022-09-16 07:00:00,BTC/GBP,17316.73,17377.14,17259.07,17344.05,24267.79476,1.3992
1663308000000,2022-09-16 06:00:00,BTC/GBP,17231.95,17349.79,17229.24,17262.36,27132.977448,1.5718
