https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LIT,Volume USDT
1663459200,2022-09-18 00:00:00,LIT/USDT,0.6893,0.6893,0.6818,0.6818,901.9564,618.7003316
1663372800,2022-09-17 00:00:00,LIT/USDT,0.6484,0.6897,0.6484,0.6897,33417.6891,22397.96605989
1663286400,2022-09-16 00:00:00,LIT/USDT,0.666,0.6711,0.63,0.647,29352.9615,19173.9841471
1663200000,2022-09-15 00:00:00,LIT/USDT,0.6807,0.6807,0.648,0.6621,42291.8366,28055.14753101
1663113600,2022-09-14 00:00:00,LIT/USDT,0.6779,0.694,0.6699,0.683,40087.5648,27359.15658434
1663027200,2022-09-13 00:00:00,LIT/USDT,0.7184,0.7692,0.6721,0.676,47958.6689,34194.15651083
1662940800,2022-09-12 00:00:00,LIT/USDT,0.7433,0.773,0.7097,0.7211,53932.3709,40110.82659934
1662854400,2022-09-11 00:00:00,LIT/USDT,0.7465,0.7612,0.7338,0.7431,42325.3656,31807.90541111
1662768000,2022-09-10 00:00:00,LIT/USDT,0.7509,0.7656,0.7352,0.7463,119181.3701,89494.22113126
1662681600,2022-09-09 00:00:00,LIT/USDT,0.6844,0.7678,0.6841,0.752,283407.8647,209062.06147649
1662595200,2022-09-08 00:00:00,LIT/USDT,0.6865,0.692,0.6601,0.6846,252807.4305,171957.77120265
1662508800,2022-09-07 00:00:00,LIT/USDT,0.6502,0.6949,0.6402,0.6866,301490.4416,202276.84222572
1662422400,2022-09-06 00:00:00,LIT/USDT,0.7208,0.7436,0.6491,0.6496,633167.2819,451201.62578784
1662336000,2022-09-05 00:00:00,LIT/USDT,0.7214,0.7356,0.7078,0.7204,436095.5525,313565.34548398
1662249600,2022-09-04 00:00:00,LIT/USDT,0.7109,0.7222,0.7024,0.7196,436440.3228,311104.29657636
1662163200,2022-09-03 00:00:00,LIT/USDT,0.6997,0.7142,0.6956,0.7109,464884.8545,328273.43054799
1662076800,2022-09-02 00:00:00,LIT/USDT,0.7239,0.7336,0.693,0.6997,439075.664,315073.19833029
1661990400,2022-09-01 00:00:00,LIT/USDT,0.717,0.7276,0.697,0.7237,440865.3487,316127.29433398
1661904000,2022-08-31 00:00:00,LIT/USDT,0.7386,0.7608,0.7151,0.7175,211577.4421,154548.7343572
1661817600,2022-08-30 00:00:00,LIT/USDT,0.7436,0.7542,0.7029,0.7324,51639.5672,37787.16788363
1661731200,2022-08-29 00:00:00,LIT/USDT,0.6833,0.755,0.6782,0.7463,66246.2185,47865.55748593
1661644800,2022-08-28 00:00:00,LIT/USDT,0.7239,0.7315,0.6799,0.6827,60733.0189,43475.63734028
1661558400,2022-08-27 00:00:00,LIT/USDT,0.6939,0.7459,0.693,0.7269,66350.7042,47576.4530259
1661472000,2022-08-26 00:00:00,LIT/USDT,0.7678,0.77,0.687,0.6939,75757.4998,55785.03598515
1661385600,2022-08-25 00:00:00,LIT/USDT,0.7731,0.8143,0.7603,0.77,65559.069,51604.96959939
1661299200,2022-08-24 00:00:00,LIT/USDT,0.7714,0.7983,0.7561,0.7737,41170.9286,32003.80375749
1661212800,2022-08-23 00:00:00,LIT/USDT,0.7688,0.7864,0.7433,0.778,40921.6531,31520.51527521
1661126400,2022-08-22 00:00:00,LIT/USDT,0.7734,0.7734,0.7179,0.7686,161444.328,118799.64065774
1661040000,2022-08-21 00:00:00,LIT/USDT,0.7357,0.7881,0.7357,0.7743,168553.5325,130216.44485996
1660953600,2022-08-20 00:00:00,LIT/USDT,0.7497,0.8019,0.7093,0.7344,64317.9331,48461.9337412
1660867200,2022-08-19 00:00:00,LIT/USDT,0.8135,0.8164,0.735,0.7469,101837.8352,77278.53890591
1660780800,2022-08-18 00:00:00,LIT/USDT,0.8763,0.8985,0.8016,0.8128,51303.8162,44408.27919581
1660694400,2022-08-17 00:00:00,LIT/USDT,0.9446,0.9717,0.8633,0.8739,42707.2798,39412.84308955
1660608000,2022-08-16 00:00:00,LIT/USDT,0.9433,0.951,0.9261,0.9452,36519.9748,34272.93604385
1660521600,2022-08-15 00:00:00,LIT/USDT,0.9535,0.9882,0.9266,0.9428,43355.5441,41492.81549797
1660435200,2022-08-14 00:00:00,LIT/USDT,1.0061,1.0268,0.9396,0.9536,60781.4545,60032.27979855
1660348800,2022-08-13 00:00:00,LIT/USDT,1.0465,1.108,0.9467,1.0055,116183.6093,118617.93507558
1660262400,2022-08-12 00:00:00,LIT/USDT,1.0302,1.0457,1.0016,1.0457,54430.5938,55765.13072113
1660176000,2022-08-11 00:00:00,LIT/USDT,1.0188,1.0777,1.0113,1.0295,119615.6478,124646.40504546
1660089600,2022-08-10 00:00:00,LIT/USDT,0.975,1.02,0.9445,1.0135,61868.2241,61524.57258929
1660003200,2022-08-09 00:00:00,LIT/USDT,1.0086,1.0208,0.9305,0.9779,55067.5152,53636.9622783
1659916800,2022-08-08 00:00:00,LIT/USDT,1.0275,1.0666,1.0007,1.0103,81623.609,85008.58224197
1659830400,2022-08-07 00:00:00,LIT/USDT,1.0205,1.0465,0.9997,1.0297,79503.2183,81638.60614407
1659744000,2022-08-06 00:00:00,LIT/USDT,1.0142,1.0602,1.0066,1.0165,86523.0432,88976.40320547
1659657600,2022-08-05 00:00:00,LIT/USDT,0.9765,1.0217,0.9765,1.0126,132255.2177,132327.94580997
1659571200,2022-08-04 00:00:00,LIT/USDT,1.0143,1.0702,0.9558,0.9799,244066.1422,243979.08896075
1659484800,2022-08-03 00:00:00,LIT/USDT,0.9447,1.1643,0.9162,1.0165,375208.16262755,402832.15748788005
1659398400,2022-08-02 00:00:00,LIT/USDT,0.9982,1.0199,0.93,0.9417,122892.1566,117805.52986535
1659312000,2022-08-01 00:00:00,LIT/USDT,1.0131,1.0813,0.9746,1.0014,322389.1373,330204.59062484
1659225600,2022-07-31 00:00:00,LIT/USDT,0.9793,1.1338,0.9742,1.0141,418068.624,428396.26480962
1659139200,2022-07-30 00:00:00,LIT/USDT,0.9093,1.0768,0.8861,0.9797,523457.6048,517962.7046179
1659052800,2022-07-29 00:00:00,LIT/USDT,0.8844,0.9451,0.8662,0.908,507690.1351,456573.62027313
1658966400,2022-07-28 00:00:00,LIT/USDT,0.7959,0.9005,0.7838,0.8844,575531.1157,481238.7266309
1658880000,2022-07-27 00:00:00,LIT/USDT,0.7504,0.8003,0.7386,0.7956,512497.4318,390182.72042584
1658793600,2022-07-26 00:00:00,LIT/USDT,0.7812,0.7832,0.715,0.7511,481819.0711,359366.92295931
1658707200,2022-07-25 00:00:00,LIT/USDT,0.8685,0.8782,0.7811,0.784,538404.6679,446240.01021709
1658620800,2022-07-24 00:00:00,LIT/USDT,0.8894,0.9202,0.8613,0.8682,432715.6505,386951.68560414
1658534400,2022-07-23 00:00:00,LIT/USDT,0.8231,0.9569,0.8143,0.89,655020.96238964,595448.65065835262
1658448000,2022-07-22 00:00:00,LIT/USDT,0.8167,0.8802,0.7968,0.821,546672.389,462005.06339459
1658361600,2022-07-21 00:00:00,LIT/USDT,0.7964,0.8297,0.7617,0.8177,461883.8815,366563.86862002
1658275200,2022-07-20 00:00:00,LIT/USDT,0.8588,0.8886,0.7848,0.7965,444648.46432624,376298.458701629812
1658188800,2022-07-19 00:00:00,LIT/USDT,0.8431,0.878,0.8177,0.8588,569874.16410147,486513.794387695841
1658102400,2022-07-18 00:00:00,LIT/USDT,0.7827,0.852,0.7822,0.8445,508245.06688461,418354.407477071496
1658016000,2022-07-17 00:00:00,LIT/USDT,0.8138,0.8451,0.7797,0.7817,499511.86533487,403297.633090812561
