https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRVL,Volume USDT
1663459200,2022-09-18 00:00:00,TRVL/USDT,0.06754,0.06765,0.06754,0.0676,2691.843,181.809758966
1663372800,2022-09-17 00:00:00,TRVL/USDT,0.06412,0.0678,0.06412,0.06752,281915.115,18533.658614758
1663286400,2022-09-16 00:00:00,TRVL/USDT,0.06441,0.06478,0.06343,0.06405,120329.1583,7709.486755485
1663200000,2022-09-15 00:00:00,TRVL/USDT,0.06429,0.0659,0.06367,0.06442,374345.3341,24270.210307552
1663113600,2022-09-14 00:00:00,TRVL/USDT,0.06309,0.06507,0.06301,0.06434,675922.6509,43481.454014983
1663027200,2022-09-13 00:00:00,TRVL/USDT,0.06153,0.0634,0.06103,0.06311,452725.3729,28099.003748147
1662940800,2022-09-12 00:00:00,TRVL/USDT,0.06405,0.06467,0.06153,0.06168,336286.7773,21435.28216955
1662854400,2022-09-11 00:00:00,TRVL/USDT,0.06215,0.06599,0.06215,0.06407,829699.6115,53264.995254464
1662768000,2022-09-10 00:00:00,TRVL/USDT,0.05989,0.06212,0.05989,0.06212,271710.578,16521.753136414
1662681600,2022-09-09 00:00:00,TRVL/USDT,0.05799,0.06002,0.05777,0.05975,322577.6852,19054.918618881
1662595200,2022-09-08 00:00:00,TRVL/USDT,0.05727,0.0581,0.05707,0.05789,67321.0317,3883.786249462
1662508800,2022-09-07 00:00:00,TRVL/USDT,0.05685,0.05878,0.0565,0.0572,830447.179,47482.899820412
1662422400,2022-09-06 00:00:00,TRVL/USDT,0.05922,0.05957,0.05695,0.05695,749036.1414,43293.788501199
1662336000,2022-09-05 00:00:00,TRVL/USDT,0.05991,0.06,0.05896,0.0592,70930.4599,4223.206702666
1662249600,2022-09-04 00:00:00,TRVL/USDT,0.05953,0.05991,0.05928,0.05991,83965.1206,5009.19108601
1662163200,2022-09-03 00:00:00,TRVL/USDT,0.05961,0.05989,0.05933,0.0596,42653.458,2543.32994515
1662076800,2022-09-02 00:00:00,TRVL/USDT,0.05889,0.05959,0.05774,0.05959,508052.2361,29650.453322708
1661990400,2022-09-01 00:00:00,TRVL/USDT,0.05976,0.0602,0.05793,0.05873,310652.3267,18440.177994642
1661904000,2022-08-31 00:00:00,TRVL/USDT,0.05907,0.06174,0.05907,0.05979,471766.6069,28515.038572429
