https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALAX3S,Volume USDT
1663459200,2022-09-18 00:00:00,GALAX3S/USDT,1.2058,1.2512,1.2058,1.2459,1107.1451,1361.13293607
1663455600,2022-09-17 23:00:00,GALAX3S/USDT,1.23,1.23,1.1898,1.2097,2010.2854,2411.64790091
1663452000,2022-09-17 22:00:00,GALAX3S/USDT,1.2426,1.2457,1.2322,1.2322,198.5514,246.76991219
1663448400,2022-09-17 21:00:00,GALAX3S/USDT,1.239,1.251,1.239,1.251,30.18,37.75302
1663444800,2022-09-17 20:00:00,GALAX3S/USDT,1.2673,1.2673,1.2673,1.2673,0,0
1663441200,2022-09-17 19:00:00,GALAX3S/USDT,1.262,1.2697,1.2619,1.2673,688.103,869.77977304
1663437600,2022-09-17 18:00:00,GALAX3S/USDT,1.2517,1.2517,1.2423,1.2508,191.4762,239.47588105
1663434000,2022-09-17 17:00:00,GALAX3S/USDT,1.2449,1.2619,1.2449,1.2545,1589.139,1999.28693917
1663430400,2022-09-17 16:00:00,GALAX3S/USDT,1.2652,1.2656,1.2356,1.2361,400.4093,500.07082293
1663426800,2022-09-17 15:00:00,GALAX3S/USDT,1.2573,1.2702,1.2529,1.2702,1856.1685,2334.72112741
1663423200,2022-09-17 14:00:00,GALAX3S/USDT,1.2685,1.2687,1.2503,1.2503,295.1381,372.65642426
1663419600,2022-09-17 13:00:00,GALAX3S/USDT,1.2805,1.2805,1.26,1.2647,89.3428,113.25074829
1663416000,2022-09-17 12:00:00,GALAX3S/USDT,1.291,1.295,1.2805,1.2805,82.9798,106.40403325
1663412400,2022-09-17 11:00:00,GALAX3S/USDT,1.2931,1.2931,1.2804,1.2804,359.6239,461.94766036
1663408800,2022-09-17 10:00:00,GALAX3S/USDT,1.2967,1.3,1.2966,1.3,73.9204,95.96140109
1663405200,2022-09-17 09:00:00,GALAX3S/USDT,1.2825,1.2825,1.2825,1.2825,8.8109,11.29997925
1663401600,2022-09-17 08:00:00,GALAX3S/USDT,1.2736,1.2829,1.271,1.271,554.7621,707.43699176
1663398000,2022-09-17 07:00:00,GALAX3S/USDT,1.2945,1.3012,1.2945,1.3012,55.2772,71.60235644
1663394400,2022-09-17 06:00:00,GALAX3S/USDT,1.2965,1.2965,1.2965,1.2965,0,0
1663390800,2022-09-17 05:00:00,GALAX3S/USDT,1.2926,1.2966,1.2926,1.2965,656.1278,850.67860244
1663387200,2022-09-17 04:00:00,GALAX3S/USDT,1.3008,1.3008,1.2763,1.2763,9.7653,12.55878238
1663383600,2022-09-17 03:00:00,GALAX3S/USDT,1.3053,1.3053,1.3053,1.3053,7.3015,9.53064795
1663380000,2022-09-17 02:00:00,GALAX3S/USDT,1.2883,1.3008,1.2883,1.3008,1921.0467,2474.93290861
1663376400,2022-09-17 01:00:00,GALAX3S/USDT,1.2964,1.3089,1.2883,1.2883,623.6001,805.27428154
1663372800,2022-09-17 00:00:00,GALAX3S/USDT,1.3152,1.3152,1.2697,1.3017,590.1326,762.91466677
