https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PSL,Volume USDT
1663459200,2022-09-18 00:00:00,PSL/USDT,0.001772,0.001825,0.001733,0.00179,8191046.5918,14559.2024810785
1663372800,2022-09-17 00:00:00,PSL/USDT,0.001421,0.004216,0.001409,0.001774,1917043310.07203165,4818242.68949880922649
1663286400,2022-09-16 00:00:00,PSL/USDT,0.001116,0.001517,0.000968,0.00141,1310946015.50032124,1588657.71956028811711
1663200000,2022-09-15 00:00:00,PSL/USDT,0.000584,0.001285,0.000582,0.001115,1857790778.71828216,1755967.56549258468016
1663113600,2022-09-14 00:00:00,PSL/USDT,0.000616,0.000637,0.000561,0.000588,844102771.8725,509701.4584396508
1663027200,2022-09-13 00:00:00,PSL/USDT,0.000655,0.00071,0.000559,0.000617,740368720.4254,462980.7128417056
1662940800,2022-09-12 00:00:00,PSL/USDT,0.000646,0.000661,0.000622,0.000654,1032239552.6094,657136.7292682199
1662854400,2022-09-11 00:00:00,PSL/USDT,0.000677,0.000698,0.000626,0.000646,997257646.3376,641860.9942379742
1662768000,2022-09-10 00:00:00,PSL/USDT,0.000637,0.000689,0.000619,0.000677,689836180.5171,440311.1902394914
1662681600,2022-09-09 00:00:00,PSL/USDT,0.000617,0.000732,0.000616,0.000636,719843109.9736,467477.2165506101
1662595200,2022-09-08 00:00:00,PSL/USDT,0.00067,0.00078,0.00061,0.000616,759146046.2582,493811.1927363952
1662508800,2022-09-07 00:00:00,PSL/USDT,0.000698,0.000784,0.000602,0.00067,735240508.3709,473564.207365514
1662422400,2022-09-06 00:00:00,PSL/USDT,0.000641,0.00071,0.000622,0.000697,430848549.0309,290469.3053436258
1662336000,2022-09-05 00:00:00,PSL/USDT,0.000716,0.000721,0.00064,0.000641,470764541.5065,325009.6437965782
1662249600,2022-09-04 00:00:00,PSL/USDT,0.000762,0.000784,0.000708,0.000716,594440470.8871,447905.9864121038
