https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NIM,Volume BTC
1663459200,2022-09-18 00:00:00,NIM/BTC,0.0000000677,0.0000000679,0.0000000677,0.0000000679,469371.619,0.0318207470181
1663455600,2022-09-17 23:00:00,NIM/BTC,0.0000000677,0.0000000677,0.0000000677,0.0000000677,73012.23,0.004942927971
1663452000,2022-09-17 22:00:00,NIM/BTC,0.000000068,0.000000068,0.0000000678,0.0000000678,854908.216,0.058133641146
1663448400,2022-09-17 21:00:00,NIM/BTC,0.0000000682,0.0000000682,0.000000068,0.000000068,402814.581,0.0274088953368
1663444800,2022-09-17 20:00:00,NIM/BTC,0.0000000688,0.0000000688,0.0000000683,0.0000000683,406391.264,0.0279097250826
1663441200,2022-09-17 19:00:00,NIM/BTC,0.0000000689,0.000000069,0.0000000688,0.0000000689,143356.24,0.0098741640675
1663437600,2022-09-17 18:00:00,NIM/BTC,0.0000000689,0.000000069,0.0000000688,0.0000000688,157901.632,0.0108782241803
1663434000,2022-09-17 17:00:00,NIM/BTC,0.000000069,0.000000069,0.0000000688,0.000000069,635925.164,0.0438495868407
1663430400,2022-09-17 16:00:00,NIM/BTC,0.0000000698,0.0000000699,0.000000069,0.000000069,1069268.229,0.0739172062436
1663426800,2022-09-17 15:00:00,NIM/BTC,0.0000000689,0.00000007,0.0000000689,0.0000000698,1241760.259,0.0864212636372
1663423200,2022-09-17 14:00:00,NIM/BTC,0.0000000682,0.0000000689,0.000000068,0.0000000689,518491.781,0.035435682275
1663419600,2022-09-17 13:00:00,NIM/BTC,0.0000000686,0.0000000687,0.0000000683,0.0000000683,757496.941,0.0519374484797
1663416000,2022-09-17 12:00:00,NIM/BTC,0.0000000689,0.0000000691,0.0000000686,0.0000000687,544759.048,0.0375291191101
1663412400,2022-09-17 11:00:00,NIM/BTC,0.0000000694,0.0000000694,0.0000000689,0.0000000689,649792.667,0.044958161577
1663408800,2022-09-17 10:00:00,NIM/BTC,0.0000000698,0.0000000698,0.0000000692,0.0000000694,765545.709,0.0532429472786
1663405200,2022-09-17 09:00:00,NIM/BTC,0.00000007,0.00000007,0.0000000699,0.0000000699,66848.739,0.0046764489561
1663401600,2022-09-17 08:00:00,NIM/BTC,0.0000000706,0.0000000707,0.00000007,0.0000000701,445805.987,0.0314427294356
1663398000,2022-09-17 07:00:00,NIM/BTC,0.000000071,0.000000071,0.0000000707,0.0000000707,154072.529,0.0109067844289
1663394400,2022-09-17 06:00:00,NIM/BTC,0.0000000708,0.0000000711,0.0000000708,0.000000071,134008.061,0.0095021643344
