https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume OMG,Volume EUR
1663545600,2022-09-19 00:00:00,OMG/EUR,1.69,1.69,1.69,1.69,0.00000000,0.0
1663459200,2022-09-18 00:00:00,OMG/EUR,1.82,1.82,1.64,1.69,8817.20945860,14901.083985034
1663372800,2022-09-17 00:00:00,OMG/EUR,1.77,1.81,1.77,1.81,900.34434225,1629.6232594725
1663286400,2022-09-16 00:00:00,OMG/EUR,1.72,1.77,1.71,1.77,2711.20644085,4798.8354003045
1663200000,2022-09-15 00:00:00,OMG/EUR,1.78,1.85,1.74,1.74,1488.19997419,2589.4679550906
1663113600,2022-09-14 00:00:00,OMG/EUR,1.79,1.82,1.77,1.82,11512.00312182,20951.845681712402
1663027200,2022-09-13 00:00:00,OMG/EUR,1.91,1.97,1.80,1.80,13517.64243561,24331.756384098
1662940800,2022-09-12 00:00:00,OMG/EUR,1.91,2.09,1.90,1.95,25019.80719270,48788.624025765
1662854400,2022-09-11 00:00:00,OMG/EUR,1.92,1.96,1.88,1.88,9843.13533264,18505.0944253632
1662768000,2022-09-10 00:00:00,OMG/EUR,1.93,1.95,1.88,1.90,7448.72429632,14152.576163007998
1662681600,2022-09-09 00:00:00,OMG/EUR,1.86,1.93,1.86,1.90,8067.76199639,15328.747793141
1662595200,2022-09-08 00:00:00,OMG/EUR,1.80,1.85,1.77,1.84,2678.85314422,4929.0897853648
1662508800,2022-09-07 00:00:00,OMG/EUR,1.70,1.85,1.68,1.83,9176.66534688,16793.297584790398
1662422400,2022-09-06 00:00:00,OMG/EUR,1.91,1.93,1.70,1.71,26716.36965916,45684.992117163594
1662336000,2022-09-05 00:00:00,OMG/EUR,1.94,1.94,1.83,1.88,6012.39125726,11303.2955636488
1662249600,2022-09-04 00:00:00,OMG/EUR,1.81,1.94,1.81,1.94,12076.60673119,23428.6170585086
1662163200,2022-09-03 00:00:00,OMG/EUR,1.81,1.82,1.77,1.82,382.97310375,697.011048825
1662076800,2022-09-02 00:00:00,OMG/EUR,1.82,1.85,1.78,1.78,1624.07148868,2890.8472498503997
1661990400,2022-09-01 00:00:00,OMG/EUR,1.79,1.80,1.74,1.80,5846.23737828,10523.227280903999
1661904000,2022-08-31 00:00:00,OMG/EUR,1.85,1.85,1.79,1.82,5359.51075141,9754.3095675662
1661817600,2022-08-30 00:00:00,OMG/EUR,1.89,1.89,1.81,1.81,2304.60798261,4171.3404485241
1661731200,2022-08-29 00:00:00,OMG/EUR,1.73,1.85,1.71,1.84,6663.92418714,12261.620504337601
1661644800,2022-08-28 00:00:00,OMG/EUR,1.80,1.81,1.73,1.73,6465.78908150,11185.815110995
1661558400,2022-08-27 00:00:00,OMG/EUR,1.77,1.81,1.76,1.77,10022.05420973,17739.0359512221
1661472000,2022-08-26 00:00:00,OMG/EUR,1.97,1.98,1.77,1.77,13176.76846774,23322.8801878998
1661385600,2022-08-25 00:00:00,OMG/EUR,1.99,1.99,1.96,1.97,1046.97834965,2062.5473488105
1661299200,2022-08-24 00:00:00,OMG/EUR,1.93,2.01,1.93,1.96,2255.24497217,4420.2801454532
1661212800,2022-08-23 00:00:00,OMG/EUR,1.94,1.97,1.89,1.97,11668.97672778,22987.8841537266
1661126400,2022-08-22 00:00:00,OMG/EUR,1.91,1.93,1.83,1.93,1059.71656286,2045.2529663198
1661040000,2022-08-21 00:00:00,OMG/EUR,1.89,1.95,1.87,1.95,9712.17542624,18938.742081168002
1660953600,2022-08-20 00:00:00,OMG/EUR,1.89,1.93,1.82,1.87,4099.88948383,7666.793334762101
1660867200,2022-08-19 00:00:00,OMG/EUR,2.06,2.06,1.86,1.86,17624.53911268,32781.6427495848
1660780800,2022-08-18 00:00:00,OMG/EUR,2.17,2.22,2.07,2.11,8834.05280822,18639.851425344197
1660694400,2022-08-17 00:00:00,OMG/EUR,2.26,2.36,2.16,2.16,6381.31255024,13783.6351085184
1660608000,2022-08-16 00:00:00,OMG/EUR,2.30,2.30,2.21,2.24,3333.19855101,7466.3647542624
1660521600,2022-08-15 00:00:00,OMG/EUR,2.27,2.30,2.22,2.29,4108.77667334,9409.098581948601
1660435200,2022-08-14 00:00:00,OMG/EUR,2.36,2.41,2.24,2.24,16829.62358261,37698.3568250464
