https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VIDT,Volume BTC
1663372800,2022-09-17 00:00:00,VIDT/BTC,0.000014337,0.000014538,0.000014337,0.000014337,668.5265,0.0096979501699
1663286400,2022-09-16 00:00:00,VIDT/BTC,0.000014205,0.00001587,0.000013801,0.000014337,137420.2585,2.0433965274985
1663200000,2022-09-15 00:00:00,VIDT/BTC,0.000015816,0.00001598,0.000014147,0.000014195,23382.3658,0.3428743300802
1663113600,2022-09-14 00:00:00,VIDT/BTC,0.000013639,0.000017882,0.000013639,0.000015746,210873.4877,3.3491348882373
1663027200,2022-09-13 00:00:00,VIDT/BTC,0.00001314,0.000014147,0.000012676,0.00001373,50993.321,0.6810346053394
1662940800,2022-09-12 00:00:00,VIDT/BTC,0.00001287,0.00001467,0.000012671,0.00001314,99340.6044,1.3573793725227
1662854400,2022-09-11 00:00:00,VIDT/BTC,0.000012613,0.000013375,0.000012436,0.000012889,13294.6666,0.1716020605674
1662768000,2022-09-10 00:00:00,VIDT/BTC,0.000013061,0.000013175,0.000012665,0.000012665,5094.7002,0.065809758009
1662681600,2022-09-09 00:00:00,VIDT/BTC,0.00001394,0.00001394,0.000012732,0.000013025,73475.456,0.9666821335097
1662595200,2022-09-08 00:00:00,VIDT/BTC,0.000013421,0.00001598,0.000013206,0.00001394,92756.3682,1.3637264803128
1662508800,2022-09-07 00:00:00,VIDT/BTC,0.000013201,0.00001355,0.000012923,0.000013545,22756.5021,0.3006897098011
1662422400,2022-09-06 00:00:00,VIDT/BTC,0.000013448,0.000013937,0.000013173,0.000013201,4570.7244,0.0610643010151
1662336000,2022-09-05 00:00:00,VIDT/BTC,0.000013778,0.000013898,0.00001343,0.00001343,2291.5905,0.0312650965483
1662249600,2022-09-04 00:00:00,VIDT/BTC,0.000013702,0.000014489,0.000013551,0.000013725,15914.28,0.2217809047268
1662163200,2022-09-03 00:00:00,VIDT/BTC,0.000014104,0.000014249,0.000013692,0.00001384,4888.7155,0.0681686769133
