https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MODEFI,Volume USDT
1663459200,2022-09-18 00:00:00,MODEFI/USDT,0.2643,0.2648,0.2643,0.2648,9476.5213,2506.5306737
1663372800,2022-09-17 00:00:00,MODEFI/USDT,0.2762,0.2773,0.2632,0.2645,294842.5302,79391.47116603
1663286400,2022-09-16 00:00:00,MODEFI/USDT,0.2935,0.2941,0.2737,0.2764,246009.9782,70390.35474127
1663200000,2022-09-15 00:00:00,MODEFI/USDT,0.332,0.333,0.2923,0.2936,272268.9728,83314.74319678
1663113600,2022-09-14 00:00:00,MODEFI/USDT,0.3293,0.3493,0.31,0.3318,308379.6046,101462.95350844
1663027200,2022-09-13 00:00:00,MODEFI/USDT,0.3612,0.3614,0.3252,0.3291,161111.8155,54888.06102864
1662940800,2022-09-12 00:00:00,MODEFI/USDT,0.3565,0.3686,0.3536,0.3613,73381.1677,26397.32102357
1662854400,2022-09-11 00:00:00,MODEFI/USDT,0.3735,0.378,0.3342,0.3566,148132.9255,53736.84623875
1662768000,2022-09-10 00:00:00,MODEFI/USDT,0.3617,0.3844,0.3601,0.3735,108763.9771,39997.0053864
1662681600,2022-09-09 00:00:00,MODEFI/USDT,0.3673,0.3723,0.3568,0.3619,116754.5246,42843.93739092
1662595200,2022-09-08 00:00:00,MODEFI/USDT,0.3888,0.3888,0.3668,0.3675,147772.8393,55439.72541272
1662508800,2022-09-07 00:00:00,MODEFI/USDT,0.3907,0.3913,0.3366,0.3898,435498.8625,160631.02821657
1662422400,2022-09-06 00:00:00,MODEFI/USDT,0.4004,0.4174,0.3749,0.3912,268348.5842,106741.35338046
1662336000,2022-09-05 00:00:00,MODEFI/USDT,0.3952,0.4072,0.3952,0.4007,217857.7379,87352.82361315
1662249600,2022-09-04 00:00:00,MODEFI/USDT,0.3779,0.4038,0.3777,0.3958,331574.0184,128067.18309999
1662163200,2022-09-03 00:00:00,MODEFI/USDT,0.382,0.403,0.3748,0.3779,343706.0498,131161.87640574
1662076800,2022-09-02 00:00:00,MODEFI/USDT,0.3272,0.48,0.3272,0.3818,922235.1514,361971.98090726
1661990400,2022-09-01 00:00:00,MODEFI/USDT,0.3075,0.3384,0.3073,0.3274,476881.5469,151321.03859497
