https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UMA,Volume EUR
1663545600,2022-09-19 00:00:00,UMA/EUR,2.40,2.40,2.40,2.40,0.00000000,0.0
1663459200,2022-09-18 00:00:00,UMA/EUR,2.62,2.62,2.40,2.40,272.55957451,654.142978824
1663372800,2022-09-17 00:00:00,UMA/EUR,2.57,2.60,2.55,2.59,1676.17691413,4341.298207596699
1663286400,2022-09-16 00:00:00,UMA/EUR,2.56,2.61,2.51,2.51,2892.86998616,7261.1036652615985
1663200000,2022-09-15 00:00:00,UMA/EUR,2.55,2.58,2.53,2.55,1841.58324999,4696.0372874745
1663113600,2022-09-14 00:00:00,UMA/EUR,2.63,2.65,2.56,2.61,2060.59436981,5378.1513052041
1663027200,2022-09-13 00:00:00,UMA/EUR,2.76,2.92,2.61,2.63,4100.87540038,10785.3023029994
1662940800,2022-09-12 00:00:00,UMA/EUR,2.76,2.78,2.68,2.72,1100.11719181,2992.3187617231997
1662854400,2022-09-11 00:00:00,UMA/EUR,2.78,2.84,2.73,2.73,2810.99733071,7674.022712838299
1662768000,2022-09-10 00:00:00,UMA/EUR,2.75,2.92,2.71,2.78,2269.46945985,6309.125098383
1662681600,2022-09-09 00:00:00,UMA/EUR,2.65,2.80,2.65,2.74,1650.01095293,4521.0300110282005
1662595200,2022-09-08 00:00:00,UMA/EUR,2.59,2.78,2.57,2.67,569.65664686,1520.9832471162001
1662508800,2022-09-07 00:00:00,UMA/EUR,2.55,2.65,2.51,2.63,1468.67779724,3862.6226067412
1662422400,2022-09-06 00:00:00,UMA/EUR,2.75,2.80,2.55,2.58,3630.86019809,9367.6193110722
1662336000,2022-09-05 00:00:00,UMA/EUR,2.75,2.76,2.70,2.72,3383.00710834,9201.7793346848
1662249600,2022-09-04 00:00:00,UMA/EUR,2.74,2.81,2.74,2.81,494.25714291,1388.8625715771002
1662163200,2022-09-03 00:00:00,UMA/EUR,2.74,2.79,2.73,2.73,2597.34804425,7090.7601608025
1662076800,2022-09-02 00:00:00,UMA/EUR,2.76,2.80,2.69,2.72,2800.64245035,7617.747464952001
1661990400,2022-09-01 00:00:00,UMA/EUR,2.77,2.77,2.70,2.73,266.44926696,727.4064988007999
1661904000,2022-08-31 00:00:00,UMA/EUR,2.80,2.81,2.72,2.72,1038.72247343,2825.3251277296004
1661817600,2022-08-30 00:00:00,UMA/EUR,2.83,2.88,2.71,2.78,2172.41817006,6039.3225127668
1661731200,2022-08-29 00:00:00,UMA/EUR,2.78,3.00,2.72,2.80,7787.25728919,21804.320409731998
1661644800,2022-08-28 00:00:00,UMA/EUR,2.65,2.80,2.65,2.70,1646.36484284,4445.1850756680005
1661558400,2022-08-27 00:00:00,UMA/EUR,2.69,2.80,2.63,2.66,8154.69401457,21691.486078756203
1661472000,2022-08-26 00:00:00,UMA/EUR,2.93,2.97,2.70,2.70,4755.74238287,12840.504433749002
1661385600,2022-08-25 00:00:00,UMA/EUR,2.98,3.11,2.92,2.92,2330.73954944,6805.759484364799
1661299200,2022-08-24 00:00:00,UMA/EUR,2.94,3.01,2.93,2.96,3472.16886020,10277.619826192
1661212800,2022-08-23 00:00:00,UMA/EUR,2.91,3.19,2.89,2.96,4124.48385577,12208.472213079202
1661126400,2022-08-22 00:00:00,UMA/EUR,2.92,3.03,2.80,2.86,1195.59846282,3419.4116036651994
1661040000,2022-08-21 00:00:00,UMA/EUR,2.88,2.92,2.87,2.89,1948.45028902,5631.0213352678
1660953600,2022-08-20 00:00:00,UMA/EUR,2.85,3.14,2.80,2.88,12237.39600546,35243.7004957248
1660867200,2022-08-19 00:00:00,UMA/EUR,3.10,3.10,2.76,2.79,7929.91050549,22124.4503103171
1660780800,2022-08-18 00:00:00,UMA/EUR,3.19,3.26,3.11,3.11,2072.35529552,6445.024969067199
1660694400,2022-08-17 00:00:00,UMA/EUR,3.27,3.56,3.17,3.17,18463.57707445,58529.5393260065
1660608000,2022-08-16 00:00:00,UMA/EUR,3.26,3.68,3.20,3.31,7768.36417560,25713.285421236
1660521600,2022-08-15 00:00:00,UMA/EUR,3.37,3.46,3.21,3.21,6958.68766772,22337.3874133812
1660435200,2022-08-14 00:00:00,UMA/EUR,3.63,3.90,3.31,3.39,23315.54072623,79039.6830619197
1660348800,2022-08-13 00:00:00,UMA/EUR,3.13,4.20,3.03,3.73,53025.85991129,197786.4574691117
1660262400,2022-08-12 00:00:00,UMA/EUR,2.91,3.30,2.91,3.13,12808.99112816,40092.142231140795
1660176000,2022-08-11 00:00:00,UMA/EUR,3.01,3.08,2.91,2.93,3439.06368824,10076.4566065432
1660089600,2022-08-10 00:00:00,UMA/EUR,2.86,3.00,2.86,2.98,1499.96003394,4469.8809011411995
1660003200,2022-08-09 00:00:00,UMA/EUR,3.01,3.02,2.86,2.88,2387.86970522,6877.064751033599
1659916800,2022-08-08 00:00:00,UMA/EUR,2.99,3.09,2.99,3.01,5874.47339170,17682.164909017
1659830400,2022-08-07 00:00:00,UMA/EUR,2.97,3.00,2.94,3.00,1990.34614460,5971.038433799999
1659744000,2022-08-06 00:00:00,UMA/EUR,2.98,3.09,2.96,2.98,6287.35119710,18736.306567358
1659657600,2022-08-05 00:00:00,UMA/EUR,2.95,3.00,2.87,3.00,8569.86349202,25709.590476060002
1659571200,2022-08-04 00:00:00,UMA/EUR,2.94,2.96,2.89,2.90,686.11425264,1989.731332656
